image_file,pdf_page,printed_page,dpi,purpose,bytes,sha256
qa/ega1_chapter0_authority_1400dpi/authority-p30.png,29,30,1400,"whole-page source context for the opening of 3.5 and 3.5.1",5801711,68FE87EB44FA4A5FF584EC87004156C66F624F23F9F2D45EE3FD11F3A34A5412
qa/ega1_chapter0_authority_1400dpi/authority-p31.png,30,31,1400,"whole-page source context for 3.5.1 through 3.5.3",3902381,72EBC1B7A5729DDB49CFF1F4BFEAC8E78DE590A4FAA8501EEFBEF820DBC313A6
qa/ega1_chapter0_authority_1400dpi/authority-p32.png,31,32,1400,"whole-page source context for 3.5.4 through the opening of 3.5.5",1522181,AE41862349821334287653105F7033C0AA5682166F555F4F482596685CB60A4A
qa/ega1_chapter0_authority_1400dpi/authority-p33.png,32,33,1400,"whole-page source context for the close of 3.5 and 3.6.1 through 3.6.2",1732027,023581237E2C3A11E35CC9A5F975E52F863A95EACCD2BA8A9760E39384925DB2
qa/ega1_chapter0_authority_5000dpi_details/p30-351-band01-direct-poppler-5000dpi-r1.png,29,30,5000,"3.5 heading and opening prose of 3.5.1",805739,0D482907F4CFCCAD8814569881D1E4335E0B39E74DD4768AD6F74BE3213E7A6E
qa/ega1_chapter0_authority_5000dpi_details/p30-351-band02-direct-poppler-5000dpi-r1.png,29,30,5000,"middle prose and formulas of 3.5.1",769457,0E73628479B06CA5D464A9EAF9ECF2F08881BFE7C4C6F3DEAD31AACA3B57495B
qa/ega1_chapter0_authority_5000dpi_details/p30-351-band03-direct-poppler-5000dpi-r1.png,29,30,5000,"3.5.1 compatibility square and lower-page continuation",756981,8850E6F7ECC28CBE2F9A086756EC21971E3F97DE02032DCB1CE16BA43D77A7B3
qa/ega1_chapter0_authority_5000dpi_details/p31-full-direct-mutool-5000dpi-r1.png,30,31,5000,"direct full-page authority rendering for printed page 31",14557025,ACA477A6A2D81F31C290835A18F6B60D74EAAAC804C5A711EF81B430AC9AF170
qa/ega1_chapter0_authority_5000dpi_details/p31-band01-from-mutool-5000dpi-r1.png,30,31,5000,"upper-page continuation and close of 3.5.1",482956,ADCD3C5197DF5430A1C83DB7F566FF78F4BC9442DFBCE00444369201F7D5DBAD
qa/ega1_chapter0_authority_5000dpi_details/p31-band02-from-mutool-5000dpi-r1.png,30,31,5000,"3.5.2 composition of morphisms",568416,339661D935988FB28529FBE6B10B70BE96B7DB7F79D09D85BDE3726864C36DBD
qa/ega1_chapter0_authority_5000dpi_details/p31-band03-from-mutool-5000dpi-r1.png,30,31,5000,"opening and central formula of 3.5.3",513377,C8D2AE668C57E0F26B8524E42E1C8808F2117D73BB64C830FE42DAD9A9B79272
qa/ega1_chapter0_authority_5000dpi_details/p31-band04-from-mutool-5000dpi-r1.png,30,31,5000,"3.5.3 formula sequence and explanatory prose",485172,E964E50F68BB7A0E68289E80F99ED85565D495756EECECEE5B5B63C85DCBB366
qa/ega1_chapter0_authority_5000dpi_details/p31-band05-from-mutool-5000dpi-r1.png,30,31,5000,"lower-page close of 3.5.3",232142,0EBDC263D209E98E9C64176F4118A4AD4960D3AFA8A0C20F5617896B53AF21B0
qa/ega1_chapter0_authority_5000dpi_details/p32-full-direct-mutool-5000dpi-r1.png,31,32,5000,"direct full-page authority rendering for printed page 32",12238596,076E6DC41BEDCE515AEDF85D6BA31AE3623509E1929764060405A1869D38311B
qa/ega1_chapter0_authority_5000dpi_details/p32-band01-from-mutool-5000dpi-r1.png,31,32,5000,"opening and formula 3.5.4.1",342431,A6634BE1BAFF83D020BC3622D2B21BE9E48ED02A0DB422562CF29CB91E22C824
qa/ega1_chapter0_authority_5000dpi_details/p32-band02-from-mutool-5000dpi-r1.png,31,32,5000,"formulas 3.5.4.2 through 3.5.4.4",374205,F049B728AB3155DE4FD1F1D7A83A4EF2866C2ACE1F94FAE1C8DA12AC98448067
qa/ega1_chapter0_authority_5000dpi_details/p32-band03-from-mutool-5000dpi-r1.png,31,32,5000,"3.5.4 universal-property prose and transition",356890,8074ECA4287E6B97D8F0088519CDCC13F944AFA1BA816C18DACA9B1D31CC1236
qa/ega1_chapter0_authority_5000dpi_details/p32-band04-from-mutool-5000dpi-r1.png,31,32,5000,"opening of 3.5.5 and formula 3.5.5.1",417052,1D2FA9D17F09D0B0EDCFDFD41999CD38481D687F68B7BF5016C4EBE6265EEFE9
qa/ega1_chapter0_authority_5000dpi_details/p32-band05-from-mutool-5000dpi-r1.png,31,32,5000,"printed footnote and lower-page seam into 3.5.5",184935,3A18FE03AC64B48DB99D564B4AB646A7332E529BD8769895851BC7A2061DBB6D
qa/ega1_chapter0_authority_5000dpi_details/p33-full-direct-mutool-5000dpi-r1.png,32,33,5000,"direct full-page authority rendering for printed page 33",13596544,E95FB889D7F832412F55697C3F17B1F5840293A22DA008365C4CE0713DEE7D26
qa/ega1_chapter0_authority_5000dpi_details/p33-band01-from-mutool-5000dpi-r1.png,32,33,5000,"close of 3.5.5 and opening of 3.5.6",386601,60771B565AEEBE6DACD71F8489FE6511EF265844F00770FDA220297E2EC9A41F
qa/ega1_chapter0_authority_5000dpi_details/p33-band02-from-mutool-5000dpi-r1.png,32,33,5000,"3.5.6 and subsection 3.6 heading",463401,F8236422020E849B0E0D89841C47989C61DA6ADF41DE5D7CE035C9E32847025B
qa/ega1_chapter0_authority_5000dpi_details/p33-band03-from-mutool-5000dpi-r1.png,32,33,5000,"3.6.1 and opening of 3.6.2",419927,D42A644D4F2454D3356D96BD6FBE80AF2F7E1ECC4E53D15FD9FC1A6D4867FEED
qa/ega1_chapter0_authority_5000dpi_details/p33-band04-from-mutool-5000dpi-r1.png,32,33,5000,"3.6.2 equivalences and restriction-map argument",547321,0018425A9EE083C085EAFEF016584C6832ADB9F05A1E6CD87496483522235096
qa/ega1_chapter0_authority_5000dpi_details/p33-band05-from-mutool-5000dpi-r1.png,32,33,5000,"lower-page completion of 3.6.2",255616,93CBF87C7DE9DB3563FDB9423DC614FCDEF4514E2C2B828FFE5AE45A345ADB2A
