image_file,pdf_page,printed_page,dpi,purpose,bytes,sha256
qa/ega1_chapter0_authority_1400dpi/authority-014.png,14,15,1400,"whole-page source context",5481246,82CD6AEC60303CFCFDBB48ADDA133FC7A142BF700270E34E85520D63BCDFC162
qa/ega1_chapter0_authority_5000dpi_details/p15-141-map-definitions-a.png,14,15,5000,"1.4.1 ring map and first identity",410342,DE804232D1D49E1C7E512B82E53B5A8E9F795B36FFC1C8E9421D500F3251A25B
qa/ega1_chapter0_authority_5000dpi_details/p15-141-map-definitions-b.png,14,15,5000,"1.4.1 module map and functoriality",560845,E203E93B859C37A6F16CA03683D465DC1D7F217074748AD0800146F4F59C1B2B
qa/ega1_chapter0_authority_5000dpi_details/p15-141-naturality-square.png,14,15,5000,"1.4.1 naturality square",357186,6D52EF1E7DCFC63F0690579983EBADA58D9D5969C1B83360EDDB6578B1721178
qa/ega1_chapter0_authority_1400dpi/authority-p16.png,15,16,1400,"whole-page source context",3861943,A4C2C7B35380784A84A7C360AC68F204F33EB3A8FFCDA393672AB2934C2C1B35
qa/ega1_chapter0_authority_5000dpi_details/p16-141-determined-formula.png,15,16,5000,"1.4.1 formula determining localized u",157835,4397152A16EA96B697523508D3430D38FE37CD6157A5635810EB0140A5CBB9D9
qa/ega1_chapter0_authority_5000dpi_details/p16-142-tensor-hom-squares.png,15,16,5000,"1.4.2 tensor and Hom squares",581432,19D2615EA3CD7500749E6E611CE5CE134936BF76978E0F9F744F7F10208541B3
qa/ega1_chapter0_authority_5000dpi_details/p16-144-composition-law.png,15,16,5000,"1.4.4 rho composition law",168688,F9C079215A5FA2E551CE67D07102FAF3AD465A9831340984CA7C9F910725EECB
qa/ega1_chapter0_authority_5000dpi_details/p16-145-filtered-family-a.png,15,16,5000,"1.4.5 filtered family definitions",351895,36E4F96633D12765D8C2FCDCD838B27C91BF3F705F0FF6E4870F391AFAB68D25
qa/ega1_chapter0_authority_5000dpi_details/p16-145-filtered-family-b.png,15,16,5000,"1.4.5 canonical maps and phi",413749,4C43414CC54BA96C34D53BAB306061D2D32C137DDBA94FA68F490106434E85AB
qa/ega1_chapter0_authority_5000dpi_details/p16-145-triangle-diagram.png,15,16,5000,"1.4.5 triangular commutative diagram",471887,3E9D451B28CF0B7133A95D5E7DCB78B0375EE4EC6F934341F287AA2379B75EFE
qa/ega1_chapter0_authority_5000dpi_details/p16-145-injectivity-proof.png,15,16,5000,"1.4.5 injectivity argument notation",516850,D01123E63A77FB4A8483BF9C077CEE072EB01A623A26DFB0D684C25ADE8ECFF5
qa/ega1_chapter0_authority_5000dpi_details/p16-145-limit-isomorphisms.png,15,16,5000,"1.4.5 canonical limit isomorphisms",233689,DCE03F300727D4E22BDEDA16823DE604087A88C4FA5F9582A88EB98A25F67E12
