zip,path,line,keyword,context
Dirichlet_R16_XXV_hydro_20260603.zip,Dirichlet_R16_XXV_hydro_20260603/README.md,9,facsimile,"amik.  Compact layout: - `new/orig/tex`, `new/orig/pdf`: separate German source facsimile files for XXV. - `new/en/tex`, `new/en/pdf`: separate English translation files for XXV. - `cum/orig/tex`, `cum/orig/pdf`: ordered individual original-language"
Dirichlet_R16_XXV_hydro_20260603.zip,Dirichlet_R16_XXV_hydro_20260603/status.md,7,facsimile,es a compact folder structure. The original-language XXV deliverable is a clean facsimile built from the complete substantive scan span; this avoids promoting OCR as a formula-trustworthy German transcription for this long posthumous paper. The Engl
Dirichlet_R17_XXVI_Abel_20260603.zip,Dirichlet_R17_XXVI_Abel_20260603/README.md,9,compact,"Ia. Anhang / Appendix divider immediately following XXVI in the source volume.  Compact layout: - `new/orig/tex`, `new/orig/pdf`: new original-language TeX/PDF. - `new/en/tex`, `new/en/pdf`: new English TeX/PDF. - `cum/orig/tex`, `cum/orig/pdf`: o"
Dirichlet_R18_XXVII_Kummer_20260603.zip,Dirichlet_R18_XXVII_Kummer_20260603/README.md,14,facsimile,"s. - `src/pages/` contains scan witnesses used for the original-language source-facsimile. - `work/` contains source mapping and OCR assistance material, not front-facing reading copy. - Reading PDFs have no raw scan page-marker labels inserted into"
Dirichlet_R18_XXVII_Kummer_20260603.zip,Dirichlet_R18_XXVII_Kummer_20260603/manifest.json,19,compact,"VII_orig.pdf"",     ""cum/pdf/dirichlet_b2_I-XXVII_en.pdf""   ],   ""path_policy"": ""compact names for Windows path-length safety"" }"
Dirichlet_R18_XXVII_Kummer_20260603.zip,Dirichlet_R18_XXVII_Kummer_20260603/work/notes.md,3,facsimile,Round 18 production note  The original-language item is delivered as a source-facsimile PDF built directly from the Werke Band II scan pages 309-344. This preserves the German text and typography without introducing OCR risks in a long prose memor
Dirichlet_R19_XXVIII_XXIX_20260603.zip,Dirichlet_R19_XXVIII_XXIX_20260603/README.md,10,compact, typeset in TeX rather than replaced by images. Package paths are intentionally compact for Windows path-length safety. 
Dirichlet_R20_XXX_XXXV_20260604.zip,Dirichlet_R20_XXX_XXXV_20260604/new/en/tex/30_indet_en.tex,24,summary,"eorem of Indeterminate Analysis\par} \vspace{0.8em} \end{center}  I read in the summary of the meetings of the Académie des Sciences, inserted in the \emph{Annales de Chimie et de Physique}: ``M. Lamé presents a memoir on the impossibility of the "
Dirichlet_R20_XXX_XXXV_20260604.zip,Dirichlet_R20_XXX_XXXV_20260604/README.md,14,screenshot, pages 381-385.  The reading PDFs are TeX-typeset; formulae are not replaced by screenshots. Source page PNGs and scan PDFs are retained only as witnesses in `src/`. Paths remain compact for Windows path-length safety. Cumulative PDFs are rebuilt thr
Dirichlet_R21_XXXVI_Gauss_20260604.zip,Dirichlet_R21_XXXVI_Gauss_20260604/README.md,20,screenshot,Gauss correspondence are represented directly in TeX rather than by pasted page screenshots. 
