language_code,language_name,focused_open_license_tex_payload_files,focused_tex_candidate_decisions,blocked_or_manifest_only_rows,local_pdf_web_witness_rows,target,status
pl,Polish,34,34,0,6,hundreds_of_source_witnesses_per_language_where_available,below_target
cs,Czech,41,41,0,6,hundreds_of_source_witnesses_per_language_where_available,below_target
sk,Slovak,26,26,0,1,hundreds_of_source_witnesses_per_language_where_available,below_target
sl,Slovene,60,61,1,0,hundreds_of_source_witnesses_per_language_where_available,below_target
sr,Serbian,42,46,4,1,hundreds_of_source_witnesses_per_language_where_available,below_target
hr,Croatian,54,57,3,2,hundreds_of_source_witnesses_per_language_where_available,below_target
bs,Bosnian,49,51,2,2,hundreds_of_source_witnesses_per_language_where_available,below_target
cnr,Montenegrin,0,6,6,1,hundreds_of_source_witnesses_per_language_where_available,below_target
bg,Bulgarian,4,5,1,2,hundreds_of_source_witnesses_per_language_where_available,below_target
mk,Macedonian,14,14,0,2,hundreds_of_source_witnesses_per_language_where_available,below_target
be,Belarusian,54,59,5,2,hundreds_of_source_witnesses_per_language_where_available,below_target
hsb,Upper Sorbian,0,29,29,1,hundreds_of_source_witnesses_per_language_where_available,below_target
dsb,Lower Sorbian,0,37,37,0,hundreds_of_source_witnesses_per_language_where_available,below_target
