book_page,source_pdf_page,image_file
91,109,page_images/book_p091_pdf_p109.png
92,110,page_images/book_p092_pdf_p110.png
93,111,page_images/book_p093_pdf_p111.png
94,112,page_images/book_p094_pdf_p112.png
95,113,page_images/book_p095_pdf_p113.png
96,114,page_images/book_p096_pdf_p114.png
97,115,page_images/book_p097_pdf_p115.png
98,116,page_images/book_p098_pdf_p116.png
99,117,page_images/book_p099_pdf_p117.png
100,118,page_images/book_p100_pdf_p118.png
101,119,page_images/book_p101_pdf_p119.png
102,120,page_images/book_p102_pdf_p120.png
103,121,page_images/book_p103_pdf_p121.png
104,122,page_images/book_p104_pdf_p122.png
105,123,page_images/book_p105_pdf_p123.png
106,124,page_images/book_p106_pdf_p124.png
107,125,page_images/book_p107_pdf_p125.png
108,126,page_images/book_p108_pdf_p126.png
109,127,page_images/book_p109_pdf_p127.png
110,128,page_images/book_p110_pdf_p128.png
111,129,page_images/book_p111_pdf_p129.png
112,130,page_images/book_p112_pdf_p130.png
113,131,page_images/book_p113_pdf_p131.png
114,132,page_images/book_p114_pdf_p132.png
115,133,page_images/book_p115_pdf_p133.png
116,134,page_images/book_p116_pdf_p134.png
117,135,page_images/book_p117_pdf_p135.png
118,136,page_images/book_p118_pdf_p136.png
