"crosswalk_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_form","zh_hant_controlled_form","zh_hant_status","ja_form","ko_form","ja_ko_evidence_status","sense_window","excluded_senses","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","independent_check_status"
"P21-ZH-X001","P21-ZH-T001","source snapshot lines 1, 9, and 11; segment A","formale Variationsrechnung","形式变分法","形式變分法","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","A formal method of variational calculus in the paper's mathematical discussion, including formal variation and integration-by-parts operations.","informal variation; typographical variants; numerical perturbation alone; bookkeeping calculation unrelated to variational calculus","modern Sino-xenic coinage/calque","Medium: 形式变分法 follows compact PRC mathematical compounding, while 演算 and 计算 are competing renderings and non-Mainland historical usage is untested.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","independent check absent; pending"
"P21-ZH-X002","P21-ZH-T002","source snapshot lines 1, 3, 9, 11, and 80; segments A and C","Differentialinvariante","微分不变量","微分不變量","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","A mathematical invariant involving differential expressions and the transformation framework of the paper.","an ordinary differential; a constant of integration; a derivative that happens not to vary; a generic invariant with no differential structure","modern Sino-xenic coinage/calque","Medium: 不变量 is strongly normalized in Mainland mathematical prose, while 不变式 remains a live attractor and regional historical preferences were not researched.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","independent check absent; pending"
"P21-ZH-X003","P21-ZH-T003","source snapshot lines 17, 80, 82, and 84; segments A and C","Variationsproblem","变分问题","變分問題","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","A calculus-of-variations problem whose extremal or invariance structure is under discussion.","statistical variance; textual variation; a generic change-management problem; arbitrary optimization without variational structure","modern Sino-xenic coinage/calque","Low-to-medium: 变分问题 is conventional PRC mathematical wording but its register and competing terminology outside Mainland usage were not researched.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","independent check absent; pending"
"P21-ZH-X004","P21-ZH-T004","source snapshot line 24, with plural inflection; segment A","Lagrangescher Ausdruck","Lagrange 表达式","Lagrange 表達式","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The Lagrange-associated expressions denoted by psi_i in the paper's variational equations.","the Lagrangian function itself; Lagrange multipliers; Lagrange interpolation; any algebraic expression merely written by Lagrange","mixed/contested","High: the Latin surname plus 表达式 format is Mainland-oriented mixed notation; 拉格朗日 and more specific Euler–Lagrange labels are competing attractors, and regional naming was not researched.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","independent check absent; pending"
"P21-ZH-X005","P21-ZH-T005","source snapshot lines 24 and 47; segment A","kontragredient","逆变","逆變","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","Transformation in the contragredient manner relative to the differential variables named in context.","an inverse function; an arbitrary reversal; matrix inversion by itself; a merely opposite change","modern Sino-xenic coinage/calque","High: 逆变 is a terse Mainland technical form and can attract the broader tensor sense of contravariance; 反变 and fuller phrases were not regionally investigated.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","independent check absent; pending"
"P21-ZH-X006","P21-ZH-T006","source snapshot lines 35, 52, and 58; segments A and B","kogredient","协变","協變","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","Transformation in the same or cogredient manner in the paper's paired transformation language.","statistical covariance; collaboration or coordinated change; covariant differentiation itself; mere simultaneous variation","modern Sino-xenic coinage/calque","High: 协变 is entrenched in Mainland tensor vocabulary and may collapse the historical kogredient/covariant distinction; 共变 and 同变 remain untested alternatives.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","independent check absent; pending"
"P21-ZH-X007","P21-ZH-T007","source snapshot lines 24 and 68; segment A and segment B","Lagrangesche Zentralgleichung","Lagrange 中心方程","Lagrange 中心方程","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The historically named Lagrange central equation in the paper's formal variational construction.","a central-force equation; the central limit theorem; an arbitrary equation placed centrally on the page; the Euler–Lagrange equation without the historical label","mixed/contested","High: the mixed Latin-name construction and literal 中心方程 are Mainland-oriented producer wording; whether 恒等式 better fits the local use and how regions name it remain unchecked.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","independent check absent; pending"
"P21-ZH-X008","P21-ZH-T008","source snapshot lines 56, 80, and 82, with plural inflection; segments A and C","geodätische Linie","测地线","測地線","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","A geodesic line or curve in the differential-geometric setting of the paper.","a surveying line on the Earth's surface alone; any visually shortest segment; a straight line in Euclidean coordinates without the geometric structure","modern Sino-xenic coinage/calque","Medium: 测地线 is Mainland-standard modern geometry vocabulary; 測地線 is only a generic script derivative here and regional historical choices were not researched.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","independent check absent; pending"
"P21-ZH-X009","P21-ZH-T009","source snapshot lines 58, 62, 68, 78, and 80; segments B and C","kovariante Ableitung","协变导数","協變導數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The differential-geometric covariant derivative operation applied to the forms in the paper.","ordinary derivative; statistical covariance derivative; a derivative that is merely coordinate-independent; cogredient behavior without differentiation","modern Sino-xenic coinage/calque","High: 协变导数 is strongly Mainland-normalized terminology; 共变 and 微分 variants are known lexical attractors, and no regional evidence shelf was consulted.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","independent check absent; pending"
"P21-ZH-X010","P21-ZH-T010","source snapshot lines 64, 78, and 80; segments B and C","Krümmungsform","曲率形式","曲率形式","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","A curvature-associated mathematical form produced by the stated invariant construction.","scalar curvature alone; the visual shape of a curve; a generic differential form unrelated to curvature; a curvature formula as prose","modern Sino-xenic coinage/calque","High: 曲率形式 is a literal Mainland-compatible compound whose technical granularity is underdetermined; 型 and 二次型 are competing attractors and regional usage is untested.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","independent check absent; pending"
