"decision_id","source_locator","exact_german_phrase","concept_scope","zh_hans_cn_choice","sense_window","excluded_senses","alternatives_considered","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_form","controlled_hant_status","independent_check_status","producer_note"
"P21-ZH-T001","source snapshot lines 1, 9, and 11; segment A","formale Variationsrechnung","formal calculus-of-variations method used to organize the stated invariant constructions","形式变分法","A formal method of variational calculus in the paper's mathematical discussion, including formal variation and integration-by-parts operations.","informal variation; typographical variants; numerical perturbation alone; bookkeeping calculation unrelated to variational calculus","形式变分演算; 形式变分计算; 形式变分学","modern Sino-xenic coinage/calque","Medium: 形式变分法 follows compact PRC mathematical compounding, while 演算 and 计算 are competing renderings and non-Mainland historical usage is untested.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","形式變分法","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The supplied producer form is recorded as a bounded Hans choice, not validated as a uniquely correct or regionally neutral term."
"P21-ZH-T002","source snapshot lines 1, 3, 9, 11, and 80; segments A and C","Differentialinvariante","invariant formed from differential data under the transformations discussed in the paper","微分不变量","A mathematical invariant involving differential expressions and the transformation framework of the paper.","an ordinary differential; a constant of integration; a derivative that happens not to vary; a generic invariant with no differential structure","微分不变式; 微分恒量; differential invariant","modern Sino-xenic coinage/calque","Medium: 不变量 is strongly normalized in Mainland mathematical prose, while 不变式 remains a live attractor and regional historical preferences were not researched.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","微分不變量","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The record distinguishes the supplied noun from ordinary differentials and makes no external terminology-certification claim."
"P21-ZH-T003","source snapshot lines 17, 80, 82, and 84; segments A and C","Variationsproblem","problem posed through variation of an integral or differential expression in the stated formal framework","变分问题","A calculus-of-variations problem whose extremal or invariance structure is under discussion.","statistical variance; textual variation; a generic change-management problem; arbitrary optimization without variational structure","变分课题; 泛函极值问题; 变分原理问题","modern Sino-xenic coinage/calque","Low-to-medium: 变分问题 is conventional PRC mathematical wording but its register and competing terminology outside Mainland usage were not researched.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","變分問題","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The supplied compact compound is preserved without treating it as evidence for any Traditional-Chinese regional standard."
"P21-ZH-T004","source snapshot line 24, with plural inflection; segment A","Lagrangescher Ausdruck","the named expressions psi_i occurring in the formal variational identity","Lagrange 表达式","The Lagrange-associated expressions denoted by psi_i in the paper's variational equations.","the Lagrangian function itself; Lagrange multipliers; Lagrange interpolation; any algebraic expression merely written by Lagrange","拉格朗日表达式; Lagrange 式; 欧拉—拉格朗日表达式","mixed/contested","High: the Latin surname plus 表达式 format is Mainland-oriented mixed notation; 拉格朗日 and more specific Euler–Lagrange labels are competing attractors, and regional naming was not researched.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","Lagrange 表達式","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The supplied form is recorded exactly; whether a longer historical name is preferable is left to independent review."
"P21-ZH-T005","source snapshot lines 24 and 47; segment A","kontragredient","contragredient transformation behavior assigned to the relevant expressions or vectors","逆变","Transformation in the contragredient manner relative to the differential variables named in context.","an inverse function; an arbitrary reversal; matrix inversion by itself; a merely opposite change","反变; 逆协变; 对偶变换","modern Sino-xenic coinage/calque","High: 逆变 is a terse Mainland technical form and can attract the broader tensor sense of contravariance; 反变 and fuller phrases were not regionally investigated.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","逆變","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The graph records only the supplied producer choice and its sense boundary, not a judgment between tensor-era terminologies."
"P21-ZH-T006","source snapshot lines 35, 52, and 58; segments A and B","kogredient","cogredient transformation behavior assigned to the indicated differential operator or vector","协变","Transformation in the same or cogredient manner in the paper's paired transformation language.","statistical covariance; collaboration or coordinated change; covariant differentiation itself; mere simultaneous variation","共变; 同变; 协同变换","modern Sino-xenic coinage/calque","High: 协变 is entrenched in Mainland tensor vocabulary and may collapse the historical kogredient/covariant distinction; 共变 and 同变 remain untested alternatives.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","協變","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","No semantic adjudication of the historical transformation pair is made in this packaging subtask."
"P21-ZH-T007","source snapshot lines 24 and 68; segment A and segment B","Lagrangesche Zentralgleichung","the named central equation or identity used to define and generalize the formal expressions","Lagrange 中心方程","The historically named Lagrange central equation in the paper's formal variational construction.","a central-force equation; the central limit theorem; an arbitrary equation placed centrally on the page; the Euler–Lagrange equation without the historical label","拉格朗日中心方程; Lagrange 中心恒等式; 拉格朗日中心等式","mixed/contested","High: the mixed Latin-name construction and literal 中心方程 are Mainland-oriented producer wording; whether 恒等式 better fits the local use and how regions name it remain unchecked.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","Lagrange 中心方程","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The supplied form is preserved as a decision record, with the equation-versus-identity attractor left explicit."
"P21-ZH-T008","source snapshot lines 56, 80, and 82, with plural inflection; segments A and C","geodätische Linie","geodesic curves arising from the displayed differential equations and coordinate construction","测地线","A geodesic line or curve in the differential-geometric setting of the paper.","a surveying line on the Earth's surface alone; any visually shortest segment; a straight line in Euclidean coordinates without the geometric structure","测地曲线; 短程线; 测地线路","modern Sino-xenic coinage/calque","Medium: 测地线 is Mainland-standard modern geometry vocabulary; 測地線 is only a generic script derivative here and regional historical choices were not researched.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","測地線","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The record does not claim that the generic Hant script form establishes Taiwan, Hong Kong, or Macao usage."
"P21-ZH-T009","source snapshot lines 58, 62, 68, 78, and 80; segments B and C","kovariante Ableitung","covariant derivative constructed by eliminating higher differentials as described","协变导数","The differential-geometric covariant derivative operation applied to the forms in the paper.","ordinary derivative; statistical covariance derivative; a derivative that is merely coordinate-independent; cogredient behavior without differentiation","共变导数; 协变微分; 共变微分","modern Sino-xenic coinage/calque","High: 协变导数 is strongly Mainland-normalized terminology; 共变 and 微分 variants are known lexical attractors, and no regional evidence shelf was consulted.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","協變導數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The supplied producer choice is recorded without independently checking its historical or regional register."
"P21-ZH-T010","source snapshot lines 64, 78, and 80; segments B and C","Krümmungsform","the curvature form K/Omega construction described in the variational development","曲率形式","A curvature-associated mathematical form produced by the stated invariant construction.","scalar curvature alone; the visual shape of a curve; a generic differential form unrelated to curvature; a curvature formula as prose","曲率型; 曲率二次型; 曲率张量形式","modern Sino-xenic coinage/calque","High: 曲率形式 is a literal Mainland-compatible compound whose technical granularity is underdetermined; 型 and 二次型 are competing attractors and regional usage is untested.","supplied producer editorial choice instantiated in the assembled Hans target; inherited Simplified-Chinese drafting witness bound but not treated as authority; independent checking absent","曲率形式","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Packaging does not adjudicate whether 形式 or a more specific algebraic-form label is preferable."
