complete_physical_page,source_scope,render_path,inspection_result
9,"source-PDF 14 restored perfect-complex/K(Parf) passage","target_pages_clean_final/complete-page-009.png","PASS: complete restored passage, triangle, and formulas are legible; no clipping or overlap"
80,"source-PDF 141 Exercise 5.7","target_pages_clean_final/complete-page-080.png","PASS: marker 13 is repeated visibly at part b and footnote 13 is present in full"
81,"source-PDF 142 Lemma 5.8.2","target_pages_clean_final/complete-page-081.png","PASS: displayed marker 14 and bottom footnote 14 agree; full final-object/constant-sheaf text is present"
152,"source-PDF 277 proof and Corollary 5.6","target_pages_clean_final/complete-page-152.png","PASS: restored hypotheses, stalk/cycle formulas, and D-minus typography are legible"
157,"source-PDF 286 omission-policy footnote","target_pages_clean_final/complete-page-157.png","PASS: footnote 23 is present in full and the page is unclipped"
191,"source-PDF 347 formulas 5.4.1 and 5.4.2","target_pages_clean_final/complete-page-191.png","PASS: derivations, sums, cancellation text, and both formula labels are legible"
192,"source-PDF 350 gamma correction","target_pages_clean_final/complete-page-192.png","PASS: gamma relation and restored weight/filtration argument are legible"
206,"source-PDF 377 restored Lemmas 1.5.1/1.5.2 and renumbering","target_pages_clean_final/complete-page-206.png","PASS: restored results and downstream Proposition 1.6/1.7 sequence render cleanly"
224,"source-PDF 431 retained repair105 block","target_pages_clean_final/complete-page-224.png","PASS: the exact-hash-verified retained Proposition 1.8 block begins cleanly; no clipping or overlap"
272,"Exposé IX terminal seam leaf","target_pages_clean_final/complete-page-272.png","PASS: Corollaries 4.3 and 4.4 end cleanly with no Exposé X duplication"
273,"Exposé X opening / idx532","target_pages_clean_final/complete-page-273.png","PASS: title, authorship, section 1, subsection 1.1, and opening formulas start on a fresh page"
381,"physical terminal","target_pages_clean_final/complete-page-381.png","PASS: notation index ends physically with Z(x); bottom rule and footer are intact"
