role,path,bytes,sha256
"final root TeX","SGA6_English_Complete_Layered_WorkingEdition.tex",3917,7E731468367BBC27A37BC224BBBEE3FAB37A3852FC76BB541A1AF36EF76D50F3
"final clean-auxiliary PDF","SGA6_English_Complete_Layered_WorkingEdition.pdf",2565870,F8B1E15754BEB5C83CF2A47B261D6F9F907DE5B7E8A6ED4DF311C624E38C7B8E
"final integrated prefix","SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex",812912,3FE03C89BA0662A61607CDE80DDB24BC4683FA37C30C1DA580908CFAD186F68C
"tail macro reset","SGA6_tail_macro_state.tex",3943,7EB2EF408B4541FD6AE5CA295B00049601B44A789F8696D48FFEC9C4310F29F2
"synchronized tail body","SGA6_idx532_702_and_backmatter_English_Synchronized_body.tex",106090,613006848EC8968D991FE2556AEC1B49AF29EB268FCA8C9C559DD61EF238C1A4
"standalone reviewed tail PDF","SGA6_idx532_702_and_backmatter_English_Synchronized.pdf",1028065,7B1280140ADE4BC7FBA152F3BA9006EA6AA1E288FBADB9740D2980085098164E
"clean build pass 1 log","logs/COMPLETE_BUILD_PASS1.log",45924,25C87149FC9F3DDCF37235AD55A42B369FA993D14BCA2F1BF621208496AA2632
"stabilized build pass 2 log","logs/COMPLETE_BUILD_PASS2.log",45759,A9B1182E2E266B8A4A8A883D17B1E5F7812F83F7951EF67269C15A01D9FC6E1C
"final validation JSON","logs/COMPLETE_BUILD_VALIDATION.json",1610,81B847D6CBEC053224114B28E393DCB269D8575BA2E2929D902DCD0764BEA8A1
"final pdfinfo receipt","logs/COMPLETE_PDFINFO.txt",597,4A709684DC81A53116F4ECA9EF2E03DA60F837473D309F6B2C232D02900511A0
"final font receipt","logs/COMPLETE_PDFFONTS.txt",4041,E4BE52CC389F45B9C1EC94DFBF80FEBC3E9DC2F512880A91F075149705E580A5
"frozen repair108 witness","C:/Users/Floris/Documents/interlanguage/03_projects/language_management/english_germanic/01_recovered_witnesses/sga6_english_controls/repair108_unsynced/sga6_en_unsynced_baseline_repair108.tex",1085092,FFCE609E3F38124C801304F109767C60A94B9319637B0F926B9D797CCCDC74D8
"initial exact prefix extraction","controls/complete_integration_review/SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex",807071,EEEDD95BB9C042CCB1E4D9F5685248609E870DB3F0C270598FCE28B5B007DE2B
"sealed repaired prefix witness","controls/prefix_repairs_integration_postseal/SGA6_prefix_sealed_before_hyperlink_fix_SHA6A6878FC.tex",812825,6A6878FCE68050F797E1E4256D363D038A7BE0B4C8A00430195E268887391194
"post-seal technical receipt","controls/prefix_repairs_integration_postseal/POST_SEAL_TECHNICAL_FIX.md",2517,CFA9018E4533055E0C8F5B36434939BE2819E345E7F7500F896641FD4207A743
"post-seal technical ledger","controls/prefix_repairs_integration_postseal/TECHNICAL_CHANGE_LEDGER.csv",839,64272C0CB9B0AC662BB553E5910CDF14941CA5DA7278A01DA4D43DFEC545BC23
