"row_type","witness_id","language_or_scope","topic_tags","source_title","source_url","source_type","local_path","text_or_ocr_path","sha256","text_sha256","bytes","text_bytes","access_metadata","license_or_access_signal","topic_confirmation_hits","evidence_status","next_gate","non_claim_boundary"
"control_file","CTRL-AGENTS","repository instructions","source-canon coordination","AGENTS.md","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","","6731","","local repo file hash","local control file","","observed","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"control_file","CTRL-COPILOT","repository instructions","source-canon coordination",".github/copilot-instructions.md","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","","2369","","local repo file hash","local control file","","observed","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"control_ledger","CTRL-PARENT","parent ledger","source-canon coordination","NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","","749DA569A2C9BDA004E4560D010A9D2D8D46CF060FFCACF4163B3BB67C2EA08C","","502635","","local file hash","local coordination ledger","","observed","Use latest parent ledger as coordination anchor.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"control_ledger","CTRL-STEERING","source-canon steering","source-canon coordination","NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","","4993","","local file hash","local source-canon steering record","","observed","Use source-canon steering as coordination anchor.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"register_state","R2-REGISTER-BOUNDARY","R2 Pan-Turkic current register","R2 boundary; hard blockers unchanged","NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","","register_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","","5BFD1920A01B1079A1C1047553ABD4313276185B8EA4C7D26A809B22092A49D7","","75220","","rows=61; source_level_tex_archive_rows=0; explicit_hard_blocker_gap_rows=8","local normalized register","","r2_boundary_unchanged","Keep hard blockers explicit until exact source row, reviewer return, or authority/license/native-domain gate is satisfied.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-006","mixed/derived","derived machine text/OCR sidecar","current_web_source_canon_20260704_CWS-KY-001_edu_gov_kg_matematika_curriculum.pdf.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-KY-001_edu_gov_kg_matematika_curriculum.pdf.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-KY-001_edu_gov_kg_matematika_curriculum.pdf.txt","55E810B006FCA02CB6F50C8E40AC719941866C0F905933F20740E91031151985","55E810B006FCA02CB6F50C8E40AC719941866C0F905933F20740E91031151985","130629","130629","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-007","mixed/derived","derived machine text/OCR sidecar","current_web_source_canon_20260704_CWS-KY-002_daramet_algebra_8_klass.pdf.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-KY-002_daramet_algebra_8_klass.pdf.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-KY-002_daramet_algebra_8_klass.pdf.txt","29FAC0D79990BDF6525160630765B6D9F735CAF8548BDBEB67D6EDD70949456D","29FAC0D79990BDF6525160630765B6D9F735CAF8548BDBEB67D6EDD70949456D","104","104","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-008","mixed/derived","derived machine text/OCR sidecar","current_web_source_canon_20260704_CWS-TT-001_edu_tatar_textbook_list_2015_2016.pdf.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-TT-001_edu_tatar_textbook_list_2015_2016.pdf.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-TT-001_edu_tatar_textbook_list_2015_2016.pdf.txt","252DBE9A6CC2C9FF89B76C40093B0D2ADE8F7EF0A9F7D657F6B54DEE7659407B","252DBE9A6CC2C9FF89B76C40093B0D2ADE8F7EF0A9F7D657F6B54DEE7659407B","35687","35687","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-009","mixed/derived","derived machine text/OCR sidecar","current_web_source_canon_20260704_CWS-TT-002_fanni_tatarstan_2025_math_tatar.pdf.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-TT-002_fanni_tatarstan_2025_math_tatar.pdf.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-TT-002_fanni_tatarstan_2025_math_tatar.pdf.txt","2B3C41F775C62C6586452D3DA9339417CA0416BC0978C0473394D7AC07E89C10","2B3C41F775C62C6586452D3DA9339417CA0416BC0978C0473394D7AC07E89C10","28410","28410","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"scan_text_or_ocr_inventory","TXTSCAN-010","mixed/derived","derived machine text/OCR sidecar","source_canon_gap_closure_20260704_GCS-KY-001_bizdin_math_terms_dictionary.pdf.txt","see existing source register/inventory for parent PDF","text_or_ocr_sidecar_scanned","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-KY-001_bizdin_math_terms_dictionary.pdf.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-KY-001_bizdin_math_terms_dictionary.pdf.txt","99D7733A44131EAD77B49A42F2B7C5EAE2815C0CFD4637B1A8619EDE9D5BEF43","99D7733A44131EAD77B49A42F2B7C5EAE2815C0CFD4637B1A8619EDE9D5BEF43","546335","546335","included in 22-file local text/OCR exact hard-row exhaustion scan","inherits parent source access; no blanket license-clearance claim","inventory row only","scanned_text_or_ocr_inventory","Use exact scan rows for hard-row status.","source-canon/provenance/gap support only; local text/OCR exhaustion scan only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
