"manifest_id","relative_path","bytes","sha256","media_type","release_role","scope","status","caveat"
"SGA2-X-L36P-R3-PUBLIC-20260722-0001-MAN-001","AUTHORITY_SCOPE_AND_RIGHTS.md","1314","23E1CC8F40E7FA340CDBD8403C7C045E9E991EBDB69D805887BCDDAE5A02E064","text/markdown","archive_custody_control","French lines 3522-3530","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L36P-R3-PUBLIC-20260722-0001-MAN-002","HANDOFF_IDENTITY.json","1103","C92AE917BA23747E113CEBCFF998F797710E09C8C5D16C1D7D9927C23ADE9470","application/json","archive_custody_control","French lines 3522-3530","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L36P-R3-PUBLIC-20260722-0001-MAN-003","independent_review/INDEPENDENT_CONTROL_VALIDATION.json","705","B996940AB50920D311C112736C3D11D2A6C10F10C17F40A5AE71253893C13DC3","application/json","independent_review_evidence","French lines 3522-3530","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L36P-R3-PUBLIC-20260722-0001-MAN-004","independent_review/INDEPENDENT_FINAL_AUDIT_PASS.md","4507","756158358798B728340E00F1FB82263FF33088C3D9B9066C32CFC924B3304BAF","text/markdown","independent_review_evidence","French lines 3522-3530","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L36P-R3-PUBLIC-20260722-0001-MAN-005","independent_review/INDEPENDENT_FINAL_VALIDATION.json","3943","E4B84978B18C50467A27E8713C385CBBCD434B62AA5713BD3AB1ACF6C3EF5CDF","application/json","independent_review_evidence","French lines 3522-3530","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L36P-R3-PUBLIC-20260722-0001-MAN-006","independent_review/INDEPENDENT_REVIEW_EVIDENCE.csv","19422","9A3FB587169C9EE5C98783C143B643A9478D8FBF14E958ECDB38BA8739341AF4","text/csv","independent_review_evidence","French lines 3522-3530","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L36P-R3-PUBLIC-20260722-0001-MAN-007","independent_review/INDEPENDENT_REVIEW_EVIDENCE.jsonl","36763","C240ED31F85F493946DAE62E4868B08C7C2290B4ACC7BE9A5A7078D35D1E77D6","application/x-ndjson","independent_review_evidence","French lines 3522-3530","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L36P-R3-PUBLIC-20260722-0001-MAN-008","independent_review/INDEPENDENT_RIGHTS_AND_RELEASE_LEDGER.csv","2142","027CF566B95C77BCBF7540AB6C904920D9E8C11F199F6815656788B28D7B30F0","text/csv","independent_review_evidence","French lines 3522-3530","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L36P-R3-PUBLIC-20260722-0001-MAN-009","independent_review/INDEPENDENT_RIGHTS_AND_RELEASE_VALIDATION.json","390","C37B2F945F776E07DA7E41839E8EE5ACB6E055193408FC52AEE2D75536C3CFDF","application/json","independent_review_evidence","French lines 3522-3530","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L36P-R3-PUBLIC-20260722-0001-MAN-010","producer/FINAL_VALIDATION_R3.json","5625","E873D3A2231A78A1D995F9125679BD4F00D4B42BDDE4838BCE0DBE558657CB57","application/json","producer_evidence","French lines 3522-3530","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
