"id","isv","addition","partOfSpeech","en","ru","be","uk","pl","cs","sk","sl","hr","sr","mk","bg","intelligibility"
"22","tȯlpa","","f.","crowd","толпа","натоўп, талака, грамадка","натовп, юрба","tłum","dav, zástup, tlupa","dav, zástup, tlupa","!Množica, množica (ljudi)","gužva, gomila, stiska, metež, pometnja, nered","гужва, гомила (људи)","толпа","тълпа","!"
"47","kategorija","","f.","category","категория","катэгорыя","категорія","kategoria","kategorie","kategória","!kategorija","kategorija, grupa, klasa, razred, vrsta","категорија","категорија","вид, категория","!"
"290","inženjerstvo","","n.sg.","engineering","инженерия, инженерство","інжынерыя, інжынерства","інженерія","inżynierstwo","inženýrství","inžinierstvo","!Inženiring, inženiring, inženir","inženjerstvo, inženjering","инжињерство, инжењерство, инжињерија","инженеринг, инжинерство","инженерство","!"
"328","vesna","","f.","spring, springtime","весна","вясна","весна","wiosna","jaro, vesna","jar, vesna","!pomlad","proljeće","пролеће","пролет","пролет","!"
"558","izvesti","(izvede)","v.tr. pf.","lead out, bring out","вывести","вывесці","вивести","wyprowadzić","vyvést, vyprovodit","vyviesť, vyprevadiť","!ven, izražajo","izvesti","извести","изведе, извади","изведа","!"
"892","matematika","","f.","mathematics","математика","матэматыка","математика","matematyka","matematika","matematika","!matematika","matematika","математика","математика","математика","!"
"956","niva","","f.","field","поле, нива","ніва, поле","нива, поле","pole","niva, polní plocha, louka","niva, poľná plocha, lúka","!polja","njiva, oranica","њива","нива","поле, нива","!"
"1097","struna","","f.","string","струна","струна","струна","struna","struna","struna","!niz, žica (inštrument)","struna","струна, жица (инструмент)","струна, жица (на инструмент)","!ред","!"
"1570","oblasť","","f.","field (of knowledge etc.), domain","область (знаний), сфера","галіна (ведаў)","область (знань), сфера","zakres, dziedzina, teren","oblast (znalostí), obor","oblasť (vedomostí), odbor","!območje, polje","oblast, područje, polje (napr. znanosti)","област, поље","област, сфера, поле","!област (знания и т.н.), домейн","!"
"1606","v času","(+2)","prep.","during","во время, в течение","у час, на працягу","під час","podczas, w czasie","během, v čase, v průběhu, při","počas, v čase, v priebehu","!med","tijekom, tokom","током, за време","во текот, за време на","!по време на","!"
"1626","podčas","(+2)","prep.","during, so long as, amid","во время, в течение, пока","падчас, у час, цягам, на працягу, пакуль, покуль, покі","під час, протягом, поки","podczas, w czasie","v průběhu, během, za","v priebehu, počas, behom, za, cez","!med, medtem ko","tijekom, tokom","током, за време","додека, за време на","!във време, докато на фона на","!"
"1645","narušiti","","v.tr. pf.","infringe, violate","нарушить","парушыць, стрывожыць (напр. пакой), зламаць (напр. умову), растрэсці (напр. адзінства)","порушити","naruszyć, pogwałcić","porušit","porušiť","!kršilo, da bi prekinil","narušiti","нарушити, прекршити","наруши, прекрши","наруша","!"
"1787","grupa","","f.","group","группа","група, гурт, гурток","група","grupa","skupina, grupa (mat.)","skupina, grupa (mat.)","!skupino, skupino","grupa, skupina","група, скупина","група","група","!"
"2236","sbirańje","","n.sg.","gathering","сбор, собирание","збор, збіранне","збір, збирання","zbieranie","sbírání, sběr","zbieranie, zber","!zbirka, zbirka, zbirka","sabiranje, prikupljanje, okupljanje","збирање, сабирање, прикупљање","собирање","!събиране","!"
"2325","roditi","","v.tr. ipf.","give birth, bring forth (crops)","рождать, родить, приносить плоды","нараджаць, спараджаць, нарадзіць, зрадзіць, абрадзіцца, радзіць, даваць плён","родити, народжувати, приносити плоди","rodzić, wydawać plony","rodit, plodit","rodiť, plodiť","!medved","rađati","рађати","раѓа, плоди","!раждат, раждат (crop)","!"
"2517","von","","adv.","out, away","вон, наружу","вунь, унь, прэч, вон, вонкі, надвор, навонкі","геть, назовні, подалі","won, precz","ven, pryč, vně","von, preč","!ven, zunaj","van, napolje","напоље, ван","вон, надвор","вън, навън","!"
"2569","grupy","","f.pl.","troops","войска","вайсковыя фармаванні, войскі","військові формування","oddziały wojskowe","vojsko, vojenské jednotky","vojsko, vojenské jednotky","!vojakov","trupe","трупе","трупи, воени сили","войска","!"
"2709","matematik","","m.anim.","mathematician","математик","матэматык","математик","matematyk","matematik","matematik","!matematik","matematičar","математичар","математичар","математик","!"
"2740","množstveno čislo","","n.","plural","множественное число (грам.)","множны лік","множина (грам.)","liczba mnoga","množné číslo","množné číslo","!množina","množina, plural","множина","множина","множествено число","!"
"2788","narušati","","v.tr. ipf.","infringe, violate","нарушать","парушаць, пераступаць","порушувати","naruszać, pogwałcać","porušovat","porušovať","!kršilo","narušavati","нарушавати","нарушува, повредува, прекршува","нарушавам","!"
"3084","množstvo","","n.","multitude, crowd, a lot of","множество, масса","мноства","множина","mnóstwo","množství, dav, spousta, masa, hromada","množstvo","!veliko","mnoštvo, gomila, masa, množina, puk, svijet, svjetina","мноштво","мноштво","мнозинство","!"
"3157","potomȯk","","m.anim.","offspring, descendant, scion","потомок, отпрыск","нашчадак, атожылак, выпладак (няўхв.)","нащадок","potomek, latorośl","potomek","potomok","!potomec","potomak","потомак","потомок","!поколението, потомък, потомство","!"
"3220","prinositi","","v.tr. ipf.","bring","приносить","прыносіць, даваць, прычыняць","приносити","przynosić","přinášet","prinášať","!Znamka, ponudi","donositi, prinositi","доносити, приносити","придонесува, носи","!донесе","!"
"3221","prinesti","","v.tr. pf.","bring","принести","прынесці","принести","przynieść","přinést","priniesť","!prinašajo, Prin","donijeti, prinijeti","донети, принети","принесе, донесе","!донесе","!"
"3469","zavaliti","","v.tr. pf.","bring down","завалить, свалить","заваліць, забурыць, зваліць, згрувасціць, збурыць, сапхаць","!завалити, звалити","obalić, zawalić","svalit, povalit, shodit, svrhnout, srazit, porazit","zvaliť, povaliť, zhodiť, zvrhnúť, zraziť, poraziť","!podreti","svaliti, prevaliti, oboriti, srušiti","оборити","урне, бутне, турне, собори","съборя","!"
"3470","privoziti","","v.tr. ipf.","bring","привозить","прывозіць","привозити","przywozić, sprowadzać","přivážet","privážať","!da, tako nazaj, da ponudbo","dovoziti","доносити, довозити, приносити","довезува","!донесе","!"
"3471","privezti","","v.tr. pf.","bring","привезти","прывезці","привезти","przywieźć, sprowadzić","přivézt","priviezť","!vodi, bi","dovesti, donijeti, dopremiti","довести, донети","принесе, донесе","!донесе","!"
"3472","valiti","","v.tr. ipf.","bring down, knock down","валить, сбивать, сваливать","валіць, збіваць, звальваць, скідаць, лямчыць, скульваць","!валити, збивати, звалювати","walić, rozwalać","srážet, porážet, svalovat, povalovat, shazovat","zrážať, porážať, zvaľovať, povaľovať, zhadzovať","!rit-brca, tepe, poriva","razvaljivati, razbijati, rušiti, obarati","разваљивати, ударати, разбијати","урива","!да чукам, да чукам","!"
"3614","polje","","n.","field","поле","поле, палетак","поле","pole","pole","pole","polje","polje","поље","поле","!поле","!"
"3647","skupina","","f.","group","группа","група, гурт (муз.)","група","grupa","skupina","skupina","!skupino, skupino","skupina, grupa","скупина, група","група","група","!"
"3698","množinstvo","","n.","majority","большинство","большасць, бальшыня","більшість","większość","většina","väčšina","večina","većina, veći dio","већина","мнозинство","мнозинство","!"
"3822","zvoniti","","v.intr. ipf.","ring, chime","звонить (бить в колокола)","званіць, біць у званы","дзвонити, бити в дзвони","dzwonić, bić (np. zegar)","zvonit","zvoniť","zvoniti","zvoniti","звонити","ѕвони","звъня","!"
"3823","pozvoniti","","v.pf.","ring","позвонить (в колокол)","пазваніць (у звон)","подзвонити (у дзвін)","podzwonić, zadzwonić","zazvonit","zazvoniť","!klic (telefon)","pozvoniti, zazvoniti","зазвонити, позвонити","поѕвони","!пръстен","!"
