"id","isv","addition","partOfSpeech","en","ru","be","uk","pl","cs","sk","sl","hr","sr","mk","bg","intelligibility"
"892","matematika","","f.","mathematics","математика","матэматыка","математика","matematyka","matematika","matematika","!matematika","matematika","математика","математика","математика","!"
"1787","grupa","","f.","group","группа","група, гурт, гурток","група","grupa","skupina, grupa (mat.)","skupina, grupa (mat.)","!skupino, skupino","grupa, skupina","група, скупина","група","група","!"
"3614","polje","","n.","field","поле","поле, палетак","поле","pole","pole","pole","polje","polje","поље","поле","!поле","!"
"8518","koljce","","n.","ring","кольцо","кальцо, кола, пярсцёнак","кільце","pierścień","prsten","prsteň","!obroč","prsten","прстен","прстен","пръстен","!"
"23490","algebra","","f.sg.","algebra","алгебра","алгебра","алгебра","algebra","algebra","algebra","algebra","algebra","алгебра","алгебра","алгебра","!"
"26702","korenj","","m.","radical, root (mathematics)","корень, радикал","корань, радыкал","корінь, радикал (√)","pierwiastek (matematyka)","odmocnina, kořen (rovnice, mat.)","odmocnina, koreň (rovnice, mat.)","koren (mat.)","korijen, radikal","корен","корен, радикал","корен (математ.)","!"
"31076","vektor","","m.","vector","вектор","вектар","вектор","wektor","vektor","vektor","!vektor","vektor","вектор","вектор","вектор","!"
"35975","matrica","","f.","matrix","матрица","матрыца","матриця","macierz","matrice, matice (matemat.)","matrice, matice (Matemat.)","!matrika","matrica","матрица","матрица","матрица","!"
"36434","množstvo","","n.","set (mathematics)","множество (матем.)","мноства","множина (матем.)","zbiór, mnogość","množina","množina","množica","skup, skupina, sastanak","скуп","множество","множество","!"
"36456","podmnožstvo","","n.","subset (mathematics)","подмножество (матем.)","падмноства (матэм.)","підмножина (матем.)","podzbiór","podmnožina (mat.)","podmnožina (mat.)","!podmnožica","podskup","подскуп","подмножество (математика)","!подмножество (математика)","!"
"36457","nadmnožstvo","","n.","superset (mathematics)","надмножество (матем.)","надмноства (матэм.)","надмножина (матем.)","nadzbiór","nadmnožina (mat.)","nadmnožina (mat.)","!nadgradnja (Mathematik)","nadskup","надскуп (мат.)","надмножество (математика)","надмноженство (мат.)","!"
"36602","matematičny","","adj.","mathematical","математический","матэматычны","математичний","matematyczny","matematický","matematický","!matematična","matematički","математички","математички","математически","!"
"37240","modul","","m.","module","модуль","модуль","модуль","moduł","modul","modul","modul","modul","модул, модуло","модул","модул",""
