crosswalk_id,term_id,german_term,korean_form,sense_window,excluded_senses,ko_kr_state,ko_kp_state,lexical_attractor_basin,mandarin_simplified_dominance_risk_debt,evidence_ids,decision_state
KO-P29-U02-X001,KO-P29-U02-T001,Endlichkeitskriterium,유한성 판정기준,"Criterion whose finiteness conclusion is finite generation, not finite cardinality.",A criterion that the ring or field has finitely many elements.,accepted_internal,unverified_do_not_claim,modern Sino-xenic coinage/calque,"Qualitative debt: a cognate CJK label could attract wording, but no Mandarin evidence is admitted; Korean finite-generation evidence controls the sense.",KO-P29-U02-E005,accepted_with_sense_window
KO-P29-U02-X002,KO-P29-U02-T002,Rationalbasis,유리 기저,Finite rational generating basis for a system of rational functions or an intermediate field.,A vector-space basis over the rational numbers or a claim of linear independence.,provisional_historical,unverified_do_not_claim,mixed/contested,"Qualitative high-attractor debt: cognate CJK calques are tempting, but Chinese/Japanese are excluded and no exact Korean historical witness was found.",,held_for_human_review
KO-P29-U02-X003,KO-P29-U02-T003,Jedes System S,임의의 계 S,Universal quantification over each arbitrary system S of rational functions.,"A single totality called all systems, or an existentially selected system.",accepted_internal,unverified_do_not_claim,modern Sino-xenic coinage/calque,No Mandarin evidence used; the German universal quantifier and Korean proposition structure determine the wording.,,accepted_internal
KO-P29-U02-X004,KO-P29-U02-T004,Körper,체,Algebraic field used as coefficient field.,"Physical body, style, or generic set without field operations.",accepted_internal,unverified_do_not_claim,Sino-xenic inherited,Korean institutional and publisher evidence is independent; no Mandarin support enters the shelf.,KO-P29-U02-E002|KO-P29-U02-E003|KO-P29-U02-E004,accepted_internal
KO-P29-U02-X005,KO-P29-U02-T005,Zwischenkörper,중간체,Intermediate field lying between two specified fields.,"Chemical intermediate, intermediate object, or mere subset.",accepted_internal,unverified_do_not_claim,modern Sino-xenic coinage/calque,Direct Korean publisher and university evidence is present; Chinese P29 remains excluded.,KO-P29-U02-E006|KO-P29-U02-E007,accepted_internal
KO-P29-U02-X006,KO-P29-U02-T006,Transzendenzgrad,초월 차수,Cardinality/number of an algebraically independent transcendence basis over the specified field.,"Polynomial degree, extension degree, or philosophical transcendence.",provisional_compositional,unverified_do_not_claim,modern Sino-xenic coinage/calque,Qualitative debt: the compositional cognate is plausible but no exact independent Korean institutional witness was recovered; Mandarin evidence is not used.,,provisional_context_checked
KO-P29-U02-X007,KO-P29-U02-T007,irreduzibles System,기약계,"Steinitz's historical system of algebraically independent functions, as defined in the source note.","A system of irreducible polynomials, reduced fractions, or an irreducible representation.",provisional_historical,unverified_do_not_claim,mixed/contested,Qualitative high-attractor debt: cognate characters suggest a false modern irreducibility sense; no neighboring CJK form authorizes Korean.,,held_for_human_review
KO-P29-U02-X008,KO-P29-U02-T008,algebraisch unabhängig,대수적으로 독립,No nonzero polynomial relation over the stated base field.,Linear independence or probabilistic independence.,accepted_internal,unverified_do_not_claim,modern Sino-xenic coinage/calque,"No Mandarin evidence used; source definition and Korean algebraic syntax fix the sense, while exact corpus attestation remains a review debt.",,accepted_contextual
KO-P29-U02-X009,KO-P29-U02-T009,algebraisch abhängig,대수적으로 종속,Existence of a polynomial relation over the named base field; individual elements are algebraic in the one-element case.,"Linear dependence, causal dependence, or containment alone.",accepted_internal,unverified_do_not_claim,modern Sino-xenic coinage/calque,No Mandarin evidence used; the German proof and mathematical relation control the Korean syntax.,,accepted_contextual
KO-P29-U02-X010,KO-P29-U02-T010,endliche algebraische Erweiterung,유한 대수적 확대,Algebraic field extension of finite degree generated by finitely many algebraic elements.,A field with finitely many elements or merely a finitely generated transcendental extension.,accepted_internal,unverified_do_not_claim,modern Sino-xenic coinage/calque,Korean publisher evidence supports 확대체 and finite extension compounds; Mandarin evidence is excluded.,KO-P29-U02-E003|KO-P29-U02-E006,accepted_with_sense_window
KO-P29-U02-X011,KO-P29-U02-T011,rein transzendente Erweiterung,순수 초월 확대,"Field extension generated by an algebraically independent set, with no algebraic generators added.",Purely algebraic extension or philosophical/spiritual transcendence.,provisional_compositional,unverified_do_not_claim,modern Sino-xenic coinage/calque,Qualitative debt: exact Korean institutional attestation was not recovered; CJK cognates are not evidence.,,provisional_context_checked
