"fix_id","printed_page","tex_anchor","source_reading","current_reading","required_action","evidence","status"
"TAIL-20260719-F005","712","21013","Normaldarstellung von mathfrak K_r mit Galoisschen maximalen kommutativen Teilkoerpern","Normaldarstellung von mathfrak R_r mit Galoisschem maximalem kommutativem Teilkoerper","restore source letter and exact plural/case phrase","dense_crops_1300dpi/p712_toc_chapterV_1300dpi.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F006","713","21029,21031","z. B.; M. Z.; M. Z.","z.B.; M.Z.; M.Z.","restore source-visible abbreviation spacing","full_pages_650dpi/tail-03.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F007","714","21052","mathfrak{o} nrightarrow mathfrak D* subseteq mathsf T_n*","mathfrak{o} mapsto mathfrak D* subseteq mathsf T_n*","restore source slashed reciprocal-homomorphism arrow","dense_crops_1300dpi/p714_reciprocal_arrow_1300dpi.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F008","715","21101","Die Multiplikation des d. D. M.","Die Multiplikationen des d. D. M.","restore source singular noun","full_pages_650dpi/tail-05.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F009","716","21180,21187,21190","source-emphasized conclusion; source-emphasized proposition 2; emphasized Beweis.","all three loci plain","restore source emphasis without changing content","full_pages_650dpi/tail-06.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F010","717","21236,21267","M. Z. at all three footnote loci; emphasized concluding result","two M.Z. forms lack spaces; conclusion plain","restore source spacing and emphasis","full_pages_650dpi/tail-07.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F011","718","21293,21295","emphasized erster Art and zweiter Art; full iff statement emphasized","all three loci plain","restore source emphasis without altering text","full_pages_650dpi/tail-08.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F012","719","21311,21322-21323","galoissche Gruppe von Z bezueglich P emphasized; both numbered formulations emphasized","all loci plain","restore source emphasis without altering mathematics","full_pages_650dpi/tail-09.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F013","720","21330,21365","w. z. b. w.; emphasized Zeigen wir noch","w.z.b.w.; phrase plain","restore source spacing and emphasis","full_pages_650dpi/tail-10.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F014","721","21381","source-emphasized genuegt","plain genuegt","restore source emphasis","full_pages_650dpi/tail-11.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F015","722","21480,21482","mathfrak K_1 through mathfrak K_r throughout the field-summand proof","mathfrak R_1 through mathfrak R_r","restore source blackletter K symbol family","dense_crops_1300dpi/p722_proof_field_symbols_1300dpi.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F016","722","21450-21462","three continuation-dot rows between first and last rows in both inverse matrices","two continuation-dot rows in each matrix","add the omitted continuation row to both matrices","dense_crops_1300dpi/p722_inverse_matrices_1300dpi.png","integrated_compiled_twice_render_checked"
"TAIL-20260719-F017","722","21474,21480,21484","M. Z.; d. h.; w. z. b. w.","M.Z.; d.h.; w.z.b.w.","restore source-visible abbreviation spacing","full_pages_650dpi/tail-12.png","integrated_compiled_twice_render_checked"
