entry_id	physical_page	printed_page	kind	source_fact	decision	authority_sha256	status
A001	1	247	PAGINATION_DISCREPANCY	The proceedings header reads “Vol. 33 (1979), part 2, pp. 247-290,” while both exact witnesses contain 43 physical leaves ending at printed 289.	Preserve the 247-290 citation claim in apparatus; map and edit only printed 247-289; never create page 290.	591EE837C4C87E5263B76427B393742E111D615C6E098C940F132519A0861922	COMPLETE
A002	1	247	COPY_MATTER_EXCLUSION	The authority includes the proceedings citation line, AMS(MOS) subject classifications, copyright line, folio, scanner border, and a neighboring-page sliver.	Exclude these from the reader body; retain the exact title, byline, Sommaire, and article text; record the excluded copy matter here.	591EE837C4C87E5263B76427B393742E111D615C6E098C940F132519A0861922	COMPLETE
A003	1	247	INHERITED_LOCATOR_DISAGREEMENT	The ZERO_ACCEPTED candidate misnumbers Introduction as 250 and Rappels as 251 in its Sommaire; OCR also contains a spurious trailing token.	Retain authority values Introduction 247 and Rappels 250; do not promote candidate or OCR agreement.	591EE837C4C87E5263B76427B393742E111D615C6E098C940F132519A0861922	COMPLETE
A004	2	248	COPY_MATTER_EXCLUSION	The authority leaf carries a repeated running head and folio, a black scanner border, and a substantial neighboring-page sliver at right.	Exclude all such copy matter and sliver text; preserve only the owned-page article text.	591EE837C4C87E5263B76427B393742E111D615C6E098C940F132519A0861922	COMPLETE
A005	2	248	TRANSLATION_DECISION	The source terms are “domaine hermitien symétrique,” “dual D-check,” and “domaine de Siegel de 3e espèce.”	Translate as “Hermitian symmetric domain,” retain the symbol D-check, and use “Siegel domain of the third kind.”	591EE837C4C87E5263B76427B393742E111D615C6E098C940F132519A0861922	COMPLETE
A006	2	248	INHERITED_LOCATOR_DISAGREEMENT	The ZERO_ACCEPTED candidate inserts an H in the structure-to-filtration assignment, generalizes “3e espèce” to an n-th kind, and gives H_1 rather than H^1 in the dual equivalence.	Replay the authority without the inserted H, retain “3e,” and preserve A maps to H^1(A,Z) in the dual statement.	591EE837C4C87E5263B76427B393742E111D615C6E098C940F132519A0861922	COMPLETE
A007	3	249	DIAGRAM_GATE_F01	The authority diagram has objects C(F), C(E), and G(A)/rho G-tilde(A)·G(Q), with both diagonal arrows and a vertical C(F) to C(E) arrow labeled N_{F/E}; the candidate omits the vertical norm arrow.	Recreate the full diagram in native tikz-cd from authority pixels; freeze the vertical N_{F/E} arrow and both diagonals.	591EE837C4C87E5263B76427B393742E111D615C6E098C940F132519A0861922	COMPLETE
A008	3	249	TRANSLATION_DECISION	The technical terms are “corps dual,” “modèle faiblement canonique,” and “groupe des classes d’idèles.”	Translate respectively as “reflex field,” “weakly canonical model,” and “idèle class group”; preserve all symbols independently against the authority.	591EE837C4C87E5263B76427B393742E111D615C6E098C940F132519A0861922	COMPLETE
A009	3	249	NOTATION_CHECK	The authority uses rho:G-tilde to G, G(A^f), M^0_{Q-bar}(G,X+), G^ad(R)^+, G^ad(Q)^+, and Z(Q)^-.	Preserve these notations and the displayed pi_0 quotient equality; reject OCR substitutions A-prime and unbarred Q.	591EE837C4C87E5263B76427B393742E111D615C6E098C940F132519A0861922	COMPLETE
A010	4	250	COPY_MATTER_EXCLUSION	The authority leaf has a repeated running head and folio, black border, and neighboring-page sliver; the owned text begins by completing “l’ac-tion.”	Exclude copy matter and the sliver; preserve the page-boundary continuation and all section 0.1 text through “Nous n’utiliserons.”	591EE837C4C87E5263B76427B393742E111D615C6E098C940F132519A0861922	COMPLETE
A011	4	250	TRANSLATION_DECISION	The source calls the central-modification method “maladroite,” proposition [5, 1.15] “sybilline,” and speaks of a “provision de modèles canoniques.”	Translate as “awkward,” “cryptic,” and “a supply of canonical models,” while keeping the restrained first-person tone.	591EE837C4C87E5263B76427B393742E111D615C6E098C940F132519A0861922	COMPLETE
A012	5	251	COPY_MATTER_EXCLUSION	The authority leaf has a repeated running head and folio, scanner border, and neighboring-page sliver; article text continues from physical page 4.	Exclude copy matter and sliver text; preserve the continuation and the exact openings of 0.2-0.8 and Section 1.	591EE837C4C87E5263B76427B393742E111D615C6E098C940F132519A0861922	COMPLETE
