"prior_frontier","current_frontier","change_status","branch_path","branch_class","source_use_label","r3_effect","boundary"
"8e839c490e413b64f4d5dad9ebc10c84d14a3dab","8b525a12d3f6541c8bd6c3af2f8e56bf5098d898","A","coordination/non-slavic-core-8e839c49-dcb2-branch-visibility-confirmation-20260706/NON_SLAVIC_CORE_8E839C49_DCB2_BRANCH_VISIBILITY_CONFIRMATION_20260706/B3_HANDOFF_SENT_8E839C49.md","non_slavic_core_branch_visibility_context","adjacent-context-not-R3-authority","none for Arabic/Persianate gates","No bridge promotion, no cross-gate merge, no source certification, no translation completion."
"8e839c490e413b64f4d5dad9ebc10c84d14a3dab","8b525a12d3f6541c8bd6c3af2f8e56bf5098d898","A","coordination/non-slavic-core-8e839c49-dcb2-branch-visibility-confirmation-20260706/NON_SLAVIC_CORE_8E839C49_DCB2_BRANCH_VISIBILITY_CONFIRMATION_20260706/BLOCKER_RECOVERY_ROWS_8E.csv","non_slavic_core_branch_visibility_context","adjacent-context-not-R3-authority","none for Arabic/Persianate gates","No bridge promotion, no cross-gate merge, no source certification, no translation completion."
"8e839c490e413b64f4d5dad9ebc10c84d14a3dab","8b525a12d3f6541c8bd6c3af2f8e56bf5098d898","A","coordination/non-slavic-core-8e839c49-dcb2-branch-visibility-confirmation-20260706/NON_SLAVIC_CORE_8E839C49_DCB2_BRANCH_VISIBILITY_CONFIRMATION_20260706/BRANCH_COMPARE_DCB2_TO_8E.csv","non_slavic_core_branch_visibility_context","adjacent-context-not-R3-authority","none for Arabic/Persianate gates","No bridge promotion, no cross-gate merge, no source certification, no translation completion."
"8e839c490e413b64f4d5dad9ebc10c84d14a3dab","8b525a12d3f6541c8bd6c3af2f8e56bf5098d898","A","coordination/non-slavic-core-8e839c49-dcb2-branch-visibility-confirmation-20260706/NON_SLAVIC_CORE_8E839C49_DCB2_BRANCH_VISIBILITY_CONFIRMATION_20260706/DELTA_COMMITS_DCB2_TO_8E.csv","non_slavic_core_branch_visibility_context","adjacent-context-not-R3-authority","none for Arabic/Persianate gates","No bridge promotion, no cross-gate merge, no source certification, no translation completion."
"8e839c490e413b64f4d5dad9ebc10c84d14a3dab","8b525a12d3f6541c8bd6c3af2f8e56bf5098d898","A","coordination/non-slavic-core-8e839c49-dcb2-branch-visibility-confirmation-20260706/NON_SLAVIC_CORE_8E839C49_DCB2_BRANCH_VISIBILITY_CONFIRMATION_20260706/MANIFEST.csv","non_slavic_core_branch_visibility_context","adjacent-context-not-R3-authority","none for Arabic/Persianate gates","No bridge promotion, no cross-gate merge, no source certification, no translation completion."
"8e839c490e413b64f4d5dad9ebc10c84d14a3dab","8b525a12d3f6541c8bd6c3af2f8e56bf5098d898","A","coordination/non-slavic-core-8e839c49-dcb2-branch-visibility-confirmation-20260706/NON_SLAVIC_CORE_8E839C49_DCB2_BRANCH_VISIBILITY_CONFIRMATION_20260706/README.md","non_slavic_core_branch_visibility_context","adjacent-context-not-R3-authority","none for Arabic/Persianate gates","No bridge promotion, no cross-gate merge, no source certification, no translation completion."
"8e839c490e413b64f4d5dad9ebc10c84d14a3dab","8b525a12d3f6541c8bd6c3af2f8e56bf5098d898","A","coordination/non-slavic-core-8e839c49-dcb2-branch-visibility-confirmation-20260706/NON_SLAVIC_CORE_8E839C49_DCB2_BRANCH_VISIBILITY_CONFIRMATION_20260706/ROUTED_PACKET_STATUS_8E.csv","non_slavic_core_branch_visibility_context","adjacent-context-not-R3-authority","none for Arabic/Persianate gates","No bridge promotion, no cross-gate merge, no source certification, no translation completion."
"8e839c490e413b64f4d5dad9ebc10c84d14a3dab","8b525a12d3f6541c8bd6c3af2f8e56bf5098d898","A","coordination/non-slavic-core-8e839c49-dcb2-branch-visibility-confirmation-20260706/NON_SLAVIC_CORE_8E839C49_DCB2_BRANCH_VISIBILITY_CONFIRMATION_20260706/SHA256SUMS.txt","non_slavic_core_branch_visibility_context","adjacent-context-not-R3-authority","none for Arabic/Persianate gates","No bridge promotion, no cross-gate merge, no source certification, no translation completion."
"8e839c490e413b64f4d5dad9ebc10c84d14a3dab","8b525a12d3f6541c8bd6c3af2f8e56bf5098d898","A","coordination/non-slavic-core-8e839c49-dcb2-branch-visibility-confirmation-20260706/NON_SLAVIC_CORE_8E839C49_DCB2_BRANCH_VISIBILITY_CONFIRMATION_20260706/SIBLING_WAKE_LEDGER_8E.csv","non_slavic_core_branch_visibility_context","adjacent-context-not-R3-authority","none for Arabic/Persianate gates","No bridge promotion, no cross-gate merge, no source certification, no translation completion."
"8e839c490e413b64f4d5dad9ebc10c84d14a3dab","8b525a12d3f6541c8bd6c3af2f8e56bf5098d898","A","coordination/non-slavic-core-8e839c49-dcb2-branch-visibility-confirmation-20260706/NON_SLAVIC_CORE_8E839C49_DCB2_BRANCH_VISIBILITY_CONFIRMATION_20260706/SUMMARY.json","non_slavic_core_branch_visibility_context","adjacent-context-not-R3-authority","none for Arabic/Persianate gates","No bridge promotion, no cross-gate merge, no source certification, no translation completion."
