alignment_id,evidence_class,authority_role,unit_id,parent_id,source_tex_lines,original_printed_pages,physical_source_pdf_pages,recomposed_running_pages,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,revisit_condition,record_revision
SGA2-VIII-Q12-ALIGN-001,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q12,,2597-2609,87,77,69,complete bounded construction through equations1.2-1.4,complete,cover A-complex injective resolution corrected Q formula first spectral sequence L-prime and P definitions then stop before line2611,production_draft_source_compared_self_gate_pending,high,none,include computation beginning line2611,INBOUND:SGA2-VIII-P14N;OUTBOUND:SGA2-VIII-Q15,French source line2611 after blank line2610,independent source formula page and boundary review,1
SGA2-VIII-Q12-ALIGN-002,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q12-A,SGA2-VIII-Q12,2597,87,77,69,A-bullet concentrated in degree zero,complete,preserve A-p vanishing for p not equal zero and A-zero equal A,production_formula_logic_source_compared_self_review_pending,high,none,omit either condition,SGA2-VIII-Q12-RES,French source line2611 after blank line2610,independent degree-condition review,1
SGA2-VIII-Q12-ALIGN-003,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q12-RES,SGA2-VIII-Q12,2598-2599,87,77,69,map a and injective resolution,complete,preserve a from A-bullet to CA-bullet and its injective-resolution role,production_formula_structure_source_compared_self_review_pending,high,candidate writes C-sub-A,adopt subscripted C notation,SGA2-VIII-Q12-A;SGA2-VIII-Q12-Q,French source line2611 after blank line2610,independent map-type review,1
SGA2-VIII-Q12-ALIGN-004,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q12-Q,SGA2-VIII-Q12,2600-2601,87,77,69,equation1.2 Q-pq,complete,preserve Q indices nested Hom corrected L-minus-q A and CA-p,production_formula_structure_source_compared_self_review_pending,high,raw source alternative branch has L-q without minus,select L-q or flatten Hom nesting,SGA2-VIII-Q12-RES;SGA2-VIII-Q12-SS,French source line2611 after blank line2610,independent corrected-branch and formula review,1
SGA2-VIII-Q12-ALIGN-005,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q12-SS,SGA2-VIII-Q12,2602,87,77,69,first spectral-sequence statement,complete,preserve first spectral sequence bicomplex underlined-F Q-double-bullet and Lemma1.2 conclusion,production_logic_source_compared_self_review_pending,high,candidate spacing and typography flatten FQ,replace underlined functor or claim a different spectral sequence,SGA2-VIII-Q12-Q;SGA2-VIII-Q12-LPRIME,French source line2611 after blank line2610,independent spectral-sequence notation review,1
SGA2-VIII-Q12-ALIGN-006,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q12-LPRIME,SGA2-VIII-Q12,2604-2606,87,77,69,equation1.3 L-prime definition,complete,preserve L-prime-bullet equals Hom-bullet of L-bullet and A-bullet,production_formula_structure_source_compared_self_review_pending,high,none,drop bullets or reverse arguments,SGA2-VIII-Q12-SS;SGA2-VIII-Q12-P,French source line2611 after blank line2610,independent equation1.3 review,1
SGA2-VIII-Q12-ALIGN-007,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q12-P,SGA2-VIII-Q12,2607-2609,88,77,69,equation1.4 P definition,complete,preserve P-bullet equals Hom-bullet of L-prime-bullet and CA-bullet,production_formula_structure_source_compared_self_review_pending,high,candidate writes C-sub-A,adopt subscripted C notation or reverse arguments,SGA2-VIII-Q12-LPRIME;SGA2-VIII-Q12-BOUND,French source line2611 after blank line2610,independent equation1.4 review,1
SGA2-VIII-Q12-ALIGN-008,comparison_alignment,comparison_only_not_authority,SGA2-VIII-Q12-CAND,SGA2-VIII-Q12,2597-2609,87,77,69,jcreinhold lines171-195 comparison,complete,accept corrected L-minus-q corroborative locator only and reject C-sub-A plus flattened F and code-display typography as authority,comparison_delta_recorded_self_review_pending,high,same L-minus-q reading is one LLM lineage not independent corroboration,treat candidate as source authority,SGA2-VIII-Q12-Q;SGA2-VIII-Q12-RES;SGA2-VIII-Q12-P,French source line2611 after blank line2610,upstream candidate revision or independent notation review,1
SGA2-VIII-Q12-ALIGN-009,page_locator,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q12-PAGE,SGA2-VIII-Q12,2597-2611,87-88,77,69,printed physical and running coordinate control,complete,record included lines2597-2609 as printed87 and marker88 only inside excluded line2611 while physical77 and running69 stay fixed,production_page_mapping_source_compared_self_review_pending,high,printed marker88 begins only inside excluded continuation on the same physical page,collapse printed page with physical PDF page or assign included body to page88,SGA2-VIII-Q12-BOUND,French source line2611 after blank line2610,independent page-locator review,1
SGA2-VIII-Q12-ALIGN-010,source_boundary,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q12-BOUND,SGA2-VIII-Q12,2609-2611,87-88,77,69,equation1.4 close blank2610 and continuation2611,complete,stop after equation1.4 on printed87 line2609 exclude blank2610 and all of line2611 where printed88 begins mid-line,production_boundary_source_compared_self_review_pending,high,none,include line2611 or report cursor2610,OUTBOUND:SGA2-VIII-Q15,French source line2611 after blank line2610,independent boundary review,1
