decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-Q12-TERM-001,terminology,corrected_french_tex,SGA2-VIII-Q12,complexe defini par,French line2597,opening sentence,complex defined by,source_close_mathematical_register,none,complex concentrated in degree zero only,retain the source before giving the two explicit degree conditions,production_choice_applied_self_review_pending,high,1,French source line2611 after blank line2610,SGA-wide register revision
SGA2-VIII-Q12-TERM-002,terminology,corrected_french_tex,SGA2-VIII-Q12,resolution injective,French line2599,map a prose,injective resolution,SGA_wide_register,none,injective replacement,match Definition1.3 and Proposition1.4 terminology,production_choice_applied_self_review_pending,high,1,French source line2611 after blank line2610,SGA-wide register revision
SGA2-VIII-Q12-TERM-003,terminology,corrected_french_tex,SGA2-VIII-Q12,double complexe,French line2599,introduction to equation1.2,double complex,standard_homological_register,possible synonym bicomplex,bicomplex only,the source alternates double complex and bicomplex and target preserves that distinction,production_choice_applied_self_review_pending,high,1,French source line2611 after blank line2610,SGA-wide register revision
SGA2-VIII-Q12-TERM-004,terminology,corrected_french_tex,SGA2-VIII-Q12,premiere suite spectrale,French line2602,sentence after equation1.2,first spectral sequence,source_close_spectral_sequence_register,none,one spectral sequence,ordinal is mathematically relevant to the double-complex proof,production_choice_applied_self_review_pending,high,1,French source line2611 after blank line2610,independent spectral-sequence review
SGA2-VIII-Q12-TERM-005,terminology,corrected_french_tex,SGA2-VIII-Q12,bicomplexe,French line2602,sentence after equation1.2,bicomplex,standard_homological_register,source also used double complex in preceding sentence,normalize both occurrences to double complex,preserve source alternation and standard English term,production_choice_applied_self_review_pending,high,1,French source line2611 after blank line2610,SGA-wide register revision
SGA2-VIII-Q12-TERM-006,notation_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q12,CA-p and CA-bullet,French lines2598-2608 plus physical77,map a equation1.2 equation1.4,retain concatenated CA notation,source_notation_preservation,candidate substitutes C-sub-A,use candidate C-sub-A notation,direct authority prints CA consistently and no correction is documented,production_choice_applied_self_review_pending,high,1,French source line2611 after blank line2610,independent notation review or French correction
SGA2-VIII-Q12-TERM-007,source_correction_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q12,L-q versus L-minus-q,French line2600 sisi branch and physical77,equation1.2,select corrected L-minus-q branch,corrected_authority_branch,raw alternative branch lacks minus,use raw L-q branch,the current TeX correction macro and compiled source PDF both select L-minus-q,production_correction_applied_self_review_pending,high,1,French source line2611 after blank line2610,authority branch revision
SGA2-VIII-Q12-TERM-008,terminology,corrected_french_tex,SGA2-VIII-Q12,posons,French line2604,lead-in to equation1.3,Set,concise_mathematical_register,none,Put,standard US mathematical prose and existing SGA lane convention,production_choice_applied_self_review_pending,high,1,French source line2611 after blank line2610,SGA-wide register revision
SGA2-VIII-Q12-TERM-009,notation_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-Q12,L-prime-bullet,French lines2605-2608 plus physical77,equations1.3 and1.4,retain prime on L and bullets on all complexes,source_formula_preservation,none,use a new named dual complex or omit bullets,prime and grading marks drive the next proof step,production_choice_applied_self_review_pending,high,1,French source line2611 after blank line2610,independent formula review
SGA2-VIII-Q12-TERM-010,comparison_policy,comparison_only_not_authority,SGA2-VIII-Q12,jcreinhold L-minus-q and C-sub-A,jcreinhold lines171-195,comparison audit,use candidate only to locate readings then verify against French TeX and PDF,comparison_only_policy,same L-minus-q is not independent corroboration,copy candidate as translation substrate,source authority supplies the correction while candidate notation regresses from it,comparison_choice_recorded_self_review_pending,high,1,French source line2611 after blank line2610,upstream candidate revision
