"exact_gate_row_id","source_row_id","concept_id","english","route_decision","exact_source_ref","unresolved_blocker","bridge_candidate_review_boundary","adjacent_linear_algebra_boundary","allowed_use","review_boundary","no_merge_boundary"
"r3exact:r3run:0019","paper01_60term:quotient_group","quotient_group","quotient group","blocker_or_comparator_only_no_direct_draft_route","R3_ARABIC_FARSI_PERSIANATE_60_TERM_LEDGER_20260629T073239Z.json :: paper01_60term:quotient_group :: cluster=group_theory","dari_independent_gate_required; tajik_independent_gate_required; pan_turkic_no_merge_without_own_gate; urdu_hindustani_separate_lane_no_persianate_merge; arabic_lane_open_or_not_consumable; persian_farsi_lane_open_or_not_consumable","comparator_only_no_bridge_promotion","not_adjacent_linear_algebra_row","separate_blocker_or_comparator_source_note_only","review_only_no_native_review_no_approval_no_term_or_bridge_promotion","no_merged_dari_tajik_urdu_hindustani_pan_turkic_authorization"
"r3exact:r3run:0022","paper01_60term:commutative_ring","commutative_ring","commutative ring","blocker_or_comparator_only_no_direct_draft_route","R3_ARABIC_FARSI_PERSIANATE_60_TERM_LEDGER_20260629T073239Z.json :: paper01_60term:commutative_ring :: cluster=rings_modules","dari_independent_gate_required; tajik_independent_gate_required; pan_turkic_no_merge_without_own_gate; urdu_hindustani_separate_lane_no_persianate_merge; arabic_lane_open_or_not_consumable; persian_farsi_lane_open_or_not_consumable","comparator_only_no_bridge_promotion","not_adjacent_linear_algebra_row","separate_blocker_or_comparator_source_note_only","review_only_no_native_review_no_approval_no_term_or_bridge_promotion","no_merged_dari_tajik_urdu_hindustani_pan_turkic_authorization"
"r3exact:r3run:0038","paper01_60term:direct_sum","direct_sum","direct sum","blocker_or_comparator_only_no_direct_draft_route","R3_ARABIC_FARSI_PERSIANATE_60_TERM_LEDGER_20260629T073239Z.json :: paper01_60term:direct_sum :: cluster=algebra_general","dari_independent_gate_required; tajik_independent_gate_required; pan_turkic_no_merge_without_own_gate; urdu_hindustani_separate_lane_no_persianate_merge; arabic_lane_open_or_not_consumable; persian_farsi_lane_open_or_not_consumable","comparator_only_no_bridge_promotion","not_adjacent_linear_algebra_row","separate_blocker_or_comparator_source_note_only","review_only_no_native_review_no_approval_no_term_or_bridge_promotion","no_merged_dari_tajik_urdu_hindustani_pan_turkic_authorization"
"r3exact:r3run:0042","paper01_60term:invariant","invariant","invariant","blocker_or_comparator_only_no_direct_draft_route","R3_ARABIC_FARSI_PERSIANATE_60_TERM_LEDGER_20260629T073239Z.json :: paper01_60term:invariant :: cluster=invariant_theory","dari_independent_gate_required; tajik_independent_gate_required; pan_turkic_no_merge_without_own_gate; urdu_hindustani_separate_lane_no_persianate_merge; arabic_lane_open_or_not_consumable; persian_farsi_lane_open_or_not_consumable","comparator_only_no_bridge_promotion","not_adjacent_linear_algebra_row","separate_blocker_or_comparator_source_note_only","review_only_no_native_review_no_approval_no_term_or_bridge_promotion","no_merged_dari_tajik_urdu_hindustani_pan_turkic_authorization"
"r3exact:r3run:0043","paper01_60term:invariant_theory","invariant_theory","invariant theory","blocker_or_comparator_only_no_direct_draft_route","R3_ARABIC_FARSI_PERSIANATE_60_TERM_LEDGER_20260629T073239Z.json :: paper01_60term:invariant_theory :: cluster=invariant_theory","high_risk_bridge_placeholder_or_review_required; dari_independent_gate_required; tajik_independent_gate_required; pan_turkic_no_merge_without_own_gate; urdu_hindustani_separate_lane_no_persianate_merge; arabic_lane_open_or_not_consumable; persian_farsi_lane_open_or_not_consumable","comparator_only_no_bridge_promotion","not_adjacent_linear_algebra_row","separate_blocker_or_comparator_source_note_only","review_only_no_native_review_no_approval_no_term_or_bridge_promotion","no_merged_dari_tajik_urdu_hindustani_pan_turkic_authorization"
"r3exact:r3run:0044","paper01_60term:covariant","covariant","covariant","blocker_or_comparator_only_no_direct_draft_route","R3_ARABIC_FARSI_PERSIANATE_60_TERM_LEDGER_20260629T073239Z.json :: paper01_60term:covariant :: cluster=invariant_theory","high_risk_bridge_placeholder_or_review_required; dari_independent_gate_required; tajik_independent_gate_required; pan_turkic_no_merge_without_own_gate; urdu_hindustani_separate_lane_no_persianate_merge; arabic_lane_open_or_not_consumable; persian_farsi_lane_open_or_not_consumable","comparator_only_no_bridge_promotion","not_adjacent_linear_algebra_row","separate_blocker_or_comparator_source_note_only","review_only_no_native_review_no_approval_no_term_or_bridge_promotion","no_merged_dari_tajik_urdu_hindustani_pan_turkic_authorization"
"r3exact:r3run:0045","paper01_60term:contravariant","contravariant","contravariant","blocker_or_comparator_only_no_direct_draft_route","R3_ARABIC_FARSI_PERSIANATE_60_TERM_LEDGER_20260629T073239Z.json :: paper01_60term:contravariant :: cluster=invariant_theory","high_risk_bridge_placeholder_or_review_required; dari_independent_gate_required; tajik_independent_gate_required; pan_turkic_no_merge_without_own_gate; urdu_hindustani_separate_lane_no_persianate_merge; arabic_lane_open_or_not_consumable; persian_farsi_lane_open_or_not_consumable","comparator_only_no_bridge_promotion","not_adjacent_linear_algebra_row","separate_blocker_or_comparator_source_note_only","review_only_no_native_review_no_approval_no_term_or_bridge_promotion","no_merged_dari_tajik_urdu_hindustani_pan_turkic_authorization"
"r3exact:r3run:0046","paper01_60term:binary_form","binary_form","binary form","blocker_or_comparator_only_no_direct_draft_route","R3_ARABIC_FARSI_PERSIANATE_60_TERM_LEDGER_20260629T073239Z.json :: paper01_60term:binary_form :: cluster=invariant_theory","dari_independent_gate_required; tajik_independent_gate_required; pan_turkic_no_merge_without_own_gate; urdu_hindustani_separate_lane_no_persianate_merge; arabic_lane_open_or_not_consumable; persian_farsi_lane_open_or_not_consumable","comparator_only_no_bridge_promotion","not_adjacent_linear_algebra_row","separate_blocker_or_comparator_source_note_only","review_only_no_native_review_no_approval_no_term_or_bridge_promotion","no_merged_dari_tajik_urdu_hindustani_pan_turkic_authorization"
"r3exact:r3run:0047","paper01_60term:ternary_form","ternary_form","ternary form","blocker_or_comparator_only_no_direct_draft_route","R3_ARABIC_FARSI_PERSIANATE_60_TERM_LEDGER_20260629T073239Z.json :: paper01_60term:ternary_form :: cluster=invariant_theory","dari_independent_gate_required; tajik_independent_gate_required; pan_turkic_no_merge_without_own_gate; urdu_hindustani_separate_lane_no_persianate_merge; arabic_lane_open_or_not_consumable; persian_farsi_lane_open_or_not_consumable","comparator_only_no_bridge_promotion","not_adjacent_linear_algebra_row","separate_blocker_or_comparator_source_note_only","review_only_no_native_review_no_approval_no_term_or_bridge_promotion","no_merged_dari_tajik_urdu_hindustani_pan_turkic_authorization"
"r3exact:r3run:0048","paper01_60term:biquadratic_form","biquadratic_form","biquadratic form","blocker_or_comparator_only_no_direct_draft_route","R3_ARABIC_FARSI_PERSIANATE_60_TERM_LEDGER_20260629T073239Z.json :: paper01_60term:biquadratic_form :: cluster=invariant_theory","dari_independent_gate_required; tajik_independent_gate_required; pan_turkic_no_merge_without_own_gate; urdu_hindustani_separate_lane_no_persianate_merge; arabic_lane_open_or_not_consumable; persian_farsi_lane_open_or_not_consumable","comparator_only_no_bridge_promotion","not_adjacent_linear_algebra_row","separate_blocker_or_comparator_source_note_only","review_only_no_native_review_no_approval_no_term_or_bridge_promotion","no_merged_dari_tajik_urdu_hindustani_pan_turkic_authorization"
