"language","status","source_basis","source_state","script_register","english_segment_1","draft_segment_1","english_segment_2","draft_segment_2","english_segment_3","draft_segment_3","source_context_note","term_alternatives","formula_neighboring_usage_notes","interlanguage_scaffold","review_priority","transition_rule_source","boundary"
"Belarusian","draft_translation_support_started_for_covered_row","belarusian_bnt_elementary_math ; be_radyno_russko_belorusskij_matematicheskij_slovar_1993_pdf","stable_local_pdf_fulltext_witness_ocr_quality_watch","Cyrillic; OCR-quality watch","Let R be a ring and M a finitely generated R-module.","Няхай R — кальцо, а M — канечна спароджаны R-модуль.","The invariant ring k[V]^G is Noetherian.","Кальцо інварыянтаў k[V]^G ёсць нетэравым.","If I is an ideal of R, the quotient ring R/I is a field.","Калі I — ідэал у R, то фактар-кальцо R/I ёсць полем.","Cached Belarusian mathematical dictionary/PDF witness is sufficient for cautious draft support, but OCR/page quality remains a review risk.","ring: кальцо; field: поле; finitely generated: канечна спароджаны / канечна породжаны; Noetherian: нетэраў / нётэраў / нетэравы needs source check","Keep formulas R, M, k[V]^G, I, R/I unchanged; use hyphen in R-модуль and фактар-кальцо unless reviewer prefers spaced construction.","ring~kolo/kolce/kальцо; module~modul/модуль; invariant~invariant/інварыянт; quotient~factor/faktar.","high","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Bulgarian","draft_translation_support_started_for_covered_row","bulgarian_sofia_noncommutative_body_problem ; bulgarian_sofia_rings_lecture7","stable_local_pdf_text_witnesses_no_tex","Cyrillic academic","Let R be a ring and M a finitely generated R-module.","Нека R е пръстен, а M е крайно породен R-модул.","The invariant ring k[V]^G is Noetherian.","Пръстенът на инвариантите k[V]^G е ньотеров.","If I is an ideal of R, the quotient ring R/I is a field.","Ако I е идеал на R, фактор-пръстенът R/I е поле.","Stable local Bulgarian PDF/text witnesses cover algebra/ring/module vocabulary sufficiently for draft support.","ring: пръстен; field: поле; module: модул; invariant ring: пръстен на инвариантите; Noetherian: ньотеров / нетеров as draft alternatives","Bulgarian definite article attaches to the noun before formula complements: Пръстенът на инвариантите k[V]^G.","prsten/ring family stays transparent to South Slavic; field maps to pole/polje; Noether adjective needs local source check.","medium","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Croatian","draft_translation_support_started_for_covered_row","croatian_mathhr_algebra_structures_2024 ; croatian_pmf_split_prsteni","stable_local_pdf_text_witnesses_no_tex","Latin academic","Let R be a ring and M a finitely generated R-module.","Neka je R prsten, a M konačno generiran R-modul.","The invariant ring k[V]^G is Noetherian.","Prsten invarijanata k[V]^G je noetherovski.","If I is an ideal of R, the quotient ring R/I is a field.","Ako je I ideal u R, kvocijentni prsten R/I je polje.","Stable Croatian PDF/text witnesses support algebra, prsten, polje/tijelo, modul, ideal families.","field: polje / tijelo; Noetherian: noetherovski / Noetherin; quotient ring: kvocijentni prsten / faktorski prsten","Keep R-modul hyphenated near formulas; choose polje vs tijelo only after source-context review.","South Slavic prsten/polje/modul/ideal cluster; invariant ring = prsten invarijanata.","medium","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Czech","draft_translation_support_started_for_covered_row","czech_cuni_algebra_2021 ; czech_cuni_noncommutative_body_thesis ; czech_cuni_representation_idempotents ; czech_cuni_telesa_pole_note ; czech_karlin_commutative_rings_fields ; czech_karlin_galois_splitting_field","stable_local_pdf_text_witnesses_no_tex","Latin academic","Let R be a ring and M a finitely generated R-module.","Nechť R je okruh a M konečně generovaný R-modul.","The invariant ring k[V]^G is Noetherian.","Okruh invariantů k[V]^G je noetherovský.","If I is an ideal of R, the quotient ring R/I is a field.","Je-li I ideál v R, podílový okruh R/I je těleso.","Stable Czech PDF/text witnesses support okruh, těleso, modul, ideál, invariant vocabulary.","group: grupa / skupina depending source register; ring: okruh; field: těleso; invariant: invariant; Noetherian: noetherovský","Czech formula-neighboring adjective usually follows standard mathematical order: konečně generovaný R-modul.","West Slavic okruh/těleso differs from South Slavic prsten/polje; keep comparison notes visible.","medium","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Macedonian","draft_translation_support_started_for_covered_row","macedonian_ukim_math_lexicon ; macedonian_ukim_nary_algebra","stable_local_fulltext_witness_recently_promoted_no_tex","Cyrillic academic","Let R be a ring and M a finitely generated R-module.","Нека R е прстен, а M е конечно генериран R-модул.","The invariant ring k[V]^G is Noetherian.","Прстенот на инваријанти k[V]^G е нетеровски.","If I is an ideal of R, the quotient ring R/I is a field.","Ако I е идеал на R, количник-прстенот R/I е поле.","Recently promoted stable local fulltext witness supports scoped algebra draft material.","quotient ring: количник-прстен / фактор-прстен; Noetherian: нетеровски / Нетеров; invariant: инваријанта / инваријант","Macedonian definite article appears on прстенот; keep R-модул hyphenated near formula use.","South Slavic prsten/polje/modul cluster; quotient alternates količnik/faktor.","medium","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Montenegrin","draft_translation_support_started_for_covered_row","montenegrin_ucg_finite_fields_and_ects_controls","stable_local_fulltext_witness_recently_promoted_no_tex","Latin draft; Cyrillic equivalent may be needed","Let R be a ring and M a finitely generated R-module.","Neka je R prsten, a M konačno generisan R-modul.","The invariant ring k[V]^G is Noetherian.","Prsten invarijanti k[V]^G je noeterovski.","If I is an ideal of R, the quotient ring R/I is a field.","Ako je I ideal u R, količnički prsten R/I je polje.","Recently promoted stable local fulltext witness supports cautious Montenegrin/BCMS draft material.","generated: generisan / generiran; quotient ring: količnički prsten / kvocijentni prsten; field: polje / tijelo; Noetherian: noeterovski / Noetherov","Keep formula symbols unchanged; decide Latin/Cyrillic presentation at render stage.","BCMS bridge terms align with Serbian/Croatian but register choices must remain draft.","medium","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Polish","draft_translation_support_started_for_covered_row","polish_impan_algebra_lecture3 ; polish_mimuw_algebra2_galois ; polish_mimuw_left_ideals_idempotents ; polish_mimuw_noncommutative_body ; polish_uj_algebra1_noetherian ; polish_uwr_algebra2_rings","stable_local_pdf_text_witnesses_no_tex","Latin academic","Let R be a ring and M a finitely generated R-module.","Niech R będzie pierścieniem, a M skończenie generowanym R-modułem.","The invariant ring k[V]^G is Noetherian.","Pierścień niezmienników k[V]^G jest noetherowski.","If I is an ideal of R, the quotient ring R/I is a field.","Jeśli I jest ideałem w R, to pierścień ilorazowy R/I jest ciałem.","Stable Polish PDF/text witnesses support pierścień, ciało, moduł, ideał, niezmiennik families.","invariant: niezmiennik / inwariant; quotient ring: pierścień ilorazowy; Noetherian: noetherowski","Polish inflects nouns around formulas: pierścieniem, R-modułem, ideałem.","pierścień diverges from prsten/okruh; ciało aligns with Czech/Slovak těleso/teleso conceptually.","medium","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Serbian","draft_translation_support_started_for_covered_row","serbian_belgrade_algebra_i_lecture9","stable_local_pdf_text_witnesses_no_tex","Cyrillic academic draft","Let R be a ring and M a finitely generated R-module.","Нека је R прстен, а M коначно генерисан R-модул.","The invariant ring k[V]^G is Noetherian.","Прстен инваријанти k[V]^G је нетеровски.","If I is an ideal of R, the quotient ring R/I is a field.","Ако је I идеал у R, количнички прстен R/I је поље.","Stable Serbian PDF/text witnesses support algebra/prsten/polje/modul/ideal vocabulary.","field: поље / тело; quotient ring: количнички прстен / факторски прстен; Noetherian: нетеровски / Нетеров","Use Cyrillic prose with Latin formula variables unchanged; R-модул hyphenation keeps formula attachment clear.","Serbian aligns with Montenegrin/Croatian prsten/polje/modul but script and field term need review.","medium","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Slovak","draft_translation_support_started_for_covered_row","slovak_abstraktna_algebra","stable_local_pdf_text_witnesses_no_tex","Latin academic","Let R be a ring and M a finitely generated R-module.","Nech R je okruh a M konečne generovaný R-modul.","The invariant ring k[V]^G is Noetherian.","Okruh invariantov k[V]^G je noetherovský.","If I is an ideal of R, the quotient ring R/I is a field.","Ak I je ideál v R, podielový okruh R/I je teleso.","Stable Slovak PDF/text witnesses support okruh, teleso, modul, ideál, invariant vocabulary.","group: grupa / skupina by register; quotient ring: podielový okruh / faktorový okruh; Noetherian: noetherovský","Formula variables remain Latin; adjective order mirrors Czech but use Slovak diacritics and inflection.","West Slavic okruh/teleso/modul pattern; compare Czech okruh/těleso and Polish pierścień/ciało.","medium","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
"Slovenian","draft_translation_support_started_for_covered_row","slovenian_komutativna_algebra_noetherian ; slovenian_uvod_v_algebro","stable_local_pdf_text_witnesses_no_tex","Latin academic","Let R be a ring and M a finitely generated R-module.","Naj bo R kolobar in M končno generiran R-modul.","The invariant ring k[V]^G is Noetherian.","Kolobar invariant k[V]^G je noetherski.","If I is an ideal of R, the quotient ring R/I is a field.","Če je I ideal v R, je kvocientni kolobar R/I polje.","Stable Slovenian PDF/text witnesses support algebra, grupa, kolobar, polje, modul, ideal terms.","ring: kolobar / obroč by source register; invariant ring: kolobar invariant; Noetherian: noetherski / Noetherjev","Kolobar is preferred draft for algebraic ring; keep obroč as alternative until source review.","Slovenian kolobar is less transparent to prsten/okruh clusters; keep bridge note for reviewers.","medium","b99286628344251e860fe889e44cc54c8ebd6f87 / NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion"
