language_code,page_id,revision_id,title,topic_status,domain_primary,domain_tags,review_basis,review_status
ca,290598,37629739,Àlgebra abstracta,mathematics_relevant,abstract_algebra,abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
ca,41933,37220674,Anell (matemàtiques),mathematics_relevant,ring_theory,ring_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
ca,54406,36480260,Cos (matemàtiques),mathematics_relevant,mathematics_general,mathematics_general,ambiguous_title_held_out_of_field_theory,manual_topic_review_20260717
ca,53831,37621206,Demostració (matemàtiques),mathematics_relevant,proof_register,proof_register;mathematics_general,verified_saved_page_title,manual_topic_review_20260717
ca,151836,36710349,A-mòdul,mathematics_relevant,module_theory,module_theory;ring_theory,verified_saved_page_title,manual_topic_review_20260717
ca,53255,37305780,Teoria de grups,mathematics_relevant,group_theory,group_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
es,12952,173778307,Álgebra abstracta,mathematics_relevant,abstract_algebra,abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
es,9303,172514148,Anillo (matemática),mathematics_relevant,ring_theory,ring_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
es,47083,163965223,Álgebra sobre un cuerpo,mathematics_relevant,abstract_algebra,abstract_algebra;field_theory,verified_saved_page_title,manual_topic_review_20260717
es,60286,171959514,Demostración matemática,mathematics_relevant,proof_register,proof_register;mathematics_general,verified_saved_page_title,manual_topic_review_20260717
es,21349,166023447,Teoría de grupos,mathematics_relevant,group_theory,group_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
es,46655,163545571,Módulo (matemática),mathematics_relevant,module_theory,module_theory;ring_theory,verified_saved_page_title,manual_topic_review_20260717
fr,9,228034381,Algèbre générale,mathematics_relevant,abstract_algebra,abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
fr,5276690,237541745,Anneau (mathématiques),mathematics_relevant,ring_theory,ring_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
fr,96201,235538713,Algèbre sur un corps,mathematics_relevant,abstract_algebra,abstract_algebra;field_theory,verified_saved_page_title,manual_topic_review_20260717
fr,20686,228450069,Démonstration (logique et mathématiques),mathematics_relevant,proof_register,proof_register;mathematics_general,verified_saved_page_title,manual_topic_review_20260717
fr,247990,234911105,Module sur un anneau,mathematics_relevant,module_theory,module_theory;ring_theory,verified_saved_page_title,manual_topic_review_20260717
fr,17703,228274599,Théorie des groupes,mathematics_relevant,group_theory,group_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
gl,51033,7114436,Álxebra abstracta,mathematics_relevant,abstract_algebra,abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
gl,209662,7399914,Anel (álxebra),mathematics_relevant,ring_theory,ring_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
gl,209642,6945035,Corpo (álxebra),mathematics_relevant,field_theory,field_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
gl,167091,7442913,Proba matemática,mathematics_relevant,proof_register,proof_register;mathematics_general,verified_saved_page_title,manual_topic_review_20260717
gl,317094,6945037,Módulo (álxebra),mathematics_relevant,module_theory,module_theory;ring_theory,verified_saved_page_title,manual_topic_review_20260717
gl,169282,7404099,Teoría de grupos,mathematics_relevant,group_theory,group_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
it,40840,141860794,Algebra astratta,mathematics_relevant,abstract_algebra,abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
it,33544,138537220,Anello (algebra),mathematics_relevant,ring_theory,ring_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
it,31716,145498082,Campo (matematica),mathematics_relevant,field_theory,field_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
it,95417,144538899,Dimostrazione matematica,mathematics_relevant,proof_register,proof_register;mathematics_general,verified_saved_page_title,manual_topic_review_20260717
it,63266,146300127,Modulo (algebra),mathematics_relevant,module_theory,module_theory;ring_theory,verified_saved_page_title,manual_topic_review_20260717
it,85128,146811610,Teoria dei gruppi,mathematics_relevant,group_theory,group_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
pt,60301,68734795,Álgebra abstrata,mathematics_relevant,abstract_algebra,abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
pt,9559,68653183,Anel (matemática),mathematics_relevant,ring_theory,ring_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
pt,44171,72178684,Álgebra,mathematics_relevant,abstract_algebra,abstract_algebra,query_term_not_used_for_domain,manual_topic_review_20260717
pt,94226,72063411,Prova matemática,mathematics_relevant,proof_register,proof_register;mathematics_general,verified_saved_page_title,manual_topic_review_20260717
pt,616487,72002999,Módulo (matemática),mathematics_relevant,module_theory,module_theory;ring_theory,verified_saved_page_title,manual_topic_review_20260717
pt,193830,71904594,Teoria dos grupos,mathematics_relevant,group_theory,group_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
ro,752864,17640786,Algebră abstractă,mathematics_relevant,abstract_algebra,abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
ro,2608752,17715620,Corp algebric închis,mathematics_relevant,abstract_algebra,abstract_algebra;field_theory,verified_saved_page_title,manual_topic_review_20260717
ro,1106041,16295374,Demonstrație matematică,mathematics_relevant,proof_register,proof_register;mathematics_general,verified_saved_page_title,manual_topic_review_20260717
ro,12164,17778278,Inel (matematică),mathematics_relevant,ring_theory,ring_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
ro,88,17753407,Matematică,mathematics_relevant,mathematics_general,mathematics_general,query_term_not_used_for_domain,manual_topic_review_20260717
ro,2398153,17567738,Teoria grupurilor,mathematics_relevant,group_theory,group_theory;abstract_algebra,verified_saved_page_title,manual_topic_review_20260717
