route_id,variety_code,variety_name,macrobranch,subbranch,standard_or_idiom,region,script,scope_status,corpus_language_key,source_queue,gap_reason,cohort_route,dominant_standard_not_proxy,notes
R001,es,Spanish,Western Romance,Ibero-Romance,standard,Spain and Americas,Latn,core_initial,es,consolidated_active,,Spanish readers,true,Regional standards require later metadata
R002,pt,Portuguese,Western Romance,Ibero-Romance,standard,Portugal Africa and Brazil,Latn,core_initial,pt,consolidated_active,,Portuguese readers,true,European and Brazilian register split queued
R003,gl,Galician,Western Romance,Ibero-Romance,standard,Galicia,Latn,core_initial,gl,consolidated_active,,Galician readers,true,Portuguese is adjacent evidence only
R004,ca,Catalan,Western Romance,Occitano-Romance,standard,Catalonia and wider Catalan area,Latn,core_initial,ca,consolidated_active,,Catalan readers,true,Valencian and Balearic routes remain separately tagged
R005,fr,French,Western Romance,Oïl,standard,France and Francophonie,Latn,core_initial,fr,consolidated_active,,French readers,true,Oïl varieties are not replaced by French
R006,it,Italian,Western Romance,Italo-Dalmatian,standard,Italy and Switzerland,Latn,core_initial,it,consolidated_active,,Italian readers,true,Regional languages are independent routes
R007,ro,Romanian,Eastern Romance,Daco-Romanian,standard,Romania and Moldova,Latn,core_initial,ro,consolidated_active,,Romanian readers,true,Moldovan script/register metadata queued
R008,rm-rg,Rumantsch Grischun,Rhaeto-Romance,Romansh,standardized umbrella,Switzerland,Latn,core_initial,rm,Swiss institutional mathematics or education source with stable edition,Automatic search returned zero usable mathematical bodies,Rumantsch Grischun readers,true,One official general school-mathematics body is active; specialist algebra remains a zero-body gap; inherited forms are not corpus attestation
R009,rm-sursilvan,Sursilvan,Rhaeto-Romance,Romansh,regional idiom,Surselva Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Sursilvan cohort,true,Rumantsch Grischun is not a proxy
R010,rm-sutsilvan,Sutsilvan,Rhaeto-Romance,Romansh,regional idiom,Central Grisons Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Sutsilvan cohort,true,Rumantsch Grischun is not a proxy
R011,rm-surmiran,Surmiran,Rhaeto-Romance,Romansh,regional idiom,Albula and Surses Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Surmiran cohort,true,Rumantsch Grischun is not a proxy
R012,rm-puter,Putèr,Rhaeto-Romance,Romansh,regional idiom,Upper Engadine Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Putèr cohort,true,Rumantsch Grischun is not a proxy
R013,rm-vallader,Vallader,Rhaeto-Romance,Romansh,regional idiom,Lower Engadine Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Vallader cohort,true,Rumantsch Grischun is not a proxy
R014,oc,Occitan,Western Romance,Occitano-Romance,standard/pluricentric,Occitania,Latn,core_expansion,,institutional lexicon plus revision-pinned mathematical source,No source acquired,Occitan readers,true,Catalan is adjacent evidence only
R015,oc-aranese,Aranese,Western Romance,Occitano-Romance,official Gascon standard,Val d'Aran,Latn,core_expansion,,official educational mathematics source plus lexicon,No source acquired,Aranese readers,true,Occitan umbrella is not a substitute
R016,oc-gascon,Gascon,Western Romance,Occitano-Romance,regional standard,Gascony,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Gascon readers,true,Aranese evidence must be tagged separately
R017,frp,Arpitan / Franco-Provençal,Western Romance,Arpitan,regional standards,France Switzerland and Italy,Latn,core_expansion,,institutional dictionary plus native mathematics or education source,No source acquired,Arpitan readers,true,French is not a proxy
R018,wa,Walloon,Western Romance,Oïl,regional standard,Wallonia,Latn,core_expansion,,revision-pinned source plus institutional lexicon,No source acquired,Walloon readers,true,French is not a proxy
R019,pcd,Picard,Western Romance,Oïl,regional standard,Picardy and Hainaut,Latn,core_expansion,,revision-pinned source plus institutional lexicon,No source acquired,Picard readers,true,French is not a proxy
R020,nrf,Norman,Western Romance,Oïl,regional standard,Normandy and Channel Islands,Latn,core_expansion,,revision-pinned source plus institutional lexicon,No source acquired,Norman readers,true,French is not a proxy
R021,fr-gallo,Gallo,Western Romance,Oïl,regional standard,Brittany and Maine,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Gallo readers,true,French is not a proxy
R022,fr-bgm,Burgundian-Morvandiau,Western Romance,Oïl,regional standard,Burgundy,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Burgundian readers,true,French is not a proxy
R023,fr-fc,Franc-Comtois,Western Romance,Oïl,regional standard,Franche-Comté and Swiss Jura,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Franc-Comtois readers,true,French is not a proxy
R024,fr-champ,Champenois,Western Romance,Oïl,regional standard,Champagne,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Champenois readers,true,French is not a proxy
R025,fr-lor,Lorrain,Western Romance,Oïl,regional standard,Lorraine,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Lorrain readers,true,French is not a proxy
R026,fr-poit,Poitevin-Saintongeais,Western Romance,Oïl,regional standard,West-central France,Latn,core_expansion,,regional dictionary plus native technical source,No source acquired,Poitevin-Saintongeais readers,true,French is not a proxy
R027,fro,Old French,Western Romance,Oïl,historical,Medieval France,Latn,historical_diachronic,,critical edition and historical dictionary,No source acquired,Historical evidence only,true,Not scored as a modern reader cohort
R028,fur,Friulian,Rhaeto-Romance,Friulian,standard,Friuli,Latn,core_expansion,,institutional lexicon plus native mathematics or education source,No source acquired,Friulian readers,true,Italian is not a proxy
