crosswalk_id,language,production_ledger_path,production_ledger_sha256,production_data_row,source_term,target_term,sense,status,source_evidence,source_excerpt,german_source_evidence,decision_note,production_row_sha256,mapping_status,mapping_method,mapping_precision,wordweb_term_id,wordweb_candidate_term_ids,wordweb_candidate_sense_ids,wordweb_mapped_sense_ids,attestation_effect,promotion_effect,human_or_MII_effect
ES-001,es,C:/Users/Floris/Documents/interlanguage/03_projects/noether/03_translation_workspaces/romance_rebase_20260717/work/spanish/GERMAN_SPANISH_TERMINOLOGY_LEDGER.csv,395C18C21D53C3E439DF95891DE197866548F4EBD0D550453ED83D8CE7B5B9EA,1,Ring,anillo,ring in abstract algebra,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:78; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,Sea $R$ un anillo noetheriano y $M$ un m\'{o}dulo (por la izquierda o,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:30; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\begin{minipage}[c]{\dimexpr\linewidth-3.2em\relax}\centering,Native Spanish register witness; R823 context controls the mathematical sense.,6F2EFFBF55A548DC015E6E6C6284C680B1B26D94A56E5314D4EF6055A1CEAC3A,mapped,pinned_spanish_core_row_identity,term_and_single_sense_exact,T01,T01,T01-S1,T01-S1,none_existing_production_evidence_preserved,none,none
ES-002,es,C:/Users/Floris/Documents/interlanguage/03_projects/noether/03_translation_workspaces/romance_rebase_20260717/work/spanish/GERMAN_SPANISH_TERMINOLOGY_LEDGER.csv,395C18C21D53C3E439DF95891DE197866548F4EBD0D550453ED83D8CE7B5B9EA,2,Körper,cuerpo,commutative field,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:94; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,"cuerpo $\mathbf{k}$, podemos definir la dimensi\'{o}n de","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:4510; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt={\Large\bfseries 5. Rationale Funktionenkörper.\srcfn{1)}{Vortrag, gehalten auf der Naturforscherversammlung Wien 1913.}}\par",Native Spanish register witness; R823 context controls the mathematical sense.,138E668FAD3122D3A3A97497B4BBCB1307F55909AB6E188F8F3D68B639A83BF5,mapped,pinned_spanish_core_row_identity,term_and_single_sense_exact,T02,T02,T02-S1,T02-S1,none_existing_production_evidence_preserved,none,none
ES-003,es,C:/Users/Floris/Documents/interlanguage/03_projects/noether/03_translation_workspaces/romance_rebase_20260717/work/spanish/GERMAN_SPANISH_TERMINOLOGY_LEDGER.csv,395C18C21D53C3E439DF95891DE197866548F4EBD0D550453ED83D8CE7B5B9EA,3,Schiefkörper,anillo de división,modern division-ring term,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:14774; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"En lo que sigue se proseguirá la cuestión de los cuerpos de descomposición. Los cuerpos de descomposición de grado mínimo pueden caracterizarse mediante anillos de división no conmutativos asociados; los cuerpos de descomposición generales,","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:18630; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Der Beweis für die Existenz der Normalbasis unter den obigen Voraussetzungen beruht darauf, daß \(\frakO/\frako\), aufgefaßt als Galoismodul -- d. h. als \(\frako\)-Modul mit den S",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.,F9B06C476316C465CA3A8D063242A472103D8D77DF353B0DD44B4965E1EE3D2D,mapped,pinned_spanish_core_row_identity,term_exact_sense_disambiguation_open,T03,T03,T03-S1;T03-S2,T03-S1;T03-S2,none_existing_production_evidence_preserved,none,none
ES-004,es,C:/Users/Floris/Documents/interlanguage/03_projects/noether/03_translation_workspaces/romance_rebase_20260717/work/spanish/GERMAN_SPANISH_TERMINOLOGY_LEDGER.csv,395C18C21D53C3E439DF95891DE197866548F4EBD0D550453ED83D8CE7B5B9EA,4,Algebra,álgebra,algebra over a coefficient ring or field,source-supported,1311.1146v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1311.1146v1\1311_unpacked\doc.tex:113; sha256=C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE,"\thesisgrau{Geometria, Álgebra e Análise}",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:4519; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die folgenden Fragestellungen gehen ursprünglich auf Gespräche mit E. Fischer zurück. Einige der Fragen sind übrigens für den speziellen Fall einer Unbestimmten --- und zwar unter ,Native Spanish register witness; R823 context controls the mathematical sense.,3AE0E8253505B295AA6DB117B3D4479C81C24C9489C924CC42642ECCF749FB70,mapped,pinned_spanish_core_row_identity,term_and_single_sense_exact,T04,T04,T04-S1,T04-S1,none_existing_production_evidence_preserved,none,none
ES-005,es,C:/Users/Floris/Documents/interlanguage/03_projects/noether/03_translation_workspaces/romance_rebase_20260717/work/spanish/GERMAN_SPANISH_TERMINOLOGY_LEDGER.csv,395C18C21D53C3E439DF95891DE197866548F4EBD0D550453ED83D8CE7B5B9EA,5,Modul,módulo,module over a ring,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:78; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,Sea $R$ un anillo noetheriano y $M$ un m\'{o}dulo (por la izquierda o,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:152; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=% current section packet module/residue macros,Native Spanish register witness; R823 context controls the mathematical sense.,7913494D105C5781FE758F6481990B52458C2B1BBA3B21FBB7383194341F81D1,mapped,pinned_spanish_core_row_identity,term_and_single_sense_exact,T05,T05,T05-S1,T05-S1,none_existing_production_evidence_preserved,none,none
ES-006,es,C:/Users/Floris/Documents/interlanguage/03_projects/noether/03_translation_workspaces/romance_rebase_20260717/work/spanish/GERMAN_SPANISH_TERMINOLOGY_LEDGER.csv,395C18C21D53C3E439DF95891DE197866548F4EBD0D550453ED83D8CE7B5B9EA,6,Ideal,ideal,ring ideal,source-supported,2209.02110v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2209.02110v1\2209_unpacked\monoides.tex:693; sha256=DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,Un ideal de un monoide M es un subconjunto I tal que para todo $q\in I$ y $k\in M$ tenemos que $q+k\in I$.,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:96; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=% current section packet ideal/function-field macros,Native Spanish register witness; R823 context controls the mathematical sense.,CB4DC09AA0BD7370B068144B49892B304EFDAD19851F237E8E17F1DE2D5CBA4A,mapped,pinned_spanish_core_row_identity,term_and_single_sense_exact,T06,T06,T06-S1,T06-S1,none_existing_production_evidence_preserved,none,none
ES-007,es,C:/Users/Floris/Documents/interlanguage/03_projects/noether/03_translation_workspaces/romance_rebase_20260717/work/spanish/GERMAN_SPANISH_TERMINOLOGY_LEDGER.csv,395C18C21D53C3E439DF95891DE197866548F4EBD0D550453ED83D8CE7B5B9EA,7,Primideal,ideal primo,prime ideal,source-supported,2209.02110v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2209.02110v1\2209_unpacked\monoides.tex:704; sha256=DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,"Por ejemplo el conjunto vació es un ideal primo de M, como también el conjunto $M^{+}$ de no unidades de M. Notemos que cualquier ideal I conteniendo una unidad u debe ser todo M, ya que de este modo $0=u-u \in I$, y así para todo $m\in M$ ","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:9160; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Der Beweis des Fundamentalsatzes der Idealtheorie, daß jedes Ideal sich eindeutig als Potenzprodukt von Primidealen darstellen läßt, läßt sich für algebraische Zahlen und Funktione",Native Spanish register witness; R823 context controls the mathematical sense.,346757ADC7F1DB6A76301D342A8803E9E9DB729AF87623C7CB4562F5D161297B,mapped,pinned_spanish_core_row_identity,term_and_single_sense_exact,T07,T07,T07-S1,T07-S1,none_existing_production_evidence_preserved,none,none
ES-008,es,C:/Users/Floris/Documents/interlanguage/03_projects/noether/03_translation_workspaces/romance_rebase_20260717/work/spanish/GERMAN_SPANISH_TERMINOLOGY_LEDGER.csv,395C18C21D53C3E439DF95891DE197866548F4EBD0D550453ED83D8CE7B5B9EA,8,Primärideal,ideal primario,primary ideal,source-supported,2209.02110v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2209.02110v1\2209_unpacked\monoides.tex:1022; sha256=DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,"1. Si $\fk{q}$ es un ideal primario de M, entonces su radical $\sqrt{\fk{q}}$ es primo, y existe un elemento x de M tal que $\sqrt{\fk{q}}=\set{a:ax\in \fk{q}}$. \\",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:13642; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Einordnung und Neubegründung gruppieren sich um vier Fragestellungen: Arithmetische Fassung des Dimensionsbegriffes; Theorie der Nullstellen; Zusammenhang der Zerlegungssätze für N,Native Spanish register witness; R823 context controls the mathematical sense.,C43E1EB8D54237FB115E75FAF67765E31AFFB3A64A186A68A4D2BCEE5432D1EE,mapped,pinned_spanish_core_row_identity,term_and_single_sense_exact,T08,T08,T08-S1,T08-S1,none_existing_production_evidence_preserved,none,none
ES-009,es,C:/Users/Floris/Documents/interlanguage/03_projects/noether/03_translation_workspaces/romance_rebase_20260717/work/spanish/GERMAN_SPANISH_TERMINOLOGY_LEDGER.csv,395C18C21D53C3E439DF95891DE197866548F4EBD0D550453ED83D8CE7B5B9EA,9,irreduzibles Ideal,ideal irreducible,irreducible ideal,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:10460; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"En la cadena $\ideal C_1,\ideal C_2,\ldots,\ideal C_n,\ldots$ cada $\ideal C_n$ es un divisor propio del inmediatamente precedente, y por tanto la cadena termina después de un número finito de pasos; hay un índice $n$ tal que $\ideal C_n$ e",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:11232; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\noindent\hangindent=3.0em\hangafter=1 \S~2. \textbf{Darstellung eines Ideals als kleinstes gemeinsames Vielfaches von endlich vielen irreduziblen Idealen.}\par,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.,B8D5F3C1E97B6E94765649DDC8F91550EDC630181309698208166AED86F9B0A2,mapped,pinned_spanish_core_row_identity,term_and_single_sense_exact,T09,T09,T09-S1,T09-S1,none_existing_production_evidence_preserved,none,none
ES-010,es,C:/Users/Floris/Documents/interlanguage/03_projects/noether/03_translation_workspaces/romance_rebase_20260717/work/spanish/GERMAN_SPANISH_TERMINOLOGY_LEDGER.csv,395C18C21D53C3E439DF95891DE197866548F4EBD0D550453ED83D8CE7B5B9EA,10,teilerfremde Ideale,ideales coprimos,comaximal or coprime ideals,source-supported,github_NunoSempere_Apuntes:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_NunoSempere_Apuntes\Algebra Conmutativa\tex\AlgebraConmutativa_Ejs.tex:286; sha256=2CCFDBA96D8ABFB26BC33C42B593921EC110AEE71A2A8DB79E58211E8CF11968,\ppart Encuentra dos ideales coprimos en,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:11959; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Besitzt der zugrunde gelegte Ringbereich $\Sigma$ eine Einheit, d. h. ein Element $\varepsilon$, derart, daß $\varepsilon\cdot a=a$ wird für jedes Element aus $\Sigma$,\footnote{$\",Native Spanish register witness; R823 context controls the mathematical sense.,0BD1B087092F312BD6628B3F36FB25B4785B002CE53044E7A592D3BAA6DC9E80,mapped,pinned_spanish_core_row_identity,term_exact_sense_disambiguation_open,T10,T10,T10-S1;T10-S2,T10-S1;T10-S2,none_existing_production_evidence_preserved,none,none
