tranche,source_ledger_path,source_ledger_sha256,term_id,source_term,target_term,sense,status,source_evidence,original_wordweb_link,effective_wordweb_link,link_change_status,semantic_compatibility_status,semantic_compatibility_rationale,alternatives_or_crosswalk,adverse_evidence,source_rationale,attestation_effect,promotion_effect
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG01,Vorlesung,curso,academic lecture/course,construction_candidate,R823:21049,,,retained_v9,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,lection; lezione; curs,No eight-language source row yet,Short common academic form; native review required,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG02,allgemeine Darstellungstheorie,teoria general de representation,general representation theory,construction_candidate,R823:21049,T17-S1,T17-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,théorie des représentations; teoria de representaciones,representation ordinary-language senses,Uses the learned shared stem while keeping the concept sense-scoped,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG03,Ring,anel,noncommutative ring,construction_candidate,R823:21049;21051;21059,T01-S1,T01-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,anillo; anneau; anello; inel; rintg,ordinary ring object,Branch-balanced v2 candidate; not promoted as intelligible,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG04,endliche Gruppe,grup finit,finite group,construction_candidate,R823:21049,T39-S1 + T29-S1,T39-S1 + T29-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,grupo finito; groupe fini; gruppo finito,finite cardinality must not become finitely generated,Uses attested Catalan/Romanian consonantal group stem and invariant adjective,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG05,hyperkomplexes Zahlensystem,sistem numeric hypercomplex,historical hypercomplex number system,source_preserving_candidate,R823:21049,,,retained_v9,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,sistema de números hipercomplexos; système hypercomplexe,not silently modernized to algebra,Preserves historical conceptual framing,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG06,Gruppenring,anel de grup,group ring,productive_compound_candidate,R823:21051,T01-S1 + T39-S1,T01-S1 + T39-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,anillo de grupo; anneau de groupe; anello gruppale,compound relation may lexicalize differently,Transparent analytic compound,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG07,Ideal,ideal,two-sided ideal unless qualified,construction_candidate,R823:21051,T06-S1,T06-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,ideale,ordinary adjective ideal,Shared learned technical noun; first use remains sense-tagged,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG08,Rechnung,calculation,mathematical calculation,construction_candidate,R823:21051,,,retained_v9,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,cálculo; calcul; calcolo,ordinary planning/accounting senses,Learned transparent stem,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG09,Untergruppe,subgrup,subgroup,construction_candidate,R823:21051,T40-S1,T40-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,subgrupo; sous-groupe; sottogruppo,productive prefixes diverge,Uses shared sub- plus consonantal grup,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG10,Galoissche Theorie,teoria de Galois,Galois theory,construction_candidate,R823:21051,T26-S3,T26-S3,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,théorie de Galois; teoria di Galois,proper name alone underspecifies sense,Analytic compound,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG11,nichtkommutativer Körper,corp noncommutativ,historical noncommutative field/division ring,source_preserving_with_modern_note,R823:21051,T03-S2,T03-S2,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,anel de division; corps gauche; anello di divisione,body and physical-field senses,Preserves historical wording; glossary supplies modern division-ring crosswalk,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG12,Arbeit,articulo,scholarly article,construction_candidate,R823:21053,,,retained_v9,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,article; articolo; artigo,work/labor sense avoided,Explicit scholarly genre,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG13,Ergänzung,complemento,supplement/complement to another text,construction_candidate,R823:21053,T33-S1,none_not_in_60_concept_spine,corrected_v10,false_nearest_match_removed,Editorial supplement to another text is not the T33-S1 direct-complement sense.,supplement; complément,not a direct-sum complement here,Register-specific use logged,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG14,Begriff,concepto,defined mathematical concept,construction_candidate,R823:21053;21055,,,retained_v9,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,notion; concetto,ordinary idea sense,Learned technical noun,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG15,Darstellungsmodul,modul de representation,representation module,construction_candidate,R823:21055,T05-S1 + T17-S1,T05-S1 + T17-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,module de représentation; módulo de representación,module/modulo sense trap,Explicit analytic compound and C2 MODULE-sense constraint,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG16,reziproker Darstellungsmodul,modul reciproc de representation,reciprocal representation module,historical_construction_candidate,R823:21055,T05-S1 + T17-S2,T05-S1 + T17-S2,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,module de représentation réciproque,reciprocal has inverse/fraction senses,Source term retained pending modern crosswalk,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG17,reziproke Darstellung,representation reciproc,reciprocal/anti-representation,historical_construction_candidate,R823:21055;21069,T17-S2,T17-S2,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,anti-representation; représentation réciproque,not ordinary converse or inverse,Source-facing label with explicit product-order definition,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG18,direkte Darstellung,representation direct,direct representation,construction_candidate,R823:21061;21063,T17-S1,T17-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,representación directa; représentation directe,direct may mean unmediated in ordinary prose,Shared learned adjective,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG19,n-ten Grades,de grado n,degree n,construction_candidate,R823:21063;21071,,,retained_v9,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,de degré n; di grado n,rank/degree distinction,Formula-facing analytic phrase,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG20,Teilring,subanel,subring,productive_compound_candidate,R823:21063;21071,T01-S1,T01-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,subanillo; sous-anneau; sottoanello,not a subset lacking closure,Productive sub- compound,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG21,Matrix,matrice,matrix,construction_candidate,R823:21063;21077,T38-S1,T38-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,matriz; matriu,material-matrix sense,FR/IT/RO-supported learned form rotates away from Spanish pivot,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG22,Element,element,algebraic element,construction_candidate,R823:21063;21071;21077,T06-S1,C2-element,corrected_v10,corrected_exact_extension_node,Algebraic element has an explicit C2 element node and is not the T06-S1 ideal sense.,elemento; élément,ordinary component sense,Consonantal learned stem,none_existing_evidence_only,none
R823_HG_T001,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,HG23,ringhomomorph abgebildet,applicar per un homomorfism de anels,map by a ring homomorphism,analytic_construction_candidate,R823:21063;21071,T18-S1,T18-S1,retained_v9,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,mappar; envoyer; aplicar,map/image object must not be conflated,Unpacks the relation instead of inventing an adjective,none_existing_evidence_only,none
