edge_id,candidate_id,source_file,source_line,source_column_1based,visible_reference_tex,reference_form,reference_scope,structural_context,target_stable_id,destination_label,pdf_destination,target_kind,target_pdf_page,resolution_basis,link_origin,compiled_status,source_span_sha256,compiled_pdf_anchor
sga2.r6.edge.000001,sga2.r6.candidate.000001,parts/00_introduction.tex,15,23,\Ref{I},preexisting_Ref_command,I,front,sga2.e01.front.structural.i,I,I,structural,4,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,D7B94ACE6D331498B32F4E3E790B86DB20FB17351CA2D932C75EB08ECAF8D519,chapter*.16
sga2.r6.edge.000002,sga2.r6.candidate.000002,parts/00_introduction.tex,15,39,\Ref{XI},preexisting_Ref_command,XI,front,sga2.e11.front.structural.xi,XI,XI,structural,91,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,8E7220F7A11880F2D7816E02786A02060B88E24563E8FDF7CD5B90A4ACE575CF,chapter*.708
sga2.r6.edge.000003,sga2.r6.candidate.000003,parts/00_introduction.tex,35,29,\Ref{III},preexisting_Ref_command,III,front,sga2.e03.front.structural.iii,III,III,structural,19,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,F2914293D7559C2577E7B57CAC73C2D343BDB81ACAAA23B19A9CEB92199F0FB6,chapter*.177
sga2.r6.edge.000004,sga2.r6.candidate.000004,parts/00_introduction.tex,35,47,\Ref{VIII},preexisting_Ref_command,VIII,front,sga2.e08.front.structural.viii,VIII,VIII,structural,60,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,23655C162D7064EE6FF2D8D23E7F99CD5CBF69EE72EC09DE96B3BC751F79377E,chapter*.487
sga2.r6.edge.000005,sga2.r6.candidate.000005,parts/00_introduction.tex,43,10,\Ref{IV},preexisting_Ref_command,IV,front,sga2.e04.front.section.iv,IV,IV,section,29,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,7DFAAB010BDC19EE10DFB3FFFFC5639B9A92B0F204920BBDE25D5066DF4213DA,chapter*.254
sga2.r6.edge.000006,sga2.r6.candidate.000006,parts/00_introduction.tex,48,10,\Ref{XIV},preexisting_Ref_command,XIV,front,sga2.e14.front.structural.xiv,XIV,XIV,structural,138,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,BE1243FF6B5C0064B2943152274EFD715576DF46B27FE9373604F94D3438290F,chapter*.1130
sga2.r6.edge.000007,sga2.r6.candidate.000007,parts/00_introduction.tex,51,10,\Ref{XIII},preexisting_Ref_command,XIII,front,sga2.e13.front.structural.xiii,XIII,XIII,structural,120,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,1CB23D684E57B824368C815F900198452C201D1E115BD75220EBC19C8A3866CD,chapter*.980
sga2.r6.edge.000008,sga2.r6.candidate.000008,parts/00_introduction.tex,51,25,\Ref{XIII},preexisting_Ref_command,XIII,front,sga2.e13.front.structural.xiii,XIII,XIII,structural,120,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,1CB23D684E57B824368C815F900198452C201D1E115BD75220EBC19C8A3866CD,chapter*.980
sga2.r6.edge.000009,sga2.r6.candidate.000009,parts/00_introduction.tex,51,36,\Ref{XIII.6},preexisting_Ref_command,XIII,front,sga2.e13.6.structural.6,XIII.6,XIII.6,structural,132,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,2969CEF99127E168646F8ADD7C6D12CBEB91C43FE4F4D0EEA026605780AC482E,section*.1081
sga2.r6.edge.000010,sga2.r6.candidate.000010,parts/00_introduction.tex,61,10,\Ref{I},preexisting_Ref_command,I,front,sga2.e01.front.structural.i,I,I,structural,4,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,D7B94ACE6D331498B32F4E3E790B86DB20FB17351CA2D932C75EB08ECAF8D519,chapter*.16
sga2.r6.edge.000011,sga2.r6.candidate.000011,parts/00_introduction.tex,66,1,\Ref{I},preexisting_Ref_command,I,front,sga2.e01.front.structural.i,I,I,structural,4,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,D7B94ACE6D331498B32F4E3E790B86DB20FB17351CA2D932C75EB08ECAF8D519,chapter*.16
sga2.r6.edge.000012,sga2.r6.candidate.000012,parts/00_introduction.tex,66,9,\Ref{I.2.6},preexisting_Ref_command,I,front,sga2.e01.2.theorem.2-6,I.2.6,I.2.6,theorem,9,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,2C266A2C7D49ACDBBBE5DF2087F4C2C97CDB3CADB79960AC8FD9E036CC0C0C2F,section*.95
sga2.r6.edge.000013,sga2.r6.candidate.000013,parts/00_introduction.tex,72,10,\Ref{II},preexisting_Ref_command,II,front,sga2.e02.front.structural.ii,II,II,structural,14,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,D9504DBA0453B346AC29333441BA88B48E5BB89BD6CF5AED6FE7F00A5CDF78C9,chapter*.135
sga2.r6.edge.000014,sga2.r6.candidate.000014,parts/00_introduction.tex,73,29,\Ref{III},preexisting_Ref_command,III,front,sga2.e03.front.structural.iii,III,III,structural,19,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,F2914293D7559C2577E7B57CAC73C2D343BDB81ACAAA23B19A9CEB92199F0FB6,chapter*.177
sga2.r6.edge.000015,sga2.r6.candidate.000015,parts/00_introduction.tex,74,18,\Ref{III},preexisting_Ref_command,III,front,sga2.e03.front.structural.iii,III,III,structural,19,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,F2914293D7559C2577E7B57CAC73C2D343BDB81ACAAA23B19A9CEB92199F0FB6,chapter*.177
sga2.r6.edge.000016,sga2.r6.candidate.000016,parts/00_introduction.tex,74,28,\Ref{III.3.3},preexisting_Ref_command,III,front,sga2.e03.3.proposition.3-3,III.3.3,III.3.3,proposition,24,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,A49022A72F90D8B7B375CA0AE3456CA397F50A6C8A15FCAFD52DFD8548D32FB4,section*.229
sga2.r6.edge.000017,sga2.r6.candidate.000017,parts/00_introduction.tex,76,11,\Ref{IV},preexisting_Ref_command,IV,front,sga2.e04.front.section.iv,IV,IV,section,29,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,7DFAAB010BDC19EE10DFB3FFFFC5639B9A92B0F204920BBDE25D5066DF4213DA,chapter*.254
sga2.r6.edge.000018,sga2.r6.candidate.000018,parts/00_introduction.tex,76,24,\Ref{V},preexisting_Ref_command,V,front,sga2.e05.front.structural.v,V,V,structural,41,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,048A7FF21355F8C45EE83715232C121B2054C76BB0BCEDC5253540EEDAD71A1D,chapter*.321
sga2.r6.edge.000019,sga2.r6.candidate.000019,parts/00_introduction.tex,78,2,\Ref{XII},preexisting_Ref_command,XII,front,sga2.e12.front.structural.xii,XII,XII,structural,99,preexisting_latex_reference_command,preexisting,compiled_preserved_r6,51A65CA518E714C869947B61E0CC2E94C7D3D1B1666DC5A2175176AC343F1074,chapter*.780
