candidate_id,pattern_kind,source_file,source_line,source_column_1based,visible_reference_tex,raw_locator,current_expose,reference_scope,structural_context,kind_cue,candidate_target_ids,resolved_target_id,destination_label,final_class,resolution_basis,link_status,source_span_sha256,context,manual_audit_status,document_order
sga2.r6.candidate.000001,preexisting_Ref_command,parts/00_introduction.tex,15,23,\Ref{I},,FRONT_MATTER,I,front,,sga2.e01.front.structural.i,sga2.e01.front.structural.i,I,linked_internal_edge,preexisting_latex_reference_command,preexisting,D7B94ACE6D331498B32F4E3E790B86DB20FB17351CA2D932C75EB08ECAF8D519,"E G\'{E}OM\'ETRIE\nALG\'EBRIQUE}{\'El\'ements de G\'eom\'etrie Alg\'ebrique}.\n\nThe text of Expos\'es~\Ref{I} through~\Ref{XI} was written up as the\nseminar proceeded, from my oral lectures and handwritten not",not_required_internal_or_structural,4
sga2.r6.candidate.000002,preexisting_Ref_command,parts/00_introduction.tex,15,39,\Ref{XI},,FRONT_MATTER,XI,front,,sga2.e11.front.structural.xi,sga2.e11.front.structural.xi,XI,linked_internal_edge,preexisting_latex_reference_command,preexisting,8E7220F7A11880F2D7816E02786A02060B88E24563E8FDF7CD5B90A4ACE575CF,"E\nALG\'EBRIQUE}{\'El\'ements de G\'eom\'etrie Alg\'ebrique}.\n\nThe text of Expos\'es~\Ref{I} through~\Ref{XI} was written up as the\nseminar proceeded, from my oral lectures and handwritten notes, by a group\nof",not_required_internal_or_structural,5
sga2.r6.candidate.000003,preexisting_Ref_command,parts/00_introduction.tex,35,29,\Ref{III},,FRONT_MATTER,III,front,,sga2.e03.front.structural.iii,sga2.e03.front.structural.iii,III,linked_internal_edge,preexisting_latex_reference_command,preexisting,F2914293D7559C2577E7B57CAC73C2D343BDB81ACAAA23B19A9CEB92199F0FB6,\emph{bis} added when ambiguous duplicates occurred here and there.} of\nthe statements in Expos\'es~\Ref{III} through~\Ref{VIII}\pageoriginale\n(and consequently the references to those Expos\'es)\sfootnote{It ,not_required_internal_or_structural,6
sga2.r6.candidate.000004,preexisting_Ref_command,parts/00_introduction.tex,35,47,\Ref{VIII},,FRONT_MATTER,VIII,front,,sga2.e08.front.structural.viii,sga2.e08.front.structural.viii,VIII,linked_internal_edge,preexisting_latex_reference_command,preexisting,23655C162D7064EE6FF2D8D23E7F99CD5CBF69EE72EC09DE96B3BC751F79377E,hen ambiguous duplicates occurred here and there.} of\nthe statements in Expos\'es~\Ref{III} through~\Ref{VIII}\pageoriginale\n(and consequently the references to those Expos\'es)\sfootnote{It goes\nwithout saying,not_required_internal_or_structural,7
sga2.r6.candidate.000005,preexisting_Ref_command,parts/00_introduction.tex,43,10,\Ref{IV},,FRONT_MATTER,IV,front,,sga2.e04.front.section.iv,sga2.e04.front.section.iv,IV,linked_internal_edge,preexisting_latex_reference_command,preexisting,7DFAAB010BDC19EE10DFB3FFFFC5639B9A92B0F204920BBDE25D5066DF4213DA,"rous and troublesome.\nMoreover, Mme M\ptbl~\sisi{HAKIM}{Hakim} kindly undertook to rewrite\nExpos\'e~\Ref{IV} in a less telegraphic style than the original. As in the\nother SGA reissues, I have also added a nu",not_required_internal_or_structural,8
sga2.r6.candidate.000006,preexisting_Ref_command,parts/00_introduction.tex,48,10,\Ref{XIV},,FRONT_MATTER,XIV,front,,sga2.e14.front.structural.xiv,sga2.e14.front.structural.xiv,XIV,linked_internal_edge,preexisting_latex_reference_command,preexisting,BE1243FF6B5C0064B2943152274EFD715576DF46B27FE9373604F94D3438290F,"s written. Finally, the\nseminar has been enlarged by a new Expos\'e, \sisi{namely}{namely}\nExpos\'e~\Ref{XIV}, written by Mme\sisi{.}{}\n\sisi{MICH\`ELE RAYNAUD}{Mich\`ele Raynaud} in 1967, which takes up and\nc",not_required_internal_or_structural,9
sga2.r6.candidate.000007,preexisting_Ref_command,parts/00_introduction.tex,51,10,\Ref{XIII},,FRONT_MATTER,XIII,front,,sga2.e13.front.structural.xiii,sga2.e13.front.structural.xiii,XIII,linked_internal_edge,preexisting_latex_reference_command,preexisting,1CB23D684E57B824368C815F900198452C201D1E115BD75220EBC19C8A3866CD,"aynaud} in 1967, which takes up and\ncompletes suggestions contained in the \og Comments on\nExpos\'e~\Ref{XIII}\fg (\Ref{XIII}~\Ref{XIII.6}), written in March 1963.\nThis Expos\'e treats Lefschetz-type theorems f",not_required_internal_or_structural,10
sga2.r6.candidate.000008,preexisting_Ref_command,parts/00_introduction.tex,51,25,\Ref{XIII},,FRONT_MATTER,XIII,front,,sga2.e13.front.structural.xiii,sga2.e13.front.structural.xiii,XIII,linked_internal_edge,preexisting_latex_reference_command,preexisting,1CB23D684E57B824368C815F900198452C201D1E115BD75220EBC19C8A3866CD,", which takes up and\ncompletes suggestions contained in the \og Comments on\nExpos\'e~\Ref{XIII}\fg (\Ref{XIII}~\Ref{XIII.6}), written in March 1963.\nThis Expos\'e treats Lefschetz-type theorems from the viewpoi",not_required_internal_or_structural,11
sga2.r6.candidate.000009,preexisting_Ref_command,parts/00_introduction.tex,51,36,\Ref{XIII.6},6,FRONT_MATTER,XIII,front,,sga2.e13.6.structural.6,sga2.e13.6.structural.6,XIII.6,linked_internal_edge,preexisting_latex_reference_command,preexisting,2969CEF99127E168646F8ADD7C6D12CBEB91C43FE4F4D0EEA026605780AC482E,"es up and\ncompletes suggestions contained in the \og Comments on\nExpos\'e~\Ref{XIII}\fg (\Ref{XIII}~\Ref{XIII.6}), written in March 1963.\nThis Expos\'e treats Lefschetz-type theorems from the viewpoint of \'etale",not_required_internal_or_structural,12
sga2.r6.candidate.000010,preexisting_Ref_command,parts/00_introduction.tex,61,10,\Ref{I},,FRONT_MATTER,I,front,,sga2.e01.front.structural.i,sga2.e01.front.structural.i,I,linked_internal_edge,preexisting_latex_reference_command,preexisting,D7B94ACE6D331498B32F4E3E790B86DB20FB17351CA2D932C75EB08ECAF8D519,"apters~I through~III\nof the EGA. Here is an outline of the contents of the present volume.\nExpos\'e~\Ref{I} contains the sorites of \og cohomology with support in\n$Y$\fg, $H_Y^*(X,F)$, where $Y$ is a closed ",not_required_internal_or_structural,13
