latex_label,stable_id,compiled_pdf_anchor,pdf_page,status
I.0,sga2.front.front.structural.i-0,chapter*.3,1,compiled_resolved_r6
noteconrad,sga2.front.front.structural.noteconrad,Hfootnote.12,2,compiled_resolved_r6
I,sga2.e01.front.structural.i,chapter*.16,4,compiled_resolved_r6
I.1,sga2.e01.1.section.1,section*.18,4,compiled_resolved_r6
eq:I.1,sga2.e01.1.equation.1,AMS.20,4,compiled_resolved_r6
eq:I.2,sga2.e01.1.equation.2,AMS.23,4,compiled_resolved_r6
eq:I.3,sga2.e01.1.equation.3,AMS.25,4,compiled_resolved_r6
eq:I.4,sga2.e01.1.equation.4,AMS.27,4,compiled_resolved_r6
eq:I.5,sga2.e01.1.equation.5,AMS.29,4,compiled_resolved_r6
I.1.1,sga2.e01.1.proposition.1-1,section*.30,5,compiled_resolved_r6
eq:I.6,sga2.e01.1.equation.6,AMS.32,5,compiled_resolved_r6
eq:I.7,sga2.e01.1.equation.7,AMS.34,5,compiled_resolved_r6
eq:I.8,sga2.e01.1.equation.8,AMS.36,5,compiled_resolved_r6
eq:I.8',sga2.e01.1.equation.8.occ2,AMS.38,5,compiled_resolved_r6
eq:I.8'',sga2.e01.1.equation.8.occ3,AMS.41,5,compiled_resolved_r6
eq:I.6bis,sga2.e01.1.equation.6-bis,AMS.43,5,compiled_resolved_r6
I.1.2,sga2.e01.1.proposition.1-2,section*.44,6,compiled_resolved_r6
eq:I.9,sga2.e01.1.equation.9,AMS.46,6,compiled_resolved_r6
I.1.3,sga2.e01.1.proposition.1-3,section*.47,6,compiled_resolved_r6
eq:I.10,sga2.e01.1.equation.10,AMS.49,6,compiled_resolved_r6
I.1.4,sga2.e01.1.corollary.1-4,section*.50,6,compiled_resolved_r6
I.1.5,sga2.e01.1.corollary.1-5,section*.51,6,compiled_resolved_r6
eq:I.11,sga2.e01.1.equation.11,AMS.53,6,compiled_resolved_r6
I.1.6,sga2.e01.1.corollary.1-6,section*.54,6,compiled_resolved_r6
eq:I.12,sga2.e01.1.equation.12,AMS.56,6,compiled_resolved_r6
I.1.7,sga2.e01.1.remark.1-7,section*.57,7,compiled_resolved_r6
eq:I.13,sga2.e01.1.equation.13,AMS.59,7,compiled_resolved_r6
eq:I.14,sga2.e01.1.equation.14,AMS.61,7,compiled_resolved_r6
eq:I.15,sga2.e01.1.equation.15,AMS.63,7,compiled_resolved_r6
eq:I.15',sga2.e01.1.equation.15.occ2,AMS.65,7,compiled_resolved_r6
I.1.8,sga2.e01.1.proposition.1-8,section*.66,7,compiled_resolved_r6
eq:I.16,sga2.e01.1.equation.16,AMS.68,7,compiled_resolved_r6
I.1.9,sga2.e01.1.corollary.1-9,section*.69,7,compiled_resolved_r6
eq:I.16bis,sga2.e01.1.equation.16-bis,AMS.71,7,compiled_resolved_r6
eq:I.17,sga2.e01.1.equation.17,AMS.73,8,compiled_resolved_r6
I.1.10,sga2.e01.1.proposition.1-10,section*.74,8,compiled_resolved_r6
eq:I.18,sga2.e01.1.equation.18,AMS.76,8,compiled_resolved_r6
I.2,sga2.e01.2.section.2,section*.78,8,compiled_resolved_r6
I.2.1,sga2.e01.2.definition.2-1,section*.79,8,compiled_resolved_r6
I.2.2,sga2.e01.2.proposition.2-2,section*.80,8,compiled_resolved_r6
eq:I.19,sga2.e01.2.equation.19,AMS.82,8,compiled_resolved_r6
I.2.3bof,sga2.e01.2.corollary.2-3,section*.83,8,compiled_resolved_r6
eq:I.20,sga2.e01.2.equation.20,AMS.85,8,compiled_resolved_r6
I.2.3bis,sga2.e01.2.proposition.2-3-bis,section*.86,8,compiled_resolved_r6
eq:I.21,sga2.e01.2.equation.21,AMS.89,8,compiled_resolved_r6
eq:I.21bis,sga2.e01.2.equation.21-bis,AMS.90,8,compiled_resolved_r6
I.2.4,sga2.e01.2.corollary.2-4,section*.91,9,compiled_resolved_r6
I.2.5,sga2.e01.2.corollary.2-5,section*.92,9,compiled_resolved_r6
eq:I.22,sga2.e01.2.equation.22,AMS.94,9,compiled_resolved_r6
I.2.6,sga2.e01.2.theorem.2-6,section*.95,9,compiled_resolved_r6
eq:I.23,sga2.e01.2.equation.23,AMS.97,9,compiled_resolved_r6
I.2.7,sga2.e01.2.remark.2-7,section*.98,9,compiled_resolved_r6
eq:I.23bis,sga2.e01.2.equation.23-bis,AMS.100,9,compiled_resolved_r6
I.2.8,sga2.e01.2.theorem.2-8,section*.101,9,compiled_resolved_r6
eq:I.24,sga2.e01.2.equation.24,AMS.103,9,compiled_resolved_r6
eq:I.25,sga2.e01.2.equation.25,AMS.106,9,compiled_resolved_r6
eq:I.26,sga2.e01.2.equation.26,AMS.108,10,compiled_resolved_r6
I.2.9,sga2.e01.2.corollary.2-9,section*.109,10,compiled_resolved_r6
eq:I.27,sga2.e01.2.equation.27,AMS.111,10,compiled_resolved_r6
I.2.10,sga2.e01.2.corollary.2-10,section*.112,10,compiled_resolved_r6
eq:I.24bis,sga2.e01.2.equation.24-bis,AMS.114,10,compiled_resolved_r6
I.2.11,sga2.e01.2.corollary.2-11,section*.115,10,compiled_resolved_r6
eq:I.28,sga2.e01.2.equation.28,AMS.117,10,compiled_resolved_r6
eq:I.29,sga2.e01.2.equation.29,AMS.119,10,compiled_resolved_r6
I.2.12,sga2.e01.2.corollary.2-12,section*.120,10,compiled_resolved_r6
I.2.13,sga2.e01.2.proposition.2-13,section*.121,11,compiled_resolved_r6
I.2.14,sga2.e01.2.corollary.2-14,section*.126,11,compiled_resolved_r6
eq:I.30,sga2.e01.2.equation.30,AMS.128,11,compiled_resolved_r6
eq:I.31,sga2.e01.2.equation.31,AMS.130,12,compiled_resolved_r6
hgysin,sga2.e01.13.structural.13,section*.131,12,compiled_resolved_r6
eq:I.32,sga2.e01.13.equation.32,AMS.133,12,compiled_resolved_r6
II,sga2.e02.front.structural.ii,chapter*.135,14,compiled_resolved_r6
II.1,sga2.e02.front.proposition.1,section*.136,14,compiled_resolved_r6
II.2,sga2.e02.front.corollary.2,section*.137,14,compiled_resolved_r6
II.3,sga2.e02.front.corollary.3,section*.138,14,compiled_resolved_r6
II.4,sga2.e02.front.corollary.4,section*.139,14,compiled_resolved_r6
eq:II.4.1,sga2.e02.front.equation.4-1,AMS.141,14,compiled_resolved_r6
eq:II.4.2,sga2.e02.front.equation.4-2,AMS.143,14,compiled_resolved_r6
eq:II.4.3,sga2.e02.front.equation.4-3,AMS.145,14,compiled_resolved_r6
II.5,sga2.e02.front.proposition.5,section*.148,15,compiled_resolved_r6
eq:II.5.1,sga2.e02.front.equation.5-1,AMS.150,15,compiled_resolved_r6
eq:II.5.*,sga2.e02.front.equation.unnumbered,AMS.153,15,compiled_resolved_r6
eq:II.5.**,sga2.e02.front.equation.unnumbered.occ2,AMS.154,15,compiled_resolved_r6
II.6,sga2.e02.front.theorem.6,section*.155,16,compiled_resolved_r6
II.7,sga2.e02.front.lemma.7,section*.156,16,compiled_resolved_r6
eq:II.7.1,sga2.e02.front.equation.7-1,AMS.158,16,compiled_resolved_r6
eq:II.7.2n,sga2.e02.front.equation.7-2-n,AMS.160,16,compiled_resolved_r6
eq:II.7.3,sga2.e02.front.equation.7-3,AMS.163,16,compiled_resolved_r6
eq:II.7.4,sga2.e02.front.equation.7-4,AMS.165,17,compiled_resolved_r6
eq:II.7.5,sga2.e02.front.equation.7-5,AMS.167,17,compiled_resolved_r6
