candidate_id,source_file,source_line,source_column_1based,visible_reference_tex,final_class,resolution_basis,audit_status,auditor,audit_date,context
sga2.r6.candidate.000022,parts/00_introduction.tex,97,1,(1996),external_work_citation,bibliographic_year,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"ality theorem via Bousfield's techniques\nand Brown representability\fg, \emph{J.~Amer. Math. Soc.} \textbf{9}\n(1996), \numero 1, p\ptbl~205--236).}\n\nExpos\'es~\Ref{VI} and~\Ref{VII} give elementary technical notions used in\nEx"
sga2.r6.candidate.000029,parts/00_introduction.tex,109,52,4,external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23," an \og existence theorem\fg in formal geometry, following\nand generalizing the use made in (\EGA III~\oldS\S 4 and~5) of the\nfiniteness theorem for a proper morphism.\n\nThese last results are applied in~\Ref{X} and~\Ref{X"
sga2.r6.candidate.000030,parts/00_introduction.tex,109,58,5,external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"g existence theorem\fg in formal geometry, following\nand generalizing the use made in (\EGA III~\oldS\S 4 and~5) of the\nfiniteness theorem for a proper morphism.\n\nThese last results are applied in~\Ref{X} and~\Ref{XI}, de"
sga2.r6.candidate.000158,parts/01_expose_I.tex,784,37,(1957),external_work_citation,bibliography_entry_or_bibliographic_note,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"Tohoku}\nA.~Grothendieck, ``Sur quelques points d'alg\`ebre homologique,''\n\emph{T\^ohoku Math. J.} \textbf{9} (1957), 119--221.\n\end{thebibliography}\n"
sga2.r6.candidate.000161,parts/02_expose_II.tex,35,8,"III, 1.4.17",external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"tarrow \uH_Z^i(F)\n  \longrightarrow \uH_U^i(F)\n  \longrightarrow \uH_V^{i+1}(F)\n  \longrightarrow .\n\]\nBy EGA~III, 1.4.17, for the sheaves $\uH_Z^i(F)$ to be quasi-coherent it\ntherefore suffices that the sheaves $\uH_U^i(F)$ and $\"
sga2.r6.candidate.000163,parts/02_expose_II.tex,44,27,"I, 5.5.1)",external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"(22), gives a canonical isomorphism\n\[\n  \uH_Z^i(F)\simeq \mathrm R^i j_*(F|_Z).\n\]\nBut $j$ is separated (EGA~I, 5.5.1) and quasi-compact; hence, by EGA~III,\n1.4.10, the sheaves\n$\mathrm R^i j_*(F|_Z)=\uH_Z^i(F)$ are quasi-cohere"
sga2.r6.candidate.000164,parts/02_expose_II.tex,44,70,"III,\n1.4.10",external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"H_Z^i(F)\simeq \mathrm R^i j_*(F|_Z).\n\]\nBut $j$ is separated (EGA~I, 5.5.1) and quasi-compact; hence, by EGA~III,\n1.4.10, the sheaves\n$\mathrm R^i j_*(F|_Z)=\uH_Z^i(F)$ are quasi-coherent. This completes the\nproof.\n\n\begin{sgastat"
sga2.r6.candidate.000168,parts/02_expose_II.tex,61,68,"I, 6.6.4",external_work_citation,bracketed_external_citation_span,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,")$ are\nquasi-coherent.\n\end{sgastatement}\n\nThis follows immediately from \hyperref[II.2]{Corollary~2} and EGA~I, 6.6.4.\n\n\begin{sgastatement}{Corollary 4}\sgareaderlabel{II.4}{4}\nSuppose\srcpage{20} that $X$ is the spectrum of a"
sga2.r6.candidate.000173,parts/02_expose_II.tex,96,49,"I, 1.1.3.7",external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"generates, and\n\[\n  \mathrm H_Y^i(X,F)=\Gamma(\uH_Y^i(F)).\n\]\nEquation~\eqref{eq:II.4.1} now follows from EGA~I, 1.1.3.7; equations\n\eqref{eq:II.4.2} and \eqref{eq:II.4.3} follow from the cohomology exact\nsequence of Expos\'e~I, e"
sga2.r6.candidate.000180,parts/02_expose_II.tex,111,5,"III, 1",external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"ted by finitely many elements\n$f_\alpha$ and defining $Y$; write $\ffam=(f_\alpha)$. With the notation of\nEGA~III, 1,\footnote{Recall that $\mathrm H^\bullet(\ffam,M)$ is the Koszul\ncohomology $\mathrm H^\bullet(\operatorname{"
sga2.r6.candidate.000181,parts/02_expose_II.tex,113,33,"III, 1.1.2)",external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"zul\ncohomology $\mathrm H^\bullet(\operatorname{Hom}(K_\bullet(\ffam),M))$ of\n$\ffam$ with values in $M$ (EGA~III, 1.1.2), and that\n$\mathrm H^\bullet((\ffam),M)$ is the direct limit (ibid., 1.1.6.5)\n$\varinjlim_n\mathrm H^\bullet("
sga2.r6.candidate.000182,parts/02_expose_II.tex,114,60,1.1.6.5,external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"fam$ with values in $M$ (EGA~III, 1.1.2), and that\n$\mathrm H^\bullet((\ffam),M)$ is the direct limit (ibid., 1.1.6.5)\n$\varinjlim_n\mathrm H^\bullet(\ffam^n,M)$, whose transition morphisms are\ninduced by the natural morphisms\n"
sga2.r6.candidate.000183,parts/02_expose_II.tex,117,56,1.1.6,external_work_citation,audited_ibid_external_godement_locator,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"nsition morphisms are\ninduced by the natural morphisms\n$K_\bullet(\ffam^{n+1})\to K_\bullet(\ffam^n)$ (ibid., 1.1.6).} we have the\nfollowing result.\n\n\begin{sgastatement}{Proposition 5}\sgareaderlabel{II.5}{5}\nSuppose that $X"
sga2.r6.candidate.000186,parts/02_expose_II.tex,137,27,"III, 1.4.3.2",external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"d by an ideal $J$ of $A$.\n\nFor $i=0$\srcpage{21} and $i=1$, use the exact sequences\n\eqref{eq:II.4.2} and EGA~III, 1.4.3.2; for $i\geq2$, use\n\eqref{eq:II.4.3} and EGA~III, 1.4.3.1. This gives isomorphisms functorial in\n$M$. One ver"
sga2.r6.candidate.000188,parts/02_expose_II.tex,138,27,"III, 1.4.3.1",external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,", use the exact sequences\n\eqref{eq:II.4.2} and EGA~III, 1.4.3.2; for $i\geq2$, use\n\eqref{eq:II.4.3} and EGA~III, 1.4.3.1. This gives isomorphisms functorial in\n$M$. One verifies that, up to a sign depending only on $i$, they are\nc"
sga2.r6.candidate.000190,parts/02_expose_II.tex,144,19,"III, 1.4.3.2",external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"f{eq:II.5.1} exists.\n\n\noindent\textit{Editorial note.} For the case $i\geq2$, the original\nedition cited EGA~III, 1.4.3.2; the corrected branch cites 1.4.3.1.\n\nNow let $X$ be a prescheme, let $Y$ be a closed subset of $X$, and let\n"
sga2.r6.candidate.000191,parts/02_expose_II.tex,144,60,1.4.3.1,external_work_citation,audited_coordinated_external_ega_iii_locator,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"itorial note.} For the case $i\geq2$, the original\nedition cited EGA~III, 1.4.3.2; the corrected branch cites 1.4.3.1.\n\nNow let $X$ be a prescheme, let $Y$ be a closed subset of $X$, and let\n$f\colon Y\to X$ be the inclusion. L"
sga2.r6.candidate.000202,parts/02_expose_II.tex,244,11,4.12.1,external_work_citation,named_external_work_or_author_context,audited_positive_disposition_codex_2026-07-23,Codex exhaustive contextual review,2026-07-23,"t of~\eqref{eq:II.7.2n} to\n\eqref{eq:II.7.1}. If the underlying space of $X$ is noetherian, then by\nGodement, 4.12.1,\footnote{Cf. the first bibliographic reference at the end\nof Expos\'e~I.}\n\[\n  \varinjlim_n\n    \mathrm H^p\"
