residual_id,source_file,source_line,source_column_1based,visible_locator_tex,normalized_locator,final_class,candidate_id,resolved_target_id,destination_label,manual_audit_status,reason,context
sga2.r6.residual.000001,parts/00_introduction.tex,97,1,(1996),1996,external_work_citation,sga2.r6.candidate.000022,,,audited_positive_disposition_codex_2026-07-23,bibliographic_year,"ality theorem via Bousfield's techniques\nand Brown representability\fg, \emph{J.~Amer. Math. Soc.} \textbf{9}\n(1996), \numero 1, p\ptbl~205--236).}\n\nExpos\'es~\Ref{VI} and~\Ref{VII} give elementary technical notions used in\nEx"
sga2.r6.residual.000002,parts/00_introduction.tex,109,52,4,4,external_work_citation,sga2.r6.candidate.000029,,,audited_positive_disposition_codex_2026-07-23,named_external_work_or_author_context," an \og existence theorem\fg in formal geometry, following\nand generalizing the use made in (\EGA III~\oldS\S 4 and~5) of the\nfiniteness theorem for a proper morphism.\n\nThese last results are applied in~\Ref{X} and~\Ref{X"
sga2.r6.residual.000003,parts/00_introduction.tex,109,58,5,5,external_work_citation,sga2.r6.candidate.000030,,,audited_positive_disposition_codex_2026-07-23,named_external_work_or_author_context,"g existence theorem\fg in formal geometry, following\nand generalizing the use made in (\EGA III~\oldS\S 4 and~5) of the\nfiniteness theorem for a proper morphism.\n\nThese last results are applied in~\Ref{X} and~\Ref{XI}, de"
sga2.r6.residual.000004,parts/00_introduction.tex,15,23,\Ref{I},,linked_internal_edge,sga2.r6.candidate.000001,sga2.e01.front.structural.i,I,not_required_internal_or_structural,preexisting_latex_reference_command,"E G\'{E}OM\'ETRIE\nALG\'EBRIQUE}{\'El\'ements de G\'eom\'etrie Alg\'ebrique}.\n\nThe text of Expos\'es~\Ref{I} through~\Ref{XI} was written up as the\nseminar proceeded, from my oral lectures and handwritten not"
sga2.r6.residual.000005,parts/00_introduction.tex,15,39,\Ref{XI},,linked_internal_edge,sga2.r6.candidate.000002,sga2.e11.front.structural.xi,XI,not_required_internal_or_structural,preexisting_latex_reference_command,"E\nALG\'EBRIQUE}{\'El\'ements de G\'eom\'etrie Alg\'ebrique}.\n\nThe text of Expos\'es~\Ref{I} through~\Ref{XI} was written up as the\nseminar proceeded, from my oral lectures and handwritten notes, by a group\nof"
sga2.r6.residual.000006,parts/00_introduction.tex,35,29,\Ref{III},,linked_internal_edge,sga2.r6.candidate.000003,sga2.e03.front.structural.iii,III,not_required_internal_or_structural,preexisting_latex_reference_command,\emph{bis} added when ambiguous duplicates occurred here and there.} of\nthe statements in Expos\'es~\Ref{III} through~\Ref{VIII}\pageoriginale\n(and consequently the references to those Expos\'es)\sfootnote{It 
sga2.r6.residual.000007,parts/00_introduction.tex,35,47,\Ref{VIII},,linked_internal_edge,sga2.r6.candidate.000004,sga2.e08.front.structural.viii,VIII,not_required_internal_or_structural,preexisting_latex_reference_command,hen ambiguous duplicates occurred here and there.} of\nthe statements in Expos\'es~\Ref{III} through~\Ref{VIII}\pageoriginale\n(and consequently the references to those Expos\'es)\sfootnote{It goes\nwithout saying
sga2.r6.residual.000008,parts/00_introduction.tex,43,10,\Ref{IV},,linked_internal_edge,sga2.r6.candidate.000005,sga2.e04.front.section.iv,IV,not_required_internal_or_structural,preexisting_latex_reference_command,"rous and troublesome.\nMoreover, Mme M\ptbl~\sisi{HAKIM}{Hakim} kindly undertook to rewrite\nExpos\'e~\Ref{IV} in a less telegraphic style than the original. As in the\nother SGA reissues, I have also added a nu"
sga2.r6.residual.000009,parts/00_introduction.tex,48,10,\Ref{XIV},,linked_internal_edge,sga2.r6.candidate.000006,sga2.e14.front.structural.xiv,XIV,not_required_internal_or_structural,preexisting_latex_reference_command,"s written. Finally, the\nseminar has been enlarged by a new Expos\'e, \sisi{namely}{namely}\nExpos\'e~\Ref{XIV}, written by Mme\sisi{.}{}\n\sisi{MICH\`ELE RAYNAUD}{Mich\`ele Raynaud} in 1967, which takes up and\nc"
sga2.r6.residual.000010,parts/00_introduction.tex,51,10,\Ref{XIII},,linked_internal_edge,sga2.r6.candidate.000007,sga2.e13.front.structural.xiii,XIII,not_required_internal_or_structural,preexisting_latex_reference_command,"aynaud} in 1967, which takes up and\ncompletes suggestions contained in the \og Comments on\nExpos\'e~\Ref{XIII}\fg (\Ref{XIII}~\Ref{XIII.6}), written in March 1963.\nThis Expos\'e treats Lefschetz-type theorems f"
