repair_id,file,record_id,column,trigger_class,repair_method,semantic_effect,status
sga2.r7.formula.001,REFERENCE_CANDIDATES.csv,sga2.r6.candidate.000185,context,equals_sign,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.002,REFERENCE_CANDIDATES.csv,sga2.r6.candidate.000272,context,nonnumeric_hyphen,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.003,REFERENCE_CANDIDATES.csv,sga2.r6.candidate.000540,context,nonnumeric_hyphen,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.004,REFERENCE_CANDIDATES.csv,sga2.r6.candidate.000627,context,equals_sign,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.005,REFERENCE_CANDIDATES.csv,sga2.r6.candidate.000773,context,equals_sign,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.006,REFERENCE_CANDIDATES.csv,sga2.r6.candidate.001414,context,nonnumeric_hyphen,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.007,REFERENCE_CANDIDATES.csv,sga2.r6.candidate.001429,context,equals_sign,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.008,LOCATOR_RESIDUAL_AUDIT.csv,sga2.r6.residual.000265,context,equals_sign,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.009,LOCATOR_RESIDUAL_AUDIT.csv,sga2.r6.residual.000320,context,nonnumeric_hyphen,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.010,LOCATOR_RESIDUAL_AUDIT.csv,sga2.r6.residual.000644,context,nonnumeric_hyphen,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.011,LOCATOR_RESIDUAL_AUDIT.csv,sga2.r6.residual.000774,context,equals_sign,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.012,LOCATOR_RESIDUAL_AUDIT.csv,sga2.r6.residual.000977,context,equals_sign,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.013,LOCATOR_RESIDUAL_AUDIT.csv,sga2.r6.residual.001584,context,nonnumeric_hyphen,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
sga2.r7.formula.014,LOCATOR_RESIDUAL_AUDIT.csv,sga2.r6.residual.001596,context,equals_sign,leading_apostrophe_spreadsheet_text_escape,none_semantic_context_preserved,closed
