fragment_id,source_pdf_page,compiled_anchor,rectangle,status
sga2.r6.link-fragment.000001,11,AMS.36,200.463 72.251 214.23 85.203,compiled_new_link_annotation
sga2.r6.link-fragment.000002,12,section*.47,121.599 672.693 192.501 684.321,compiled_new_link_annotation
sga2.r6.link-fragment.000003,12,section*.54,195.963 672.693 211.895 684.321,compiled_new_link_annotation
sga2.r6.link-fragment.000004,13,AMS.61,277.627 237.037 344.897 251.206,compiled_new_link_annotation
sga2.r6.link-fragment.000005,14,AMS.76,100.449 273.423 166.381 286.325,compiled_new_link_annotation
sga2.r6.link-fragment.000006,14,AMS.76,168.328 152.948 189.715 166.763,compiled_new_link_annotation
sga2.r6.link-fragment.000007,14,AMS.76,246.957 300.521 267.956 313.423,compiled_new_link_annotation
sga2.r6.link-fragment.000008,14,AMS.97,283.842 359.461 305.229 372.362,compiled_new_link_annotation
sga2.r6.link-fragment.000009,14,section*.83,292.2 751.278 308.062 762.907,compiled_new_link_annotation
sga2.r6.link-fragment.000010,14,section*.86,138.691 737.729 171.653 749.357,compiled_new_link_annotation
sga2.r6.link-fragment.000011,15,AMS.103,75.539 737.123 120.849 750.024,compiled_new_link_annotation
sga2.r6.link-fragment.000012,15,AMS.103,490.666 750.672 519.736 763.574,compiled_new_link_annotation
sga2.r6.link-fragment.000013,15,AMS.106,461.684 750.672 483.458 763.574,compiled_new_link_annotation
sga2.r6.link-fragment.000014,15,AMS.117,240.066 216.254 261.841 230.47,compiled_new_link_annotation
sga2.r6.link-fragment.000015,15,AMS.76,237.724 737.123 259.498 750.024,compiled_new_link_annotation
sga2.r6.link-fragment.000016,16,AMS.100,286.297 310.642 369.26 323.543,compiled_new_link_annotation
sga2.r6.link-fragment.000017,16,AMS.111,315.509 682.926 381.441 695.828,compiled_new_link_annotation
sga2.r6.link-fragment.000018,16,section*.101,237.11 669.983 253.042 681.611,compiled_new_link_annotation
sga2.r6.link-fragment.000019,16,section*.95,147.929 669.983 214.254 681.611,compiled_new_link_annotation
sga2.r6.link-fragment.000020,19,AMS.103,157.991 473.073 223.923 485.974,compiled_new_link_annotation
sga2.r6.link-fragment.000021,19,AMS.94,221.582 388.692 287.514 401.593,compiled_new_link_annotation
sga2.r6.link-fragment.000022,20,AMS.111,270.338 677.187 336.38 691.135,compiled_new_link_annotation
sga2.r6.link-fragment.000023,20,AMS.97,401.495 737.123 469.234 751.472,compiled_new_link_annotation
sga2.r6.link-fragment.000024,22,AMS.150,137.073 422.319 161.939 435.22,compiled_new_link_annotation
sga2.r6.link-fragment.000025,22,AMS.150,199.245 395.22 223.64 408.122,compiled_new_link_annotation
sga2.r6.link-fragment.000026,22,AMS.150,355.068 422.319 379.934 435.22,compiled_new_link_annotation
sga2.r6.link-fragment.000027,22,AMS.163,88.426 422.319 113.292 435.22,compiled_new_link_annotation
sga2.r6.link-fragment.000028,22,AMS.163,306.421 422.319 331.287 435.22,compiled_new_link_annotation
sga2.r6.link-fragment.000029,22,AMS.163,382.308 737.123 407.151 750.024,compiled_new_link_annotation
sga2.r6.link-fragment.000030,27,section*.207,109.721 445.941 182.856 458.843,compiled_new_link_annotation
sga2.r6.link-fragment.000031,27,section*.207,175.933 418.843 191.866 431.744,compiled_new_link_annotation
sga2.r6.link-fragment.000032,27,section*.207,200.782 418.843 216.714 431.744,compiled_new_link_annotation
sga2.r6.link-fragment.000033,27,section*.207,206.139 432.392 221.987 445.293,compiled_new_link_annotation
sga2.r6.link-fragment.000034,27,section*.207,207.425 445.941 223.636 458.843,compiled_new_link_annotation
sga2.r6.link-fragment.000035,27,section*.207,230.904 432.392 246.753 445.293,compiled_new_link_annotation
sga2.r6.link-fragment.000036,27,section*.207,237.019 518.993 252.951 534.535,compiled_new_link_annotation
sga2.r6.link-fragment.000037,27,section*.207,290.884 490.269 306.816 505.81,compiled_new_link_annotation
sga2.r6.link-fragment.000038,27,section*.207,290.884 518.993 306.816 534.535,compiled_new_link_annotation
sga2.r6.link-fragment.000039,27,section*.207,342.325 518.993 358.257 534.535,compiled_new_link_annotation
sga2.r6.link-fragment.000040,27,section*.207,390.263 445.941 406.474 458.843,compiled_new_link_annotation
sga2.r6.link-fragment.000041,27,section*.207,415.391 445.941 431.602 458.843,compiled_new_link_annotation
sga2.r6.link-fragment.000042,29,section*.121,444.323 381.944 474.492 394.846,compiled_new_link_annotation
sga2.r6.link-fragment.000043,29,section*.155,366.793 102.389 399.997 115.29,compiled_new_link_annotation
sga2.r6.link-fragment.000044,42,section*.272,338.491 467.632 418.405 480.533,compiled_new_link_annotation
sga2.r6.link-fragment.000045,42,section*.278,441.495 467.632 473.433 480.533,compiled_new_link_annotation
sga2.r6.link-fragment.000046,47,AMS.337,238.478 384.284 263.889 397.185,compiled_new_link_annotation
sga2.r6.link-fragment.000047,47,AMS.340,183.096 320.039 199.586 333.854,compiled_new_link_annotation
sga2.r6.link-fragment.000048,47,AMS.340,503.371 150.148 520.049 163.049,compiled_new_link_annotation
sga2.r6.link-fragment.000049,47,AMS.342,96.751 136.598 113.241 149.5,compiled_new_link_annotation
sga2.r6.link-fragment.000050,47,AMS.342,143.751 320.039 160.24 333.854,compiled_new_link_annotation
sga2.r6.link-fragment.000051,47,AMS.346,85.633 84.256 99.613 95.62,compiled_new_link_annotation
sga2.r6.link-fragment.000052,47,AMS.352,179.024 150.148 204.739 163.049,compiled_new_link_annotation
sga2.r6.link-fragment.000053,48,AMS.337,120.112 274.723 145.522 287.625,compiled_new_link_annotation
sga2.r6.link-fragment.000054,48,AMS.352,168.378 274.723 193.789 287.625,compiled_new_link_annotation
