stable_id,latex_label,pdf_destination,target_kind,work,expose,structural_context,visible_locator,normalized_locator,source_file,source_line,source_column_1based,pdf_page,status,origin,compiled_pdf_anchor
sga2.front.front.structural.i-0,I.0,I.0,structural,SGA2,FRONT_MATTER,front,,,parts/00_introduction.tex,1,1,1,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,chapter*.3
sga2.front.front.structural.noteconrad,noteconrad,noteconrad,structural,SGA2,FRONT_MATTER,front,,,parts/00_introduction.tex,81,1,2,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,Hfootnote.12
sga2.e01.front.structural.i,I,I,structural,SGA2,I,front,,,parts/01_expose_I.tex,17,23,4,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,chapter*.16
sga2.e01.1.section.1,I.1,I.1,section,SGA2,I,1,1,1,parts/01_expose_I.tex,20,1,4,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,section*.18
sga2.e01.1.equation.1,eq:I.1,eq:I.1,equation,SGA2,I,1,1,1,parts/01_expose_I.tex,30,1,4,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.20
sga2.e01.1.equation.2,eq:I.2,eq:I.2,equation,SGA2,I,1,2,2,parts/01_expose_I.tex,44,1,4,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.23
sga2.e01.1.equation.3,eq:I.3,eq:I.3,equation,SGA2,I,1,3,3,parts/01_expose_I.tex,52,1,4,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.25
sga2.e01.1.equation.4,eq:I.4,eq:I.4,equation,SGA2,I,1,4,4,parts/01_expose_I.tex,62,1,4,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.27
sga2.e01.1.equation.5,eq:I.5,eq:I.5,equation,SGA2,I,1,5,5,parts/01_expose_I.tex,83,1,4,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.29
sga2.e01.1.proposition.1-1,I.1.1,I.1.1,proposition,SGA2,I,1,1.1,1.1,parts/01_expose_I.tex,95,1,5,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,section*.30
sga2.e01.1.equation.6,eq:I.6,eq:I.6,equation,SGA2,I,1,6,6,parts/01_expose_I.tex,113,1,5,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.32
sga2.e01.1.equation.7,eq:I.7,eq:I.7,equation,SGA2,I,1,7,7,parts/01_expose_I.tex,127,1,5,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.34
sga2.e01.1.equation.8,eq:I.8,eq:I.8,equation,SGA2,I,1,8,8,parts/01_expose_I.tex,133,1,5,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.36
sga2.e01.1.equation.8.occ2,eq:I.8',eq:I.8',equation,SGA2,I,1,$8'$,8',parts/01_expose_I.tex,142,1,5,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.38
sga2.e01.1.equation.8.occ3,eq:I.8'',eq:I.8'',equation,SGA2,I,1,$8''$,8'',parts/01_expose_I.tex,151,1,5,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.41
sga2.e01.1.equation.6-bis,eq:I.6bis,eq:I.6bis,equation,SGA2,I,1,6 bis,6 bis,parts/01_expose_I.tex,160,1,5,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.43
sga2.e01.1.proposition.1-2,I.1.2,I.1.2,proposition,SGA2,I,1,1.2,1.2,parts/01_expose_I.tex,179,1,6,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,section*.44
sga2.e01.1.equation.9,eq:I.9,eq:I.9,equation,SGA2,I,1,9,9,parts/01_expose_I.tex,203,1,6,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.46
sga2.e01.1.proposition.1-3,I.1.3,I.1.3,proposition,SGA2,I,1,1.3,1.3,parts/01_expose_I.tex,210,1,6,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,section*.47
sga2.e01.1.equation.10,eq:I.10,eq:I.10,equation,SGA2,I,1,10,10,parts/01_expose_I.tex,217,1,6,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.49
sga2.e01.1.corollary.1-4,I.1.4,I.1.4,corollary,SGA2,I,1,1.4,1.4,parts/01_expose_I.tex,234,1,6,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,section*.50
sga2.e01.1.corollary.1-5,I.1.5,I.1.5,corollary,SGA2,I,1,1.5,1.5,parts/01_expose_I.tex,242,1,6,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,section*.51
sga2.e01.1.equation.11,eq:I.11,eq:I.11,equation,SGA2,I,1,11,11,parts/01_expose_I.tex,246,1,6,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.53
sga2.e01.1.corollary.1-6,I.1.6,I.1.6,corollary,SGA2,I,1,1.6,1.6,parts/01_expose_I.tex,253,1,6,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,section*.54
sga2.e01.1.equation.12,eq:I.12,eq:I.12,equation,SGA2,I,1,12,12,parts/01_expose_I.tex,260,1,6,compiled_resolved_r6,preserved_r5_target_replayed_and_verified_r6,AMS.56
