paper,title,modern_english_title,segments,segment_pages,cleaned_original_language_pdf,page_count,status
1,Congruences sur le nombre de sous-groupes d’ordre p^k dans un groupe fini,Congruences for numbers of subgroups of order p^k in a finite group,Paper_01.pdf,3,cleaned_original_language_pdfs_001_029/01_Congruences_for_numbers_of_subgroups_of_order_p_k_in_a_finite_group.pdf,3,compiled_and_recombined
2,Cohomologie à support propre et construction du foncteur f!,Proper-support cohomology and construction of the functor f!,Paper_02.pdf,11,cleaned_original_language_pdfs_001_029/02_Proper_support_cohomology_and_construction_of_the_functor_f.pdf,11,compiled_and_recombined
3,Théorème de Lefschetz et critère de dégénérescence de suites spectrales,Lefschetz theorem and a degeneration criterion for spectral sequences,Paper_03.pdf,24,cleaned_original_language_pdfs_001_029/03_Lefschetz_theorem_and_a_degeneration_criterion_for_spectral_sequences.pdf,24,compiled_and_recombined
4,Variétés abéliennes ordinaires sur un corps fini,Ordinary abelian varieties over a finite field,Paper_04.pdf,5,cleaned_original_language_pdfs_001_029/04_Ordinary_abelian_varieties_over_a_finite_field.pdf,5,compiled_and_recombined
5,The irreducibility of the space of curves of a given genus,The irreducibility of the space of curves of a given genus,Paper_05.pdf,30,cleaned_original_language_pdfs_001_029/05_The_irreducibility_of_the_space_of_curves_of_a_given_genus.pdf,30,compiled_and_recombined
6,Formes modulaires et représentations l-adiques,Modular forms and l-adic representations,Paper_06.pdf,21,cleaned_original_language_pdfs_001_029/06_Modular_forms_and_l_adic_representations.pdf,21,compiled_and_recombined
7,Travaux de Griffiths,The work of Griffiths,Paper_07.pdf,16,cleaned_original_language_pdfs_001_029/07_The_work_of_Griffiths.pdf,16,compiled_and_recombined
8,Travaux de Shimura,The work of Shimura,Paper_08.pdf,26,cleaned_original_language_pdfs_001_029/08_The_work_of_Shimura.pdf,26,compiled_and_recombined
9,Théorie de Hodge I,Hodge theory I,Paper_09.pdf,8,cleaned_original_language_pdfs_001_029/09_Hodge_theory_I.pdf,8,compiled_and_recombined
10,Théorie de Hodge II,Hodge theory II,Paper_10_Part_1.pdf; Paper_10_Part_2.pdf,8; 4,cleaned_original_language_pdfs_001_029/10_Hodge_theory_II.pdf,12,compiled_and_recombined
11,Une congruence entre coefficients multinomiaux,A congruence between multinomial coefficients,Paper_11.pdf,4,cleaned_original_language_pdfs_001_029/11_A_congruence_between_multinomial_coefficients.pdf,4,compiled_and_recombined
12,La conjecture de Weil pour les surfaces K3,The Weil conjecture for K3 surfaces,Paper_12.pdf,19,cleaned_original_language_pdfs_001_029/12_The_Weil_conjecture_for_K3_surfaces.pdf,19,compiled_and_recombined
13,Les intersections complètes de niveau de Hodge,Complete intersections of Hodge level,Paper_13.pdf,12,cleaned_original_language_pdfs_001_029/13_Complete_intersections_of_Hodge_level.pdf,12,compiled_and_recombined
14,Les immeubles des groupes de tresses générales,Buildings of generalized braid groups,Paper_14.pdf,26,cleaned_original_language_pdfs_001_029/14_Buildings_of_generalized_braid_groups.pdf,26,compiled_and_recombined
15,Variétés unirationnelles non rationnelles,Unirational nonrational varieties,Paper_15.pdf,9,cleaned_original_language_pdfs_001_029/15_Unirational_nonrational_varieties.pdf,9,compiled_and_recombined
16,Les constantes des équations fonctionnelles des fonctions L,Constants of functional equations of L-functions,Paper_16_Part_1.pdf; Paper_16_Part_2.pdf,35; 21,cleaned_original_language_pdfs_001_029/16_Constants_of_functional_equations_of_L_functions.pdf,56,compiled_and_recombined
17,Formes modulaires et représentations de GL(2),Modular forms and representations of GL(2),Paper_17_Part_1.pdf; Paper_17_Part_2.pdf,11; 1,cleaned_original_language_pdfs_001_029/17_Modular_forms_and_representations_of_GL_2.pdf,12,compiled_and_recombined
