paper,title,modern_english_title,segments,file,page_count,status
1,Congruences sur le nombre de sous-groupes d’ordre p^k dans un groupe fini,Congruences for numbers of subgroups of order p^k in a finite group,Paper_01.pdf:3,pdf_papers_001_029/01_Congruences_for_numbers_of_subgroups_of_order_p_k_in_a_finite_group.pdf,3,ok
2,Cohomologie à support propre et construction du foncteur f!,Proper-support cohomology and construction of the functor f!,Paper_02.pdf:11,pdf_papers_001_029/02_Proper_support_cohomology_and_construction_of_the_functor_f.pdf,11,ok
3,Théorème de Lefschetz et critère de dégénérescence de suites spectrales,Lefschetz theorem and a degeneration criterion for spectral sequences,Paper_03.pdf:24,pdf_papers_001_029/03_Lefschetz_theorem_and_a_degeneration_criterion_for_spectral_sequences.pdf,24,ok
4,Variétés abéliennes ordinaires sur un corps fini,Ordinary abelian varieties over a finite field,Paper_04.pdf:5,pdf_papers_001_029/04_Ordinary_abelian_varieties_over_a_finite_field.pdf,5,ok
5,The irreducibility of the space of curves of a given genus,The irreducibility of the space of curves of a given genus,Paper_05.pdf:30,pdf_papers_001_029/05_The_irreducibility_of_the_space_of_curves_of_a_given_genus.pdf,30,ok
6,Formes modulaires et représentations l-adiques,Modular forms and l-adic representations,Paper_06.pdf:21,pdf_papers_001_029/06_Modular_forms_and_l_adic_representations.pdf,21,ok
7,Travaux de Griffiths,The work of Griffiths,Paper_07.pdf:16,pdf_papers_001_029/07_The_work_of_Griffiths.pdf,16,ok
8,Travaux de Shimura,The work of Shimura,Paper_08.pdf:26,pdf_papers_001_029/08_The_work_of_Shimura.pdf,26,ok
9,Théorie de Hodge I,Hodge theory I,Paper_09.pdf:8,pdf_papers_001_029/09_Hodge_theory_I.pdf,8,ok
10,Théorie de Hodge II,Hodge theory II,Paper_10_Part_1.pdf:8; Paper_10_Part_2.pdf:4,pdf_papers_001_029/10_Hodge_theory_II.pdf,12,ok
11,Une congruence entre coefficients multinomiaux,A congruence between multinomial coefficients,Paper_11.pdf:4,pdf_papers_001_029/11_A_congruence_between_multinomial_coefficients.pdf,4,ok
12,La conjecture de Weil pour les surfaces K3,The Weil conjecture for K3 surfaces,Paper_12.pdf:19,pdf_papers_001_029/12_The_Weil_conjecture_for_K3_surfaces.pdf,19,ok
13,Les intersections complètes de niveau de Hodge,Complete intersections of Hodge level,Paper_13.pdf:12,pdf_papers_001_029/13_Complete_intersections_of_Hodge_level.pdf,12,ok
14,Les immeubles des groupes de tresses générales,Buildings of generalized braid groups,Paper_14.pdf:26,pdf_papers_001_029/14_Buildings_of_generalized_braid_groups.pdf,26,ok
15,Variétés unirationnelles non rationnelles,Unirational nonrational varieties,Paper_15.pdf:9,pdf_papers_001_029/15_Unirational_nonrational_varieties.pdf,9,ok
16,Les constantes des équations fonctionnelles des fonctions L,Constants of functional equations of L-functions,Paper_16_Part_1.pdf:35; Paper_16_Part_2.pdf:21,pdf_papers_001_029/16_Constants_of_functional_equations_of_L_functions.pdf,56,ok
17,Formes modulaires et représentations de GL(2),Modular forms and representations of GL(2),Paper_17_Part_1.pdf:11; Paper_17_Part_2.pdf:1,pdf_papers_001_029/17_Modular_forms_and_representations_of_GL_2.pdf,12,ok
18,Les schémas de modules de courbes elliptiques,Moduli schemes of elliptic curves,Paper_18_Part_1.pdf:26; Paper_18_Part_2.pdf:31; Paper_18_Part_3.pdf:24; Paper_18_Part_4.pdf:15,pdf_papers_001_029/18_Moduli_schemes_of_elliptic_curves.pdf,96,ok
19,Théorie de Hodge III,Hodge theory III,Paper_19_Part_1.pdf:25; Paper_19_Part_2.pdf:22,pdf_papers_001_029/19_Hodge_theory_III.pdf,47,ok
20,La conjecture de Weil I,The Weil conjecture I,Paper_20.pdf:35,pdf_papers_001_029/20_The_Weil_conjecture_I.pdf,35,ok
21,Formes modulaires de poids 1,Modular forms of weight 1,Paper_21.pdf:14,pdf_papers_001_029/21_Modular_forms_of_weight_1.pdf,14,ok
22,Poids dans la cohomologie des variétés algébriques,Weights in the cohomology of algebraic varieties,Paper_22.pdf:6,pdf_papers_001_029/22_Weights_in_the_cohomology_of_algebraic_varieties.pdf,6,ok
23,Real homotopy theory of Kähler manifolds,Real homotopy theory of Kaehler manifolds,Paper_23.pdf:33,pdf_papers_001_029/23_Real_homotopy_theory_of_Kaehler_manifolds.pdf,33,ok
24,Fibrés vectoriels complexes à groupe structural discret,Complex vector bundles with discrete structure group,Paper_24.pdf:3,pdf_papers_001_029/24_Complex_vector_bundles_with_discrete_structure_group.pdf,3,ok
25,Le support du caractère d’une représentation supercuspidale,Support of the character of a supercuspidal representation,Paper_25.pdf:2,pdf_papers_001_029/25_Support_of_the_character_of_a_supercuspidal_representation.pdf,2,ok
26,Les constantes locales de l’équation fonctionnelle de la fonction L d’Artin d’une représentation orthogonale,Local constants in the functional equation of the Artin L-function of an orthogonal representation,Paper_26.pdf:19,pdf_papers_001_029/26_Local_constants_in_the_functional_equation_of_the_Artin_L_function_of_an_orthogonal_repr.pdf,19,ok
27,Representations of reductive groups over finite fields,Representations of reductive groups over finite fields,Paper_27_Part_1.pdf:49; Paper_27_Part_2.pdf:9,pdf_papers_001_029/27_Representations_of_reductive_groups_over_finite_fields.pdf,58,ok
