paper_no,title,pdf_page_count,translation_status,note
1,Congruences sur le nombre de sous-groupes d’ordre pk dans un groupe fini,4,complete_english_ready,batch06 polished English translation added
2,Cohomologie à support propre et construction du foncteur f!,18,not_started_or_rough_only,
3,Théorème de Lefschetz et critère de dégénérescence de suites spectrales,20,not_started_or_rough_only,
4,Variétés abéliennes ordinaires sur un corps fini,6,not_started_or_rough_only,
5,The irreducibility of the space of curves of a given genus,35,complete_english_ready,original English paper; included as English-ready after 001-029 repair
6,Formes modulaires et représentations ℓ-adiques,20,not_started_or_rough_only,
7,Travaux de Griffiths,25,not_started_or_rough_only,
8,Travaux de Shimura,43,not_started_or_rough_only,
9,Théorie de Hodge I,6,not_started_or_rough_only,
10,Théorie de Hodge II,53,not_started_or_rough_only,
11,Une congruence entre coefficients multinomiaux,4,complete_english_ready,batch06 polished English translation added
12,La conjecture de Weil pour les surfaces K3,21,not_started_or_rough_only,
13,Les intersections complètes de niveau de Hodge,14,not_started_or_rough_only,
14,Les immeubles des groupes de tresses générales,30,not_started_or_rough_only,
15,Variétés unirationnelles non rationnelles,13,not_started_or_rough_only,
16,Les constantes des équations fonctionnelles des fonctions L,97,not_started_or_rough_only,
17,Formes modulaires et représentations de GL(2),51,not_started_or_rough_only,
18,Les schémas de modules de courbes elliptiques,174,not_started_or_rough_only,
19,Théorie de Hodge III,73,not_started_or_rough_only,
20,La conjecture de Weil I,35,not_started_or_rough_only,
21,Formes modulaires de poids 1,24,not_started_or_rough_only,
22,Poids dans la cohomologie des variétés algébriques,7,not_started_or_rough_only,
23,Real homotopy theory of Kähler manifolds,30,complete_english_ready,original English paper; included as English-ready after 001-029 repair
24,Fibrés vectoriels complexes à groupe structural discret,3,not_started_or_rough_only,
25,Le support du caractère d’une représentation supercuspidale,3,not_started_or_rough_only,
26,Les constantes locales de l’équation fonctionnelle de la fonction L d’Artin d’une représentation orthogonale,18,not_started_or_rough_only,
27,Representations of reductive groups over finite fields,59,complete_english_ready,original English paper; included as English-ready after 001-029 repair
28,Les difféomorphismes du cercle (d’après M. Herman),23,not_started_or_rough_only,
29,Extensions centrales non résiduellement finies de groupes arithmétiques,6,not_started_or_rough_only,
30,Valeurs de fonctions L et périodes d’intégrales,34,not_started_or_rough_only,
31,Variétés de Shimura: interprétation modulaire et techniques de construction de modèles canoniques,43,not_started_or_rough_only,
32,La conjecture de Weil II,116,not_started_or_rough_only,
33,Values of abelian L-functions at negative integers over totally real fields,60,complete_english_ready,completed in previous translation batches
34,Cycles de Hodge absolus et périodes des intégrales des variétés abéliennes,11,not_started_or_rough_only,
35,Sommes de Gauss cubiques et revêtements de SL(2) (d’après S. J. Patterson),34,not_started_or_rough_only,
36,Le groupe fondamental du complément d’une courbe plane n’ayant que des points doubles ordinaires est abélien (d’après W. Fulton),10,not_started_or_rough_only,
37,"Sur la variation, par torsion, des constantes locales d’équations fonctionnelles de fonctions L",30,not_started_or_rough_only,
38,Cristaux ordinaires et coordonnées canoniques,58,not_started_or_rough_only,
39,Relèvement des surfaces K3 en caractéristique nulle,22,not_started_or_rough_only,
40,Duality for representations of a reductive group over a finite field,8,complete_english_ready,completed in previous translation batches
41,Duality for representations of a reductive group over a finite field II,6,complete_english_ready,completed in previous translation batches
42,Intégration sur une cycle évanescent,15,not_started_or_rough_only,
43,Division algebras and the Hausdorff-Banach-Tarski paradox,7,complete_english_ready,completed in previous translation batches
44,Faisceaux pervers,174,not_started_or_rough_only,
45,Le lemme de Gabber; Représentations ℓ-adiques,20,not_started_or_rough_only,
46,Preuve des conjectures de Tate et de Shafarevitch (d’après G. Faltings),17,not_started_or_rough_only,
47,Trace Paley-Wiener theorem for reductive p-adic groups,13,complete_english_ready,completed in previous translation batches
48,Monodromy of hypergeometric functions and non-lattice integral monodromy,85,complete_english_ready,completed in previous translation batches
49,Un théorème de finitude pour la monodromie,19,not_started_or_rough_only,
50,Relèvements modulo p2 et décomposition du complexe de de Rham,24,not_started_or_rough_only,
51,Le déterminant de la cohomologie,85,not_started_or_rough_only,
52,Survey of Drinfel’d modules,67,complete_english_ready,completed in previous translation batches
53,Le groupe fondamental de la droite projective moins trois points,219,not_started_or_rough_only,
54,Catégories tannakiennes,85,not_started_or_rough_only,
55,Filtrations de Hodge et par l’ordre du pôle pour les hypersurfaces singulières,12,not_started_or_rough_only,
56,Groupe de Heisenberg et réalité,10,complete_english_ready,completed in previous translation batches
57,Le symbole modéré,35,not_started_or_rough_only,
