paper_no,kind,path
22,certified_complete_pdf,completed_translations_pdf/22_Weights_in_the_cohomology_of_algebraic_varieties_EN.pdf
22,certified_complete_tex,completed_translations_tex/22_Weights_in_the_cohomology_of_algebraic_varieties_EN.tex
10,working_full_pdf,working_full_translations/10_Hodge_Theory_II_EN_working_full.pdf
10,working_full_md,working_full_translations/10_Hodge_Theory_II_EN_working_full.md
10,working_full_txt,working_full_translations/10_Hodge_Theory_II_EN_working_full.txt
10,source_pdftotext,source/10_Hodge_Theory_II_source_pdftotext_layout.txt
20,working_full_pdf,working_full_translations/20_The_Weil_conjecture_I_EN_working_full.pdf
20,working_full_md,working_full_translations/20_The_Weil_conjecture_I_EN_working_full.md
20,working_full_txt,working_full_translations/20_The_Weil_conjecture_I_EN_working_full.txt
20,source_pdftotext,source/20_The_Weil_conjecture_I_source_pdftotext_layout.txt
