paper_no,title,pdf_page_count,source_language_lane,source_tex_status,english_status,french_translation_status
1,Congruences sur le nombre de sous-groupes d’ordre pk dans un groupe fini,4,French/non-English original,source_tex_cleaned_batch06,complete_translated_batch06,fr_ready_original_source_language
2,Cohomologie à support propre et construction du foncteur f!,18,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
3,Théorème de Lefschetz et critère de dégénérescence de suites spectrales,20,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
4,Variétés abéliennes ordinaires sur un corps fini,6,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
5,The irreducibility of the space of curves of a given genus,35,English original,source_tex_cleaned_batch06,complete_original_english_available,fr_translation_pending_for_english_original
6,Formes modulaires et représentations ℓ-adiques,20,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
7,Travaux de Griffiths,25,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
8,Travaux de Shimura,43,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
9,Théorie de Hodge I,6,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
10,Théorie de Hodge II,53,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
11,Une congruence entre coefficients multinomiaux,4,French/non-English original,source_tex_cleaned_batch06,complete_translated_batch06,fr_ready_original_source_language
12,La conjecture de Weil pour les surfaces K3,21,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
13,Les intersections complètes de niveau de Hodge,14,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
14,Les immeubles des groupes de tresses générales,30,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
15,Variétés unirationnelles non rationnelles,13,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
16,Les constantes des équations fonctionnelles des fonctions L,97,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
17,Formes modulaires et représentations de GL(2),51,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
18,Les schémas de modules de courbes elliptiques,174,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
19,Théorie de Hodge III,73,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
20,La conjecture de Weil I,35,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
21,Formes modulaires de poids 1,24,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
22,Poids dans la cohomologie des variétés algébriques,7,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
23,Real homotopy theory of Kähler manifolds,30,English original,source_tex_cleaned_batch06,complete_original_english_available,fr_translation_pending_for_english_original
24,Fibrés vectoriels complexes à groupe structural discret,3,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
25,Le support du caractère d’une représentation supercuspidale,3,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
26,Les constantes locales de l’équation fonctionnelle de la fonction L d’Artin d’une représentation orthogonale,18,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
27,Representations of reductive groups over finite fields,59,English original,source_tex_cleaned_batch06,complete_original_english_available,fr_translation_pending_for_english_original
28,Les difféomorphismes du cercle (d’après M. Herman),23,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
29,Extensions centrales non résiduellement finies de groupes arithmétiques,6,French/non-English original,source_tex_cleaned_batch06,not_started_polished_translation,fr_ready_original_source_language
30,Valeurs de fonctions L et périodes d’intégrales,34,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
31,Variétés de Shimura: interprétation modulaire et techniques de construction de modèles canoniques,43,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
32,La conjecture de Weil II,116,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
33,Values of abelian L-functions at negative integers over totally real fields,60,English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,complete_original_english_available,fr_translation_pending_for_english_original
34,Cycles de Hodge absolus et périodes des intégrales des variétés abéliennes,11,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
35,Sommes de Gauss cubiques et revêtements de SL(2) (d’après S. J. Patterson),34,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
36,Le groupe fondamental du complément d’une courbe plane n’ayant que des points doubles ordinaires est abélien (d’après W. Fulton),10,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
37,"Sur la variation, par torsion, des constantes locales d’équations fonctionnelles de fonctions L",30,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
38,Cristaux ordinaires et coordonnées canoniques,58,French/non-English original,source_tex_cleaned_or_stable_pdf_from_prior_pass,not_started_polished_translation,fr_ready_original_source_language
