paper_no,title,pdf_page_count,source_language_lane,translation_status,note,english_bucket
1,Congruences sur le nombre de sous-groupes d’ordre pk dans un groupe fini,4,French/non-English original,complete_english_ready,batch06 polished English translation added,translated_polished
2,Cohomologie à support propre et construction du foncteur f!,18,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
3,Théorème de Lefschetz et critère de dégénérescence de suites spectrales,20,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
4,Variétés abéliennes ordinaires sur un corps fini,6,French/non-English original,complete_english_ready,batch07 polished English translation added and compiled,translated_polished
5,The irreducibility of the space of curves of a given genus,35,English original,complete_english_ready,original English paper; included as English-ready after 001-029 review,english_original_already_readable
6,Formes modulaires et représentations ℓ-adiques,20,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
7,Travaux de Griffiths,25,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
8,Travaux de Shimura,43,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
9,Théorie de Hodge I,6,French/non-English original,complete_english_ready,batch07 polished English translation added and compiled,translated_polished
10,Théorie de Hodge II,53,French/non-English original,working_full_translation,batch08 full-body working translation from source PDF text,translated_full_working_draft
11,Une congruence entre coefficients multinomiaux,4,French/non-English original,complete_english_ready,batch06 polished English translation added,translated_polished
12,La conjecture de Weil pour les surfaces K3,21,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
13,Les intersections complètes de niveau de Hodge,14,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
14,Les immeubles des groupes de tresses générales,30,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
15,Variétés unirationnelles non rationnelles,13,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
16,Les constantes des équations fonctionnelles des fonctions L,97,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
17,Formes modulaires et représentations de GL(2),51,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
18,Les schémas de modules de courbes elliptiques,174,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
19,Théorie de Hodge III,73,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
20,La conjecture de Weil I,35,French/non-English original,working_full_translation,batch08 full-body working translation from source PDF text,translated_full_working_draft
21,Formes modulaires de poids 1,24,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
22,Poids dans la cohomologie des variétés algébriques,7,French/non-English original,complete_english_ready,batch08 certified complete English translation,translated_polished
23,Real homotopy theory of Kähler manifolds,30,English original,complete_english_ready,original English paper; included as English-ready after 001-029 review,english_original_already_readable
24,Fibrés vectoriels complexes à groupe structural discret,3,French/non-English original,complete_english_ready,batch07 polished English translation added and compiled,translated_polished
25,Le support du caractère d’une représentation supercuspidale,3,French/non-English original,complete_english_ready,batch07 polished English translation added and compiled,translated_polished
26,Les constantes locales de l’équation fonctionnelle de la fonction L d’Artin d’une représentation orthogonale,18,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
27,Representations of reductive groups over finite fields,59,English original,complete_english_ready,original English paper; included as English-ready after 001-029 review,english_original_already_readable
28,Les difféomorphismes du cercle (d’après M. Herman),23,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
29,Extensions centrales non résiduellement finies de groupes arithmétiques,6,French/non-English original,complete_english_ready,batch07 polished English translation added and compiled,translated_polished
30,Valeurs de fonctions L et périodes d’intégrales,34,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
31,Variétés de Shimura: interprétation modulaire et techniques de construction de modèles canoniques,43,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
32,La conjecture de Weil II,116,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
33,Values of abelian L-functions at negative integers over totally real fields,60,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
34,Cycles de Hodge absolus et périodes des intégrales des variétés abéliennes,11,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
35,Sommes de Gauss cubiques et revêtements de SL(2) (d’après S. J. Patterson),34,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
36,Le groupe fondamental du complément d’une courbe plane n’ayant que des points doubles ordinaires est abélien (d’après W. Fulton),10,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
37,"Sur la variation, par torsion, des constantes locales d’équations fonctionnelles de fonctions L",30,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
38,Cristaux ordinaires et coordonnées canoniques,58,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
39,Relèvement des surfaces K3 en caractéristique nulle,22,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
40,Duality for representations of a reductive group over a finite field,8,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
41,Duality for representations of a reductive group over a finite field II,6,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
42,Intégration sur une cycle évanescent,15,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
43,Division algebras and the Hausdorff-Banach-Tarski paradox,7,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
44,Faisceaux pervers,174,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
45,Le lemme de Gabber; Représentations ℓ-adiques,20,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
46,Preuve des conjectures de Tate et de Shafarevitch (d’après G. Faltings),17,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
47,Trace Paley-Wiener theorem for reductive p-adic groups,13,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
48,Monodromy of hypergeometric functions and non-lattice integral monodromy,85,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
49,Un théorème de finitude pour la monodromie,19,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
50,Relèvements modulo p2 et décomposition du complexe de de Rham,24,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
51,Le déterminant de la cohomologie,85,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
52,Survey of Drinfel’d modules,67,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
53,Le groupe fondamental de la droite projective moins trois points,219,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
54,Catégories tannakiennes,85,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
55,Filtrations de Hodge et par l’ordre du pôle pour les hypersurfaces singulières,12,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
56,Groupe de Heisenberg et réalité,10,French/non-English original,complete_english_ready,completed in previous translation batches,translated_polished
57,Le symbole modéré,35,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
58,Structures de Hodge mixtes réelles,6,French/non-English original,complete_english_ready,completed in previous translation batches,translated_polished
59,Interprétation motivique de la conjecture de Zagier reliant polylogarithmes et régulateurs,25,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
60,"Singularités des espaces de modules de Hilbert, en les caractéristiques divisant le discriminant",21,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
61,A quoi servent les motifs?,19,French/non-English original,complete_english_ready,completed in previous translation batches,translated_polished
62,Décompositions dans la catégorie dérivée,14,French/non-English original,complete_english_ready,completed in previous translation batches,translated_polished
63,On the locus of Hodge classes,25,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
64,"Déformations de l’algèbre des fonctions d’une variété symplectique: comparaison entre Fedosov et De Wilde, Lecomte",31,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
65,La série exceptionnelle de groupes de Lie,6,French/non-English original,complete_english_ready,completed in previous translation batches,translated_polished
66,La série exceptionnelle de groupes de Lie II,6,French/non-English original,complete_english_ready,completed in previous translation batches,translated_polished
67,Extensions centrales de groupes algébriques simplement connexes et cohomologie galoisienne,55,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
68,Local behavior of Hodge structures at infinity,17,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
69,Action du groupe des tresses sur une catégorie,17,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
70,Quelques idées maı̂tresses de l’oeuvre de A. Grothendieck,9,French/non-English original,complete_english_ready,completed in previous translation batches,translated_polished
71,"L’algèbre de cohomologie du complément, dans un espace affine, d’une famille finie de sous-espaces affines",16,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
72,Central extensions of reductive groups by K2,81,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
73,A counterexample to a 1961 “theorem” in homological algebra,24,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
74,"On the exceptional series, and its descendants",5,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
75,Catégories tensorielles,26,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
76,Groupes fondamentaux motiviques de Tate mixte,56,French/non-English original,partial,direct translation started; not complete,partial
77,The Hodge conjecture,5,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
78,"La catégorie des représentations du groupe symétrique St , lorsque t n’est pas un entier naturel",65,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
79,Voevodsky’s lectures on motivic cohomology 2000/2001,55,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
80,"Equivalence numérique, équivalence cohomologique et théorie de Lefschetz des variétés abéliennes sur les corps finis",12,French/non-English original,complete_english_ready,completed in previous translation batches,translated_polished
81,Extended Euler congruence,2,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
82,"Le groupe fondamental motivique de Gm − μN pour N = 2, 3, 4, 6 ou 8",53,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
83,Le théorème de plongement de Nagata,10,French/non-English original,complete_english_ready,completed in previous translation batches,translated_polished
84,"Finitude de l’extension de Q engendrée par des traces de Frobenius, en caractéristique finie",23,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
85,"Multizêtas, d’après Francis Brown",26,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
86,Counting local systems with principal unipotent local monodromy,64,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
87,Semi-simplicité de produits tensoriels en caractéristique p,27,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
88,Comptage de faisceaux ℓ-adiques,34,French/non-English original,not_started_or_rough_only,,not_started_or_rough_only
89,The first fundamental theorem of invariant theory for the orthosymplectic super group,17,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
90,On complete reducibility in characteristic p,27,English original,complete_english_ready,completed in previous translation batches,english_original_already_readable
