record_id,logical_source_id,language,variety_code,standard_or_idiom,region,script,secondary_language,institution,publication_date,retrieved_at,domain,domain_tags,domain_review_status,register,title_or_query,representation,source_bytes,source_sha256,search_text_sha256,search_text_contract,public_upstream_locator,locator_visibility,revision_or_version,source_use_status,license_signal,license_status,hash_verification,sense_review_status,corpus_topic_eligible,native_source,generated,dedupe_status,counting_eligible,term_promotion_eligible,corpus_role,active_body_eligible,official_lexical_reference,translation_family_id,translation_sibling_status,specialist_algebra_eligible,intake_source_id,intake_manifest_sha256
CURATED-RM-RG-GRCH-AP1G-2021-M1,CURATED-RM-RG-GRCH-AP1G-2021-M1,rm,rm-rg,Rumantsch Grischun,Graubünden Switzerland,Latn,de,Canton of Graubünden Office for Higher Education,2021,2026-07-17T21:09:40+02:00,mathematics_education,arithmetic;fractions;geometry;measurement;word_problems;solution_register,manual_full_text_and_sample_page_review_20260717,secondary_school_admissions_exam,Matematica part 1 – quints en scrit (rumantsch grischun),pdf,1199558,388B920FC0B3D4D2B55F5157FB85ADE4A3F3B2032A9CB9D16FE1065F99B86ABE,71668E44E9F00D7D0351DABB6F66FF8DFE9F149C968C1827915558AB68FBD4F2,derived_visible_text,https://www.gr.ch/DE/institutionen/verwaltung/ekud/ahb/mittelschulen/dienstleistungen/aufnahmepruefungen/pruefung1g/pruefungsbeispiele1gym/Documents/AP21_1G_M1_RG.pdf,public_http_locator_preserved,2021,native_official_bilingual_mathematics_exam,Official publicly accessible exam PDF; no explicit reuse license located,unresolved_no_explicit_reuse_grant,match,source_topic_reviewed_term_occurrences_require_language_and_sense_review,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
CURATED-RM-RG-GRCH-AP1G-2024-M1,CURATED-RM-RG-GRCH-AP1G-2024-M1,rm,rm-rg,Rumantsch Grischun,Graubünden Switzerland,Latn,de,Canton of Graubünden Office for Higher Education,2024,2026-07-17T22:26:23+02:00,mathematics_education,arithmetic;fractions;geometry;measurement;word_problems;number_line;exam_instructions,manual_full_text_keyword_and_sample_page_review_20260717,secondary_school_admissions_exam,Matematica part 1 – quints en scrit (rumantsch grischun),pdf,883275,71B7D02A7CAF803E434516E3C14274B4D40CBE652D165E3CD7F8794CAC6F55AA,054378CC16CDEF092407D49B93E1CF93E84DCA6570A3815A3175E7BC5904F649,derived_visible_text,https://www.gr.ch/DE/institutionen/verwaltung/ekud/ahb/mittelschulen/dienstleistungen/aufnahmepruefungen/pruefung1g/pruefungsbeispiele1gym/Documents/AP24_1G_M1_RG.pdf,public_http_locator_preserved,2024,native_official_bilingual_mathematics_exam,Official publicly accessible exam PDF; no explicit reuse license located,unresolved_no_explicit_reuse_grant,match,source_topic_reviewed_term_occurrences_require_language_and_sense_review,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
CURATED-RM-RG-GRCH-AP1G-2024-M2,CURATED-RM-RG-GRCH-AP1G-2024-M2,rm,rm-rg,Rumantsch Grischun,Graubünden Switzerland,Latn,de,Canton of Graubünden Office for Higher Education,2024,2026-07-17T22:26:23+02:00,mathematics_education,mental_arithmetic;fractions;geometry;measurement;number_line;word_problems;exam_instructions,manual_full_text_keyword_and_sample_page_review_20260717,secondary_school_admissions_exam,Matematica part 2 – quints a chau fixads (rumantsch grischun),pdf,400096,1E300CB2AC8177D09FF8A86FA06C64E2005304C4AEAF3CBC9DC1EC0405945B0D,0D789C2BCCD2DE09A8E193541DB8240210082CBD069913EC5D0DD35096C0EB35,derived_visible_text,https://www.gr.ch/DE/institutionen/verwaltung/ekud/ahb/mittelschulen/dienstleistungen/aufnahmepruefungen/pruefung1g/pruefungsbeispiele1gym/Documents/AP24_1G_M2_RG.pdf,public_http_locator_preserved,2024,native_official_rm_mathematics_exam,Official publicly accessible exam PDF; no explicit reuse license located,unresolved_no_explicit_reuse_grant,match,source_topic_reviewed_term_occurrences_require_language_and_sense_review,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0001,TRANSFER-0911.2903v2-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_0911_2903v2/0911.2903v2_Exp.1014.B.Keller.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,0911.2903v2,tex,94933,73390B421593C602CCCB45B88EF9FC4AC29831A7684187D95DF9DD0D29D811FF,73390B421593C602CCCB45B88EF9FC4AC29831A7684187D95DF9DD0D29D811FF,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/0911.2903; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0025,TRANSFER-1312.6798v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_1312_6798v1/1312.6798v1_uqc.tex,es,es,standard Spanish,Spain and Americas,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1312.6798v1,tex,65255,0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,local source body copied; license/access signal not independently cleared,unresolved,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0010,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_Ext_ACT.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1508.04495v1,tex,8401,6A81F06B41B52BE13440ECAFB85096390C8FA20B8C0BEAD0E1677B52465C852E,6A81F06B41B52BE13440ECAFB85096390C8FA20B8C0BEAD0E1677B52465C852E,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0002,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_abstract.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1508.04495v1,tex,973,B6FCC6A08703DB10576D80FA867961E0E8B32EE228E0D71B2E86E160D51EB508,B6FCC6A08703DB10576D80FA867961E0E8B32EE228E0D71B2E86E160D51EB508,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0003,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_annexeA.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1508.04495v1,tex,14382,B70390149B359B112C82429C48B0D3EB10271DEE9FAD0B7E19FF8CDFDA4CC88B,B70390149B359B112C82429C48B0D3EB10271DEE9FAD0B7E19FF8CDFDA4CC88B,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0004,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_annexeB.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1508.04495v1,tex,7178,A87A204A8010BA13CD8AD6BCB9593B3D7E470108667EDE2EE590D1E5C36BF687,A87A204A8010BA13CD8AD6BCB9593B3D7E470108667EDE2EE590D1E5C36BF687,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
TRANSFER-0005,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_avantpropos.tex,fr,fr,standard French,France and Francophonie,Latn,,,,,mathematics_mixed,mathematics_mixed,transfer_manifest_subject_label_not_page_topic_review,unresolved_register,1508.04495v1,tex,2833,6C3ED9DDF1B010B6D4DBDDEEA7812DD17F30EF144BD9F50888962F793E41761C,6C3ED9DDF1B010B6D4DBDDEEA7812DD17F30EF144BD9F50888962F793E41761C,source_file_is_canonical_search_text,,local_or_non_http_locator_omitted,recovered_transfer_20260706,native-source-body,arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim,arxiv_distribution_license_not_reuse_clear,match,not_term_sense_reviewed,true,true,false,primary_unique,true,false,active_source_body,true,false,,not_declared,false,,
