route_id,variety_code,variety_name,macrobranch,subbranch,standard_or_idiom,region,script,scope_status,corpus_language_key,source_queue,gap_reason,cohort_route,dominant_standard_not_proxy,notes,current_active_body_count,current_active_bytes,current_domains,current_source_ids,current_general_school_math_body_count,current_specialist_algebra_body_count,inherited_form_attestation_count,inherited_forms_are_corpus_attestation,current_license_status,evidence_status,corpus_manifest_sha256,review_status,official_lexical_reference_source_count,official_lexical_reference_record_count,official_lexical_reference_source_ids,official_lexical_reference_license_status,lexical_reference_only_not_body,translation_family_count,official_translation_sibling_body_count,latest_acquisition_intake_source_ids,specialist_algebra_gap_status
R001,es,Spanish,Western Romance,Ibero-Romance,standard,Spain and Americas,Latn,core_initial,es,consolidated_active,,Spanish readers,true,Regional standards require later metadata,9,895422,abstract_algebra;field_theory;group_theory;mathematics_general;mathematics_mixed;module_theory;proof_register;ring_theory,TRANSFER-0025;TRANSFER-0026;TRANSFER-0027;WIKIHTML-ES-12952-173778307;WIKIHTML-ES-21349-166023447;WIKITEXT-ES-46655-163545571;WIKITEXT-ES-47083-163965223;WIKITEXT-ES-60286-171959514;WIKITEXT-ES-9303-172514148,0,6,0,false,declared_cc_by_sa_4_0;declared_cc_by_sa_4_0_project_terms_pending_page_match;unresolved,active_substantive_body_present_no_official_lexical_reference,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_implemented_active_body_specialist_depth_open,0,0,,no_lexical_reference,false,0,0,,specialist_algebra_body_present
R002,pt,Portuguese,Western Romance,Ibero-Romance,standard,Portugal Africa and Brazil,Latn,core_initial,pt,consolidated_active,,Portuguese readers,true,European and Brazilian register split queued,7,1509170,abstract_algebra;group_theory;mathematics_general;module_theory;proof_register;ring_theory,TRANSFER-0024;WIKIHTML-PT-193830-71904594;WIKIHTML-PT-60301-68734795;WIKIHTML-PT-616487-72002999;WIKIHTML-PT-94226-72063411;WIKIHTML-PT-9559-68653183;WIKITEXT-PT-44171-72178684,0,6,0,false,declared_cc_by_sa_3_0_needs_attribution_check;declared_cc_by_sa_4_0;declared_cc_by_sa_4_0_project_terms_pending_page_match,active_substantive_body_present_no_official_lexical_reference,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_implemented_active_body_specialist_depth_open,0,0,,no_lexical_reference,false,0,0,,specialist_algebra_body_present
R003,gl,Galician,Western Romance,Ibero-Romance,standard,Galicia,Latn,core_initial,gl,consolidated_active,,Galician readers,true,Portuguese is adjacent evidence only,6,1261078,abstract_algebra;field_theory;group_theory;mathematics_general;module_theory;proof_register;ring_theory,WIKIHTML-GL-167091-7442913;WIKIHTML-GL-169282-7404099;WIKIHTML-GL-209642-6945035;WIKIHTML-GL-209662-7399914;WIKIHTML-GL-317094-6945037;WIKIHTML-GL-51033-7114436,0,5,0,false,declared_cc_by_sa_4_0,active_substantive_body_present_no_official_lexical_reference,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_implemented_active_body_specialist_depth_open,0,0,,no_lexical_reference,false,0,0,,specialist_algebra_body_present
R004,ca,Catalan,Western Romance,Occitano-Romance,standard,Catalonia and wider Catalan area,Latn,core_initial,ca,consolidated_active,,Catalan readers,true,Valencian and Balearic routes remain separately tagged,6,1102317,abstract_algebra;group_theory;mathematics_general;module_theory;proof_register;ring_theory,WIKIHTML-CA-151836-36710349;WIKIHTML-CA-290598-37629739;WIKIHTML-CA-53255-37305780;WIKIHTML-CA-53831-37621206;WIKIHTML-CA-54406-36480260;WIKITEXT-CA-41933-37220674,0,4,0,false,declared_cc_by_sa_4_0;declared_cc_by_sa_4_0_project_terms_pending_page_match,active_substantive_body_present_no_official_lexical_reference,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_implemented_active_body_specialist_depth_open,0,0,,no_lexical_reference,false,0,0,,specialist_algebra_body_present
R005,fr,French,Western Romance,Oïl,standard,France and Francophonie,Latn,core_initial,fr,consolidated_active,,French readers,true,Oïl varieties are not replaced by French,21,1692746,abstract_algebra;field_theory;group_theory;mathematics_general;mathematics_mixed;module_theory;proof_register;ring_theory,TRANSFER-0001;TRANSFER-0002;TRANSFER-0003;TRANSFER-0004;TRANSFER-0005;TRANSFER-0006;TRANSFER-0007;TRANSFER-0008;TRANSFER-0009;TRANSFER-0010;TRANSFER-0011;TRANSFER-0012;TRANSFER-0013;TRANSFER-0014;TRANSFER-0015;WIKIHTML-FR-17703-228274599;WIKIHTML-FR-20686-228450069;WIKIHTML-FR-247990-234911105;WIKIHTML-FR-5276690-237541745;WIKIHTML-FR-9-228034381;WIKIHTML-FR-96201-235538713,0,5,0,false,arxiv_distribution_license_not_reuse_clear;declared_cc_by_sa_4_0,active_substantive_body_present_no_official_lexical_reference,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_implemented_active_body_specialist_depth_open,0,0,,no_lexical_reference,false,0,0,,specialist_algebra_body_present
R006,it,Italian,Western Romance,Italo-Dalmatian,standard,Italy and Switzerland,Latn,core_initial,it,consolidated_active,,Italian readers,true,Regional languages are independent routes,8,1641920,abstract_algebra;analysis;field_theory;group_theory;mathematics_general;module_theory;proof_register;ring_theory,TRANSFER-0021;TRANSFER-0022;WIKIHTML-IT-31716-145498082;WIKIHTML-IT-33544-138537220;WIKIHTML-IT-40840-141860794;WIKIHTML-IT-63266-146300127;WIKIHTML-IT-85128-146811610;WIKIHTML-IT-95417-144538899,0,6,0,false,declared_cc_by_sa_4_0;unresolved_no_explicit_grant,active_substantive_body_present_no_official_lexical_reference,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_implemented_active_body_specialist_depth_open,0,0,,no_lexical_reference,false,0,0,,specialist_algebra_body_present
R007,ro,Romanian,Eastern Romance,Daco-Romanian,standard,Romania and Moldova,Latn,core_initial,ro,consolidated_active,,Romanian readers,true,Moldovan script/register metadata queued,6,1251878,abstract_algebra;field_theory;group_theory;mathematics_general;proof_register;ring_theory,WIKIHTML-RO-1106041-16295374;WIKIHTML-RO-12164-17778278;WIKIHTML-RO-2398153-17567738;WIKIHTML-RO-2608752-17715620;WIKIHTML-RO-752864-17640786;WIKIHTML-RO-88-17753407,0,4,0,false,declared_cc_by_sa_4_0,active_substantive_body_present_no_official_lexical_reference,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_implemented_active_body_specialist_depth_open,0,0,,no_lexical_reference,false,0,0,,specialist_algebra_body_present
R008,rm-rg,Rumantsch Grischun,Rhaeto-Romance,Romansh,standardized umbrella,Switzerland,Latn,core_initial,rm,Swiss institutional mathematics or education source with stable edition,Specialist algebra remains a zero-body gap; the five regional idioms are separate zero-body routes,Rumantsch Grischun readers,true,Three individually verified official Rumantsch Grischun general school-mathematics examination parts are active; specialist algebra remains a zero-body gap; inherited forms are not corpus attestation; 2026-07-18 intake: zero_target_body_after_targeted_search,4,4470831,"'coordinate_geometry',;'fractions',;'measurement',;'proportional_reasoning',;'solution_register'];'symmetry',;'word_problems',;['arithmetic',;arithmetic;exam_instructions;fractions;geometry;measurement;mental_arithmetic;number_line;solution_register;word_problems",CURATED-GRCH-AP25-1G-M1-RG;CURATED-RM-RG-GRCH-AP1G-2021-M1;CURATED-RM-RG-GRCH-AP1G-2024-M1;CURATED-RM-RG-GRCH-AP1G-2024-M2,4,0,0,false,unresolved_no_explicit_reuse_grant,active_substantive_body_and_official_lexical_reference_present,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_implemented_active_body_plus_official_lexical_reference,1,30,CURATED-RM-MULTI-GRCH-LP21-GLOSSARI-2017,copyright_status_unresolved_no_explicit_reuse_grant,false,1,1,GRCH-AP25-1G-M1-RG,explicit_zero_specialist_algebra_body
R009,rm-sursilvan,Sursilvan,Rhaeto-Romance,Romansh,regional idiom,Surselva Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired; official lexical reference does not close the body gap,Separate Sursilvan cohort,true,Rumantsch Grischun is not a proxy; Official school-math lexical crosswalk present; running and specialist-algebra bodies remain absent; 2026-07-18 intake: body_acquired_pending_integration_review,1,1621152,"'coordinate_geometry',;'fractions',;'measurement',;'proportional_reasoning',;'solution_register'];'symmetry',;'word_problems',;['arithmetic',",CURATED-GRCH-AP25-1G-M1-SURS,1,0,0,false,unresolved_no_explicit_reuse_grant,active_substantive_body_and_official_lexical_reference_present,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_implemented_active_body_plus_official_lexical_reference,1,30,CURATED-RM-MULTI-GRCH-LP21-GLOSSARI-2017,copyright_status_unresolved_no_explicit_reuse_grant,false,1,1,GRCH-AP25-1G-M1-SURS,explicit_zero_specialist_algebra_body
R010,rm-sutsilvan,Sutsilvan,Rhaeto-Romance,Romansh,regional idiom,Central Grisons Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Sutsilvan cohort,true,Rumantsch Grischun is not a proxy; 2026-07-18 intake: zero_body; exact official catalog locator found but downloaded bytes are metadata only,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R011,rm-surmiran,Surmiran,Rhaeto-Romance,Romansh,regional idiom,Albula and Surses Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Surmiran cohort,true,Rumantsch Grischun is not a proxy; 2026-07-18 intake: zero_body; exact official catalog locator found but downloaded bytes are metadata only,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R012,rm-puter,Putèr,Rhaeto-Romance,Romansh,regional idiom,Upper Engadine Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Putèr cohort,true,Rumantsch Grischun is not a proxy; 2026-07-18 intake: body_acquired_pending_integration_review,1,1699194,"'coordinate_geometry',;'fractions',;'measurement',;'proportional_reasoning',;'solution_register'];'symmetry',;'word_problems',;['arithmetic',",CURATED-GRCH-AP25-1G-M1-PUT,1,0,0,false,unresolved_no_explicit_reuse_grant,active_substantive_body_present_no_official_lexical_reference,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_implemented_active_body_specialist_depth_open,0,0,,no_lexical_reference,false,1,1,GRCH-AP25-1G-M1-PUT,explicit_zero_specialist_algebra_body
