"metric","count","note"
"observed_matches_head_context","1","c33e09ebe4527ded37b7fbf491d16350f12578cf"
"local_head_named_r6_file_hits","23","filesystem scan under 2026-07-04"
"prior_package_sha_rows_verified","14","prior package SHA carry-forward"
"prior_package_sha_failures","0","should remain zero"
"witness_index_rows_carried","315","witness index carry-forward"
"literal_source_body_rows","75","carried source body rows"
"indigenous_literal_body_rows","13","carried Indigenous body rows"
"creole_literal_body_rows","54","carried creole/contact body rows"
"sign_access_rows","90","route/probe/capture metadata; no media reuse"
"generated_draft_rows","6","noncanonical carry-forward only"
"source_use_rows","5","current-head source-use rows"
"ethics_authority_rows","4","current-head ethics rows"
"blocker_rows","4","exact blockers"
"adverse_rows","3","source-use/adverse rows"
