"language_group","language","row_count","local_fulltext_rows","candidate_control_rows","statuses","source_package_state","current_state","exact_blocker","next_action","promotion_trigger","rebuild_trigger","authority_boundary","evidence_row_ids","topic_tags","urls","local_paths","local_hashes"
"East Slavic","Belarusian","2","0","2","local_html_candidate_terms_hashed ; local_ocr_html_candidate_terms_hashed","no_target_language_tex_latex_source_package_promoted","candidate_html_ocr_bibliographic_controls_scan_blocked","Slounik and OCR pages plus BNTU bibliography are cached; scan/full dictionary and stable BELAL catalog/fulltext access remain blocked.","Acquire scan/full dictionary export or stable catalog/fulltext route; retry BELAL only as corroboration.","Full scan/OCR-verified dictionary, official catalog export, or qualified Belarusian review for specific algebra/ring/module/group terms.","Rebuild if scan/full dictionary becomes local, OCR is corrected/verified, or BELAL/catalog evidence becomes stable and hashed.","source-canon usability only; no native review, canonical approval, license clearance, accepted correction, or translation completion claimed","candidate_belarusian_bnt_1922 ; candidate_belarusian_math_dictionary_1993_algebra_ring","general mathematics; algebra terminology ; algebra terminology; rings; division rings; commutative rings","https://slounik.org/bnt01/ ; https://knihi-online.com/russko-bielorusskij-matiematicieskij-slovar.html?page=2 ; https://knihi-online.com/russko-bielorusskij-matiematicieskij-slovar.html?page=10 ; https://library.bntu.by/wp-content/uploads/2023/02/spisok.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\be_slounik_bnt01.html ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\be_bntu_professional_terminology_bibliography.pdf ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\be_knihi_math_dictionary_page2.html ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\be_knihi_math_dictionary_page10.html ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\be_bntu_professional_terminology_bibliography.pdftotext.txt","52CC7E17A36743949DCE632C15B98163B66ACCCAE779E691EAA1F2D0E15B4344 ; 4A5D37AA62D0CD077C6BC815CA5BD4C21BC8F04C827419785E460A6F6DFAC434 ; A6A6F32A98AD71AFF1A44018B3FEAE33574A8792C9B7F86E09E297B8AF293D7F ; C0F91ED24E37994A669E09A7D53C7277DCA773B8429623DDD49A3F54AA6F6EA3 ; EB985B65A4A2F0B8799D81ACD8079B34490D0A50FEEEBEA7AE855FA21CA5A336"
"South Slavic","Bosnian","2","0","2","local_pdf_control_witness ; third_party_web_fulltext_candidate_not_promoted","no_target_language_tex_latex_source_package_promoted","official_control_plus_third_party_candidate_no_authority_upgrade","Official PMF/COBISS controls exist; third-party Scribd mirror/preview lead exists; official fulltext/source or permission-clean copy remains blocked.","Seek official PMF textbook fulltext/source package or permission-clean copy; keep Scribd lead candidate-only.","Official PMF fulltext/source, stable source-package, or documented permission/reviewer confirmation for the 2017 textbook.","Rebuild source-canon witness bundle if official Bosnian fulltext/source lands or current Scribd/cache evidence changes materially.","source-canon usability only; no native review, canonical approval, license clearance, accepted correction, or translation completion claimed","blocked_bosnian_math_algebra_source ; candidate_bosnian_scribd_algebra_fulltext_2017","Bosnian algebra; rings; groups; modules; fields; coding theory ; Bosnian; algebra; groups; rings; fields; finite fields; computer science; fulltext lead; no TeX source","https://math.pmf.unsa.ba/wp-content/uploads/2021/04/Algebra-za-kompjuterske-nauke.pdf ; https://pmf.unsa.ba/wp-content/uploads/2021/10/Lietartura-za-predmete-na-Odsjeku-za-matematiku.pdf ; https://pmf.unsa.ba/wp-content/uploads/2023/09/Obavezna-literatura-matematika.pdf ; https://math.pmf.unsa.ba/eng/wp-content/uploads/2021/05/Novi-prijedlog-nastavni-program-_Matematika_2009_I-ciklus.pdf ; https://plus-legacy.cobiss.net/cobiss/bh/en/bib/23757574 ; https://www.scribd.com/document/696217010/Osnove-Opce-Algebre-Sa-Primjenama-Knjiga","C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\bs_pmf_unsa_algebra_za_kompjuterske_nauke_syllabus_2021.pdf ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\bs_pmf_unsa_literatura_za_predmete_2021.pdf ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\bs_pmf_unsa_obavezna_literatura_matematika_2023.pdf ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\bs_pmf_unsa_matematika_i_ciklus_program_2009.pdf ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\bs_pmf_unsa_algebra_za_kompjuterske_nauke_syllabus_2021.pdftotext.txt ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\bs_pmf_unsa_literatura_za_predmete_2021.pdftotext.txt ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\bs_pmf_unsa_obavezna_literatura_matematika_2023.pdftotext.txt ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\bs_pmf_unsa_matematika_i_ciklus_program_2009.pdftotext.txt ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\bs_cobiss_algebra_za_kompjuterske_nauke_2017.html ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\bs_scribd_algebra_candidate_curl.html ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\bs_scribd_algebra_za_kompjuterske_nauke_candidate.html","82ADD75629FDD4F0DD564A1176C4A9FDDF574ECAF509989B01F7F83964C6820D ; 40FFF8831DA94A08BD613054E7B968E5C7EDAC410111B67F0B3A1567503EFB7F ; 572C7F92602F208886333EABA5A54DA0775ACD51A171339CCC1C072E3C01E946 ; A39FC4166E383AC568149139515485968664BB1ACD7C182D0CC369F8453BF252 ; 96FA3A57BA8A713238EFB3DDEF6B3327305F4F2A257F20F24D6D8F7D1224D207 ; 19C9D5F5266541D8D6B9695CED5BE384292F9B41FE39132ED821F792A094001D ; 0E1E146EA4B2955DF2E45E87C08EE10B7CCBEFCFB53746A327F1DBEBE17AFE3C ; C01724D91CDD77C3B58FA4113E7BCB5D4B8A83B3EF6F5666A984873BA3500E6E ; 65B8F9C79F1AB26AD5DA1BE6C6DA9B1B3AA264654C2A9E5D4D38069B3A18C8DD ; 5AB096BB973A8EFAE4222CDDA033143BF7153E3CDA721DBE09DD930EE6A40A74 ; 32ED63159C77E21EE19CA1B9AA3213CCF0218EB59539560B132A8E68EF0E18EA"
"South Slavic","Bulgarian","2","2","0","local_fulltext_witness","no_target_language_tex_latex_source_package_promoted","stable_local_pdf_text_witnesses_no_tex","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","Watch for source-level TeX/arXiv/e-print packages or accepted review/source-defect triggers.","Promote only if an official/source-level package, permission-clean fulltext, or accepted qualified review/source-defect evidence appears.","No rebuild from this matrix alone; rebuild only on hash drift, accepted correction, source defect, or new official source witness.","source-canon usability only; no native review, canonical approval, license clearance, accepted correction, or translation completion claimed","mathref_bulgarian_sofia_noncommutative_body_problem ; mathref_bulgarian_sofia_rings_lecture7","rings; fields/Galois","https://store.fmi.uni-sofia.bg/fmi/algebra/syllabuses/va1/Sample_Problems_Rings_ApplMath_2011.pdf ; https://store.fmi.uni-sofia.bg/fmi/algebra/lect_notes_nenov/07.pdf","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\bulgarian_sofia_noncommutative_body_problem.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\bulgarian_sofia_noncommutative_body_problem.txt ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\bulgarian_sofia_rings_lecture7.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\bulgarian_sofia_rings_lecture7.txt","9377AC5F2F3594AD2F0A7B014C72562D8E0E40007BA06E72B18D3E2B7C941E43 ; 996E7E695AD04148AF2632AD9DF1F18A5C720B4958E85A9D495A875540CBC392 ; D5F91DCC5EAF4DFD1FE0949891A93117510C0D82E894E1FF254C4A78853AB503 ; 78275711414EC1B5113BCB8E7C5770E31F777F120362BDE9F9C15DD1CBB1C2DC"
"South Slavic","Croatian","2","2","0","local_fulltext_witness","no_target_language_tex_latex_source_package_promoted","stable_local_pdf_text_witnesses_no_tex","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","Watch for source-level TeX/arXiv/e-print packages or accepted review/source-defect triggers.","Promote only if an official/source-level package, permission-clean fulltext, or accepted qualified review/source-defect evidence appears.","No rebuild from this matrix alone; rebuild only on hash drift, accepted correction, source defect, or new official source witness.","source-canon usability only; no native review, canonical approval, license clearance, accepted correction, or translation completion claimed","mathref_croatian_mathhr_algebra_structures_2024 ; mathref_croatian_pmf_split_prsteni","rings; fields/Galois; groups/representations/algebras ; rings; fields/Galois","https://algprof.math.hr/wp-content/uploads/2025/03/AS-2024.pdf ; https://mapmf.pmfst.unist.hr/~skresic/Algebra/Prezentacije/Prsteni.pdf","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\croatian_mathhr_algebra_structures_2024.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\croatian_mathhr_algebra_structures_2024.txt ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\croatian_pmf_split_prsteni.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\croatian_pmf_split_prsteni.txt","50A255D413C5411F02A4AB6DA487CF1A5CCF2AF0B933E89307FD036E34281124 ; 806AC472D958476A1172C46B5F279984A7D89AACE2DAF422A13CD7EC5D151C0E ; 6F0B9C2563C86D99A16601ADB01B4280FDC30707CF2EC407A18E1383D6370E43 ; E3A85A42356649B1804704357197F1D0ABA56044299C29FF75012ABEFD7B4AD3"
"West Slavic","Czech","6","6","0","local_fulltext_witness","no_target_language_tex_latex_source_package_promoted","stable_local_pdf_text_witnesses_no_tex","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","Watch for source-level TeX/arXiv/e-print packages or accepted review/source-defect triggers.","Promote only if an official/source-level package, permission-clean fulltext, or accepted qualified review/source-defect evidence appears.","No rebuild from this matrix alone; rebuild only on hash drift, accepted correction, source defect, or new official source witness.","source-canon usability only; no native review, canonical approval, license clearance, accepted correction, or translation completion claimed","mathref_czech_cuni_algebra_2021 ; mathref_czech_cuni_noncommutative_body_thesis ; mathref_czech_cuni_representation_idempotents ; mathref_czech_cuni_telesa_pole_note ; mathref_czech_karlin_commutative_rings_fields ; mathref_czech_karlin_galois_splitting_field","rings; fields/Galois; groups/representations/algebras ; fields/Galois; groups/representations/algebras ; rings; fields/Galois ; Noetherian/Hilbert basis; rings; fields/Galois; modules; groups/representations/algebras","https://karlin.mff.cuni.cz/~kala/2021alg/algebra21.pdf ; https://dspace.cuni.cz/bitstream/handle/20.500.11956/75721/BPTX_2014_1_11320_0_348573_0_141241.pdf?sequence=1 ; https://dspace.cuni.cz/bitstream/handle/20.500.11956/127526/120389931.pdf?sequence=1 ; https://www.karlin.mff.cuni.cz/~becvar/LA-dotaz3.pdf ; https://www.karlin.mff.cuni.cz/~ruzicka/komalg/telesa.pdf ; https://www.karlin.mff.cuni.cz/~stovicek/dl/19-20-ls/algebra2_04052020.pdf","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\czech_cuni_algebra_2021.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\czech_cuni_algebra_2021.txt ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\czech_cuni_noncommutative_body_thesis.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\czech_cuni_noncommutative_body_thesis.txt ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\czech_cuni_representation_idempotents.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\czech_cuni_representation_idempotents.txt ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\czech_cuni_telesa_pole_note.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\czech_cuni_telesa_pole_note.txt ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\czech_karlin_commutative_rings_fields.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\czech_karlin_commutative_rings_fields.txt ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\czech_karlin_galois_splitting_field.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\czech_karlin_galois_splitting_field.txt","0737A40AD7C560CA8988BBD5D85762DFFB4791E67CCA0BA4F3CA8A2F4EBE65CE ; 98AB0434150979DFAA640CA2A642B25FEB9D03BD733867F27ECBBD98090154B1 ; DDC68FA8BCFE15C190EF8D5A78B4B56920FFEFF8D8486A8E54A02A5E864F504F ; 9581A7657881B2AC10E7FC862A1BA2EF8F19D801964BD7C7307C4FE7127B348B ; E5A089E19940503C1B3CB418A3045F0AA1B649E3D1810F3E798BD7982324C0EB ; 5AD9CC505438D174A3B23BF84E5CD812C224B43151C09FE5C96B0763625F8851 ; D4F68D359C2B50DADF954CABA682C4B66CE49E7E3D24294F3F3B2951675D6E8B ; 1E3B04AD05B666B17FA0EED595268E783A533F7C2E0B26EDA7717C5CD61DDE31 ; 0F139BE9D0FD542F9A72ADFDCF698C7643036CDA19377C14B0C01F5F50799DF9 ; F38BCC4639F876F49D0544E0A93D6FE940F9A76A55E1B892DD03BA8A10899AF0 ; 44E8DCB249CDB5D6B084BAD33F1141367C0FD92A14745092594DA6228BE4577C ; 63838C135F4AC6C6F1CE779469FCA3C4A3C37FDDADF8197DE1BB2ECEC5A0AD21"
"Constructed inter-Slavic","Interslavic/Panslavic","1","0","1","direct_web_text_candidate_not_publication","no_target_language_tex_latex_source_package_promoted","direct_web_text_candidate_publication_blocked","Wikimedia/Incubator Algebra raw wikitext is cached; no publication/source-package authority or qualified review exists.","Seek publication-level Interslavic/Panslavic mathematical source or qualified reviewer before authority claims.","Publication-level source, stable source package, or qualified review establishing specific terms.","Rebuild if a direct publication/source package appears or the cached web-text changes materially.","source-canon usability only; no native review, canonical approval, license clearance, accepted correction, or translation completion claimed","blocked_interslavic_direct_math_publication","direct Interslavic web text; algebra; groups; rings; fields; vector spaces; source-package gap","https://incubator.wikimedia.org/wiki/Wp/isv/Algebra ; https://incubator.wikimedia.org/wiki/Wp/isv/Algebra?action=raw","C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\isv_wikimedia_incubator_algebra.html ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\isv_wikimedia_incubator_algebra.wikitext","9594279A54EA7C6CF42EEF95368AF43BD0B4A5EEC922B1B099D3DD676C92440A ; DDDABD52139115EA0631B9794B59EDF945A0020E9E73E7A90A380266FEDBE9A9"
"South Slavic","Macedonian","2","2","0","local_fulltext_witness","no_target_language_tex_latex_source_package_promoted","stable_local_fulltext_witness_recently_promoted_no_tex","Local fulltext witness exists; no source-level TeX/source package is present.","Keep local fulltext hashes stable; watch for official TeX/source or review-return triggers.","No immediate promotion needed; promote only if official source package or accepted correction appears.","Rebuild if UKIM/UCG source hash drifts, official source package appears, or accepted review/source-defect evidence lands.","source-canon usability only; no native review, canonical approval, license clearance, accepted correction, or translation completion claimed","candidate_macedonian_math_lexicon_2021 ; candidate_macedonian_ukim_nary_algebra","mathematical lexicon; algebra terminology; groups; fields; modules ; algebraic structures; n-ary algebra; semigroups; operations","https://ukim.edu.mk/wp-content/uploads/2025/06/matematicki_leksikon.pdf ; https://ukim.edu.mk/e-book/00015/ ; https://ukim.edu.mk/wp-content/uploads/2025/06/algebarski_n-arni_strukturi.pdf ; https://ukim.edu.mk/studii/izdavachka-dejnost-02/e-knigi/","C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\mk_ukim_matematicki_leksikon_2021.pdf ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\mk_ukim_matematicki_leksikon_2021.pdftotext.txt ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\mk_ukim_algebarski_n_arni_strukturi_2016.pdf ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\mk_ukim_algebarski_n_arni_strukturi_2016.pdftotext.txt","B01868524F3757A96D2AF13D91D8DC54AA1913A5011E16512161D29C20C70B91 ; 8D6A8BBB7EEABE9F92954E387FCB7EBB40180F4A24279ADD8722213E6448EA30 ; 64F0AAA257DE1F1E348A049858D491CB2FD4BFFE050F9BD4A902D5041254E14A ; 197BD48333DCE976CC56C15108A90030B02CF1282939D0BA7186A3D9FD9A95D4"
"South Slavic","Montenegrin","1","1","0","local_fulltext_witness","no_target_language_tex_latex_source_package_promoted","stable_local_fulltext_witness_recently_promoted_no_tex","Local fulltext witness exists; no source-level TeX/source package is present.","Keep local fulltext hashes stable; watch for official TeX/source or review-return triggers.","No immediate promotion needed; promote only if official source package or accepted correction appears.","Rebuild if UKIM/UCG source hash drifts, official source package appears, or accepted review/source-defect evidence lands.","source-canon usability only; no native review, canonical approval, license clearance, accepted correction, or translation completion claimed","blocked_montenegrin_math_algebra_source","Montenegrin/UCG algebra; finite fields; rings; polynomial rings; Galois; coding theory","https://vladimirbozovic.net/univerzitet/bozovic/wp-content/uploads/2018/09/Teorija-kodiranja-i-kona%C4%8Dna-polja-v2.pdf ; https://www.ucg.ac.me/SP_ECTS.php?oz_del=7&sif_del=1&sif_mat=2","C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\cnr_ucg_teorija_kodiranja_i_konacna_polja_2017.pdf ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\cnr_ucg_teorija_kodiranja_i_konacna_polja_2017.pdftotext.txt ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\source_canon_witness_cache_20260704\cnr_ucg_ects_matematika_i_racunarske_nauke_2017.html","F175D3BB5B754207A4F55112A4869323501AA8654F937AC9007480B8BF8ED906 ; C1A8AA0297872771F3B5D831CD94CAAADF8A2821009C3E09703A8B515B7A1F68 ; 353DAD478A952DD60F876852539A0E8D776B2533CCB2B9B3B44DA5D9CAFE76EE"
"West Slavic","Polish","6","6","0","local_fulltext_witness","no_target_language_tex_latex_source_package_promoted","stable_local_pdf_text_witnesses_no_tex","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","Watch for source-level TeX/arXiv/e-print packages or accepted review/source-defect triggers.","Promote only if an official/source-level package, permission-clean fulltext, or accepted qualified review/source-defect evidence appears.","No rebuild from this matrix alone; rebuild only on hash drift, accepted correction, source defect, or new official source witness.","source-canon usability only; no native review, canonical approval, license clearance, accepted correction, or translation completion claimed","mathref_polish_impan_algebra_lecture3 ; mathref_polish_mimuw_algebra2_galois ; mathref_polish_mimuw_left_ideals_idempotents ; mathref_polish_mimuw_noncommutative_body ; mathref_polish_uj_algebra1_noetherian ; mathref_polish_uwr_algebra2_rings","rings; fields/Galois; groups/representations/algebras ; fields/Galois; groups/representations/algebras ; groups/representations/algebras ; Noetherian/Hilbert basis; fields/Galois; groups/representations/algebras","https://www.impan.pl/~pmh/teach/algebra/lectures/lecture3.pdf ; https://www.mimuw.edu.pl/~aboj/algebra2/algebra_2.pdf ; https://mimuw.edu.pl/~amecel/prezentacja_Mecel.pdf ; https://www.mimuw.edu.pl/~torunczy/GAL/09-10/Sem2/VII.KW.pdf ; https://slawomir-cynk.u.matinf.uj.edu.pl/images/videos/AlgebraI.pdf ; https://ii.uni.wroc.pl/~kosciels/algebra/pliki/alg2-03.pdf","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\polish_impan_algebra_lecture3.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\polish_impan_algebra_lecture3.txt ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\polish_mimuw_algebra2_galois.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\polish_mimuw_algebra2_galois.txt ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\polish_mimuw_left_ideals_idempotents.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\polish_mimuw_left_ideals_idempotents.txt ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\polish_mimuw_noncommutative_body.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\polish_mimuw_noncommutative_body.txt ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\polish_uj_algebra1_noetherian.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\polish_uj_algebra1_noetherian.txt ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\polish_uwr_algebra2_rings.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\polish_uwr_algebra2_rings.txt","36859CBC3EEDC4003A84CF21174FD2F339AA53157AB4708A262CB799B2B34DA2 ; 2C8D15E14E196533F8E0790325A4F1923FF5B54824EA87C8A44AD046CACDB684 ; D4E871500B4A874E0485EBE8CF29A7DAA2ABB12777C3DC4B55C129CD093D95F6 ; 0853EC4137047BD878E7D345ADEB69CFBD31F0EA8DE6D21ED1A910A8BF70C6CD ; 392464B73274B97C2B0C751608AB256EBAC7BCA2BF9C6F86772BE2CD08E1CE9F ; 44764FFAED205328E1D2F39FA5E841827160B77D1243818F80322797F3F58C4A ; 97BC4806785E5A0EFCD0139ABFA9FA1A895CD8BB0447675882034B64A1853989 ; 0A9E5A16E340C45D1A23738411FEDC7DA5FC1C3DED2570C0C55901D7550B8B00 ; 557F3561FF48F81DD9BBEF9C7D8876EFE4D7AF216DD4161582F6EEA0D8E3DF33 ; 363A8B44A515A75608B3919711DBA6DDC8F9BD0399703F0EC26A249F501C6129 ; C6D562F5511D46E7CB0A4A9E0C8E6684B4295CBEDB7C17A9694112B214BC98B9 ; BB93F562BE2E953DA47A70BCCBBF351524019E333ACDC86CB20790D425F94F79"
"South Slavic","Serbian","1","1","0","local_fulltext_witness","no_target_language_tex_latex_source_package_promoted","stable_local_pdf_text_witnesses_no_tex","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","Watch for source-level TeX/arXiv/e-print packages or accepted review/source-defect triggers.","Promote only if an official/source-level package, permission-clean fulltext, or accepted qualified review/source-defect evidence appears.","No rebuild from this matrix alone; rebuild only on hash drift, accepted correction, source defect, or new official source witness.","source-canon usability only; no native review, canonical approval, license clearance, accepted correction, or translation completion claimed","mathref_serbian_belgrade_algebra_i_lecture9","rings; fields/Galois; groups/representations/algebras","https://poincare.matf.bg.ac.rs/~zoran.petrovic/Algebra%28I%29-predavanja_9.pdf","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\serbian_belgrade_algebra_i_lecture9.pdf ; C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\serbian_belgrade_algebra_i_lecture9.txt","D9387411DF94C801D4452D15E7FCF17293B692BA29338449D138D6CA304AADE1 ; E46326B08B3CB17A69482E90BBF09C1CAAB2DE4037D4F9F2662331834FB9D93B"
