lane,root,selected_packet_or_file,selected_exists,selected_file_count,root_file_count,latest_file,latest_file_sha256,manifest_path,manifest_sha256,sha256sums_path,sha256sums_sha256,source_gate_status,b3_route,claim_boundary
Romance,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_8E491924_CURRENT_HEAD_DELTA_20260706.md,True,1,1115,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\NOETHER_ROMANCE_BLOCKER_RESOLUTION_OUTPUT_MANIFEST_20260704.sha256,A0390CC40825EAD8097D47906E03F29F898217F797EF8E98EF1ABD452952C436,,,,,draft-capable-if-source-gated; current visible packet is 8E and needs E884 rescan,do not push from coordinator; hand this row plus packet manifest/SHA to B3,"source-use/provenance/gap/generated-draft/non-canonical coordination only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Arabic RTL,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_8E491924_WHOLE_CORPUS_CONTINUATION_DRAFT_SOURCE_20260706,True,31,711,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_8E491924_WHOLE_CORPUS_CONTINUATION_DRAFT_SOURCE_20260706\PACKAGE_VALIDATION.json,8FA0302FFBF0601656A21D251DA47351398F4697CD54D4F6130E626D30E05297,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_8E491924_WHOLE_CORPUS_CONTINUATION_DRAFT_SOURCE_20260706\MANIFEST.csv,C241FEABF054F0C61D3878FE6B61822AD88EC99A7E1F87C9D6CA53E660B5EFE5,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_8E491924_WHOLE_CORPUS_CONTINUATION_DRAFT_SOURCE_20260706\SHA256SUMS.txt,A8C62F628ACD0A342D3DBDF7C2C9BE7CBFA129E29941AC5AB329D72E10B1ADAB,draft-capable-if-source-gated; current visible packet is 8E and needs E884 rescan,do not push from coordinator; hand this row plus packet manifest/SHA to B3,"source-use/provenance/gap/generated-draft/non-canonical coordination only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Persianate/Tajik,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_E88470EA_BRANCH_ZIP_WITNESS_CONTINUATION_20260706,True,26,710,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_E88470EA_BRANCH_ZIP_WITNESS_CONTINUATION_20260706\SHA256_VERIFICATION_20260706.csv,FFC7D16CDB8D3BFBCFBD8CDFE1E36739DC20FC59D96F1FA665C4EC9AFDB49C1D,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_E88470EA_BRANCH_ZIP_WITNESS_CONTINUATION_20260706\MANIFEST.csv,3BD063DCC593314D8EC37C4E511E92FB1881DF42BA9A0D77C7E860F5D202752A,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_E88470EA_BRANCH_ZIP_WITNESS_CONTINUATION_20260706\SHA256SUMS.txt,75A403117A0C320B29F8C85A6DFEA70EB08CC36D8A305953646FCA396B38E81C,E884-current source/draft/Fable witness continuation present,do not push from coordinator; hand this row plus packet manifest/SHA to B3,"source-use/provenance/gap/generated-draft/non-canonical coordination only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CJK draft,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_8E491924_SOURCE_CORPUS_VISIBILITY_20260706,True,14,875,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\SHA256SUMS.txt,729766BA84475D44D4B4AD7FE0A5BA53EBBA5402C436BF55377F19BEB327AB7E,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_8E491924_SOURCE_CORPUS_VISIBILITY_20260706\MANIFEST.csv,76BC2D923A57B38BDBBB178239E4207B3440CD7630FED37E502EF0097CC7ED73,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_8E491924_SOURCE_CORPUS_VISIBILITY_20260706\SHA256SUMS.txt,D81E865A630C144A2C91609731EE0B174AB159046F0028A6E8AD9CA2F6237F6D,source-recovery and draft-support carry-forward; current visible packet is 8E and needs E884 rescan,do not push from coordinator; hand this row plus packet manifest/SHA to B3,"source-use/provenance/gap/generated-draft/non-canonical coordination only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CJK native/source,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_8E491924_SOURCE_BASELINE_DELTA_REFRESH_20260706,True,19,1171,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_8E491924_SOURCE_BASELINE_DELTA_REFRESH_20260706.zip.sha256,3331506EB09570229B40FDDFAB3978907D914DDA3734F8FD2483B6364DDC3E75,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_8E491924_SOURCE_BASELINE_DELTA_REFRESH_20260706\MANIFEST.csv,99ECCF575A25668BD499FF955412369FEEB7A18B02E1E8D6197CA5BD5340862B,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_8E491924_SOURCE_BASELINE_DELTA_REFRESH_20260706\SHA256SUMS.txt,44C2433AB969A84190BD82DA2184D8F193E451349339781284948EABF3F8332B,source baseline support carry-forward; current visible packet is 8E and needs E884 rescan,do not push from coordinator; hand this row plus packet manifest/SHA to B3,"source-use/provenance/gap/generated-draft/non-canonical coordination only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R3 Arabic/Persianate linear algebra,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706,True,14,1598,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706_20260706T131552Z\SHA256SUMS.txt,ABD182F3C82AB063CEB0AAB2E76F77D1E1C2A3EF2457FF592BB5BE9F3C98B495,,,,,source-gated support carry-forward; branch delta includes R3 visibility corrections,do not push from coordinator; hand this row plus packet manifest/SHA to B3,"source-use/provenance/gap/generated-draft/non-canonical coordination only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R6 Indigenous/Creole/Sign,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706,True,15,1014,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706\SHA256SUMS.txt,52B0F1BBEEA18456A49B2759F8F7F8C3207416BB4A36C21082FB8F3C1D825D39,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706\MANIFEST.csv,3930C0544172D605B32B7CBA2165E281CC4B8E930C8C7917F81C83F95266C74A,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_8E491924_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706\SHA256SUMS.txt,52B0F1BBEEA18456A49B2759F8F7F8C3207416BB4A36C21082FB8F3C1D825D39,source-recovery support carry-forward; current visible packet is 8E and needs E884 rescan,do not push from coordinator; hand this row plus packet manifest/SHA to B3,"source-use/provenance/gap/generated-draft/non-canonical coordination only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R7 Malay/SEA/Pacific,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_8E491924_WHOLE_CORPUS_CONTINUATION_20260706,True,37,1052,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\SHA256SUMS.txt,21F66E22451B97A36694AF96D0F8A80DC8B3F767EE995140715C7FB5DC4FB470,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_8E491924_WHOLE_CORPUS_CONTINUATION_20260706\MANIFEST.csv,E57C9287EB1D5A9864D4E80EE08FC3A7809D3A22C3BF37081099DDCA2649EEAF,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_8E491924_WHOLE_CORPUS_CONTINUATION_20260706\SHA256SUMS.txt,53ED31E34DE79A3262F6802235EB60C49A1B2B54C128BD22A6797ECC5D422AB4,source-recovery support carry-forward; current visible packet is 8E and needs E884 rescan,do not push from coordinator; hand this row plus packet manifest/SHA to B3,"source-use/provenance/gap/generated-draft/non-canonical coordination only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R9 Africa/Horn/West,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_8E491924_SOURCE_RETURN_FOLLOWUP_20260706,True,16,1062,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\MANIFEST.csv,C4460AB92C8E457B5667CFB915129D0B8CF45A73E8B98E085D149BB7055887E4,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_8E491924_SOURCE_RETURN_FOLLOWUP_20260706\MANIFEST.csv,7AA9CE70690ACFAD51969455B216D626E35F50681590E4860A38C943A5F194AD,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_8E491924_SOURCE_RETURN_FOLLOWUP_20260706\SHA256SUMS.txt,1C3A336812C9D6EF36A57983D0AD3A6F80C83EC42E73B8EF6799EB0335BAC65B,source-return support carry-forward; current visible packet is 8E and needs E884 rescan,do not push from coordinator; hand this row plus packet manifest/SHA to B3,"source-use/provenance/gap/generated-draft/non-canonical coordination only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
OLP support,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_8E491924_CURRENT_HEAD_SUPPORT_ACCOUNTING_20260706,True,13,635,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_8E491924_CURRENT_HEAD_SUPPORT_ACCOUNTING_20260706.sha256,E333FCEE944E298EAAE5BC4E0C427CB6527E2705F37CBFFB23D612DD83E9E0DE,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_8E491924_CURRENT_HEAD_SUPPORT_ACCOUNTING_20260706\MANIFEST.csv,92B29FA1B38ED4CF04A64397BBF9DE26FF19C11E0C1D38D5FCA3EE68ED3FBADB,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_8E491924_CURRENT_HEAD_SUPPORT_ACCOUNTING_20260706\SHA256SUMS.txt,767F1B0ACADDA33D1A4005637EC8EBADF23ED6C016E8D0BC34567EE372EFCF50,support/accounting lane; not translation payload,do not push from coordinator; hand this row plus packet manifest/SHA to B3,"source-use/provenance/gap/generated-draft/non-canonical coordination only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
