row_group,rule,surface,replacement,source_file,line,context
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1308,jest ideal absolutnoj dlugosti $n$. $\mathfrak{A}_{j}$ jest invariantny pri
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,1318,$u$ prostyh idealov (bo absolutna dlugost jest $n$). Naša pomočna lema
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,2227,"$\mathfrak{U}_{r}$, ktory ima absolutnu dlugost $n$, jest izomorfno k"
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,2234,$\mathfrak{l}$ absolutnoj dlugosti $n$ iz
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,2241,"Vse lěve idealy absolutnoj dlugosti $n$ iz $\mathfrak{R}_{r,s}$ sut"
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,2244,"absolutnoj dlugosti $n$, kde pod $\mathfrak{b}$ razuměje se prosty ideal iz"
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,2249,"To, že lěve idealy imajut absolutnu dlugost $n$, t.j. razpadajut se v $n$"
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,2250,"absolutno nerazložime proste idealy, ima poslědkom tu samu dlugost v"
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,2255,"dlugosti $n$, t.j. rang jest $n \cdot t^{2}$; tedy"
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,2256,$\mathfrak{R}_{r} \times \mathfrak{S}_{s}$ jest absolutnoj dlugosti
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,2258,dlugosti $n$.
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,2298,lěve idealy absolutnoj dlugosti $n$.} Po definiciji vyhodi
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,2307,"$\mathfrak{Z}$, tedy i ravnu absolutnu dlugost --- a ona od"
length_orthography,dlugost->dolgost,dlugost,dolgost,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,2308,$\mathfrak{U}_{r}$ jest $=n^{2}$ --- každy člen jest absolutnoj dlugosti
obci_obsc,obšč->obć,obšč,obć,germanOut/renders/endmatter/post45/source-fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex,312,mnogo obščejšoj postavjenosti problema davajut se samo gorne granice.
take_vzeti_nasal,vzet->vzęt,vzet,vzęt,germanOut/renders/paper04/section09/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex,42,"ędok priměnjenja rędovogo razloženja ostavaje ješče proizvoljny, možemo posebno vzeti taky porędok, ktory odgovarja porodženju obćih svijanj iz osnovnyh svijanj. Ta"
obci_obsc,obšč->obć,obšč,obć,germanOut/renders/paper06/introduction/interslavic/v001/Noether_Paper06_Introduction_Interslavic_v001.tex,32,"Iz pytanj o bazah pri obščih sistemah do sega bylo znajemo samo eksistovanje modulnoj bazy, garantirano Hi"
obci_obsc,obšč->obć,obšč,obć,germanOut/renders/paper06/introduction/interslavic/v001/Noether_Paper06_Introduction_Interslavic_v001.tex,60,"ntno podružje prijeto kako polje v najobščejšem smyslu. Pytanje, koliko pri tyh obščejših prědpostavkah dane tut teoremy ostajut validne, v slědujučem ne dotyka se;"
obci_obsc,obšč->obć,obšč,obć,germanOut/renders/paper06/section06/interslavic/v001/Noether_Paper06_Section06_Interslavic_v001.tex,32,"II. Za polja $\Kfield_{n2}$ minimalna baza eksistuje vsegda togda i, v obščem, samo togda, kogda dopušča se algebraično razširenje koeficientnogo polja $\O"
obci_obsc,obšč->obć,obšč,obć,germanOut/renders/paper06/section06/interslavic/v001/Noether_Paper06_Section06_Interslavic_v001.tex,34,III. Za polja $\Kfield_{n\rho}$ ($\rho\ge3$) v obščem ne eksistuje minimalna baza. Harakterizacija specialnyh polj $\Kfield_{n\rho}
take_vzeti_nasal,vzet->vzęt,vzet,vzęt,germanOut/renders/paper06/section11/interslavic/v001/Noether_Paper06_Section11_Interslavic_v001.tex,46,"{\itshape jest neobračanje v nulju rezultanta, vzetogo po $x_1,\ldots,x_\rho$, členov najvyššej dimenzije}"
