witness_id,source_family,source_canon_priority,source_format,source_url,license_signal,local_evidence_path,local_hash_or_git_head,topic_tags,actual_lane_output_binding,owner_route,review_only_or_source_status,current_gap_or_blocker,mapping_decisions,translations_created,approvals_recorded,reviewer_returns_ingested,source_text_or_excerpt_files,canonical_or_approval_claim
K-SCW-001,Open Logic Project / Open Logic Text,1_source_repo_first,LaTeX Git repository,https://github.com/OpenLogicProject/OpenLogic/ ; https://openlogicproject.org/download/,CC_BY_4_0_signal_from_repo_and_project_download_page,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\work\OpenLogic,git_head_9f12419d4971165f2fd4ff8cfee95c8dc8b1d019,olp; proof-literacy; sets; functions; relations,K-DSP-001; K-BIND-004,proof-literacy owner plus requesting language owner,source_witness_pointer_only,exact excerpt selection and reviewer return absent,0,0,0,0,0,none
K-SCW-002,Open Logic Project relation/function subtree,1_source_files_first,local LaTeX files,https://github.com/OpenLogicProject/OpenLogic/tree/master/content/sets-functions-relations,CC_BY_4_0_signal_from_parent_repo,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\work\OpenLogic\content\sets-functions-relations,sets-functions-relations.tex_sha256_62C683BA88DF4742CBEF61369A755FBAE8DD53E2173D5F3D1B8A9FC675F27538; functions.tex_sha256_CE481E97A8F301C749D1461326B4EE3D0792B4ADC15A1FCEB7C6ED3B58CECA54; relations.tex_sha256_69E7B017E60673C488D1EC98C186ED0986BC1489B8554F848C95C189AF5C9E54,sets; relation basics; function basics; composition; inverses,K-DSP-001; K-BIND-004,requesting corpus translation lane plus language owner,source_witness_pointer_only,no source prose copied; no approved excerpt list,0,0,0,0,0,none
K-SCW-003,Discrete Mathematics: An Open Introduction edition source,1_source_archive_first,PreTeXt edition branch source cache,https://github.com/oscarlevin/discrete-book/ ; https://discrete.openmathbooks.org/,CC_BY_NC_SA_4_0_signal_from_cached_DMOI_license_deed,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\dmoi_exact_edition_license_20260630T070010Z,edition_source_commit_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799; cache_manifest_sha256_35CBCE00670E62CAC676D9ACCE6E38A6669923ABBB84DE5A40615F69D8491B79,discrete mathematics; proof; sets; functions; relations,K-DSP-002; K-BIND-004,relation/function core plus requesting language owner,source_witness_pointer_only,license reconciliation and reviewer-scope return still required before use beyond pointer,0,0,0,0,0,none
K-SCW-004,DMOI relation/function coordinate scan,1_cached_source_scan_first,PreTeXt source scan JSON plus source_files subtree,https://github.com/oscarlevin/discrete-book/tree/edition/source,CC_BY_NC_SA_4_0_signal_from_cached_DMOI_license_deed,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\dmoi_exact_edition_license_20260630T070010Z\edition_source_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799,relation_function_coordinate_file_summaries_sha256_044BDE93019E9D283B30D582ED29F3F726D02A80505C7F521D9CA116233B03E6; relation_function_coordinate_scan_rows_sha256_63147BEA383059E1F4214A3A1BA16E813F54DF15BD626733F376D779D8D4828C,relations; functions; graph theory relations; intro functions,K-DSP-002; K-BIND-003; K-BIND-004,relation/function core plus language owner,source_witness_pointer_only,scan rows are support pointers only and are not selected excerpts,0,0,0,0,0,none
K-SCW-005,OpenIntro IMS2 / OpenIntro numeracy source cache,1_source_cache_first,Quarto/GitHub file cache plus OpenIntro license cache,https://github.com/OpenIntroStat/ims ; https://www.openintro.org/license/,CC_BY_SA_3_0_signal_from_OpenIntro_license_page,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\openintro_ims2,github_ims_index_qmd_at_b88f367a_sha256_E0745BF7528B494B188E7E62AD86D0322A4CA8A9271A439319372652A8E52117; openintro_license_page_sha256_0308B35457E00BF873ED5BAEF6B60C5C0DB91C748042EC9DF21463DBF9B104A7,numeracy; statistics; function-like mappings; input-output readings,K-DSP-007; K-BIND-007; K-BIND-008,OpenIntro/source-policy owner lane,source_witness_pointer_only,share-alike attribution plan and owner acceptance missing; no mapping authorization,0,0,0,0,0,none
K-SCW-006,OpenIntro Statistics source repository,2_external_source_repo,LaTeX Git repository,https://github.com/OpenIntroStat/openintro-statistics ; https://www.openintro.org/license/,CC_BY_SA_3_0_signal_from_OpenIntro_license_page,not_cached_by_session_k_for_this_repo,not_applicable_no_local_hash_for_this_repo,statistics; numeracy; public-source support,K-DSP-007; K-POG-003,OpenIntro/source-policy owner lane,missing_local_cache_row,local exact commit/hash not captured in Session K; use only as source URL pointer,0,0,0,0,0,none
K-SCW-007,A First Course in Linear Algebra,2_source_repo_cache,TeX Git repository and cached GitHub metadata,https://github.com/rbeezer/fcla ; https://linear.pugetsound.edu/,GFDL_signal_from_repo_readme_and_COPYING_cache,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\fcla_gfdl_exact_commit_20260630T070951Z,master_commit_cef5ccf49497fa62205a4320b47a440642101e7d; COPYING_sha256_A72BE10BE0249BDABDD319A3AFF491D7589876953A62FBD6521862C8D9C6D0DC,linear algebra; linear maps; transformations; relation/function extension,K-DSP-005,R3 linear algebra lane or requesting language owner,source_witness_pointer_only,GFDL packet separation and compatibility plan required before package use,0,0,0,0,0,none
K-SCW-008,Abstract Algebra: Theory and Applications,3_source_repo_cache,PreTeXt Git repository and cached GitHub metadata,https://github.com/twjudson/aata ; https://judsonbooks.org/abstract-algebra-theory-and-applications/,GFDL_signal_from_repo_readme_and_COPYING_cache,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\aata_gfdl_exact_commit_20260630T071615Z,master_commit_8ec4c7df3d70975110143da0aefb5157bfdcf746; COPYING_sha256_B7D47749512A424173F6A20DAEEA7B00F36B9F5EF95C25930FDBC3BD549B8983,abstract algebra; functions; homomorphisms; equivalence relations,K-DSP-006,algebra source-policy owner plus language owner,source_witness_pointer_only,GFDL packet separation and algebra-owner review required,0,0,0,0,0,none
K-SCW-009,Stacks Project,4_external_source_repo,TeX Git repository,https://github.com/stacks/stacks-project ; https://stacks.math.columbia.edu/contribute,GNU_Free_Documentation_License_signal_from_contribution_page,not_cached_by_session_k,not_applicable_no_local_hash,advanced algebraic geometry; Noether-adjacent terminology; advanced relation/function comparator,K-DSP-008,advanced algebra/Noether owner plus language owner,missing_local_cache_row,advanced reference only; exact chapter/source hash not captured locally by Session K,0,0,0,0,0,none
K-SCW-010,OpenStax college algebra bundle,2_external_source_repo,content repository,https://github.com/openstax/osbooks-college-algebra-bundle ; https://openstax.org/books/algebra-and-trigonometry-2e/pages/preface,CC_BY_NC_SA_4_0_signal_from_OpenStax_repo_and_book_preface,not_cached_by_session_k,not_applicable_no_local_hash,school-to-undergraduate function bridge; algebra; trigonometry,K-DSP-003; K-DSP-004,access/public-service translation lanes by owner,missing_local_cache_row,book-specific edition/license/hash capture required before any package use,0,0,0,0,0,none
