"evidence_id","archive","member_path","bytes","sha256","width_px","height_px","mode","dpi_x","dpi_y","review_scale_dpi","source_scan_index","printed_folio","expose","scope","evidence_role","qa_disposition","parent_scan_sha256"
"SGA7II-XX-XXI-SRCIMG-0001","SGA7II_ExposeXX_XXI_SourceAudit_Images_idx364_391_Through_XXI_4_20260802.zip","translated_idx364_391/expose_XX_idx364_1100dpi/Number12-365.png","2170487","416A76E44E05C2A44BAA1A3C4AE2E7FF92DBB8073F2200E9308815D14C331844","7380","11000","RGB","1099.998","1099.998","1100","364","357","XX","Expose XX Section 4.4 through complete Expose XX and Expose XXI through Section 4 and bibliography","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-XXI-SRCIMG-0002","SGA7II_ExposeXX_XXI_SourceAudit_Images_idx364_391_Through_XXI_4_20260802.zip","translated_idx364_391/expose_XX_idx364_details_5000dpi/bottom_mstar_Q.png","574812","967F75D9685B733FCE92D2DD4726E8D21277EA5D589009C6986B51CD3358CED5","29545","6364","RGB","4999.990","4999.990","5000","364","357","XX","Expose XX Section 4.4 through complete Expose XX and Expose XXI through Section 4 and bibliography","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-XXI-SRCIMG-0003","SGA7II_ExposeXX_XXI_SourceAudit_Images_idx364_391_Through_XXI_4_20260802.zip","translated_idx364_391/expose_XX_idx364_details_5000dpi/formula_4_4_6.png","356533","4B1A822A8DA0A7BFA964448672859112C61AD1678CB3B1F099E5E9EF4939E200","28182","4091","RGB","4999.990","4999.990","5000","364","357","XX","Expose XX Section 4.4 through complete Expose XX and Expose XXI through Section 4 and bibliography","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-XXI-SRCIMG-0004","SGA7II_ExposeXX_XXI_SourceAudit_Images_idx364_391_Through_XXI_4_20260802.zip","translated_idx364_391/expose_XX_idx365_1100dpi/Number12-366.png","1874859","9FA407A8101AE72662BFC64EDBDD50E62D8F5C70DE03F7997C6AA67A0F5D224E","7380","11000","RGB","1099.998","1099.998","1100","365","358","XX","Expose XX Section 4.4 through complete Expose XX and Expose XXI through Section 4 and bibliography","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-XXI-SRCIMG-0005","SGA7II_ExposeXX_XXI_SourceAudit_Images_idx364_391_Through_XXI_4_20260802.zip","translated_idx364_391/expose_XX_idx365_details_5000dpi/formula_4_4_10.png","546808","F1D95BEDE2E973A91A7DB03F36C4B1EC66FBA2FFA8CF1F4DC76031751EA899F6","30000","5909","RGB","4999.990","4999.990","5000","365","358","XX","Expose XX Section 4.4 through complete Expose XX and Expose XXI through Section 4 and bibliography","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-XXI-SRCIMG-0006","SGA7II_ExposeXX_XXI_SourceAudit_Images_idx364_391_Through_XXI_4_20260802.zip","translated_idx364_391/expose_XX_idx366_1100dpi/Number12-367.png","1641332","8A80CE9CC5C3CFD79D7B3AA7D64512D0FC80BDA6D9167BC2B4A962223D745594","7380","11000","RGB","1099.998","1099.998","1100","366","359","XX","Expose XX Section 4.4 through complete Expose XX and Expose XXI through Section 4 and bibliography","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-XXI-SRCIMG-0007","SGA7II_ExposeXX_XXI_SourceAudit_Images_idx364_391_Through_XXI_4_20260802.zip","translated_idx364_391/expose_XX_idx367_1100dpi/Number12-368.png","1772153","E452380B0A3BA5D6E67BB9C537BDDDB8E2D90019B15F5A285866BF47D34CF846","7380","11000","RGB","1099.998","1099.998","1100","367","360","XX","Expose XX Section 4.4 through complete Expose XX and Expose XXI through Section 4 and bibliography","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-XXI-SRCIMG-0008","SGA7II_ExposeXX_XXI_SourceAudit_Images_idx364_391_Through_XXI_4_20260802.zip","translated_idx364_391/expose_XX_idx367_diagram_5000dpi/A_top_left.png","342336","067FA1BAD45535D5775BBAB9DD9A9BD82F0F437A0E493D15E0A920203B4960DA","15000","7273","RGB","4999.990","4999.990","5000","367","360","XX","Expose XX Section 4.4 through complete Expose XX and Expose XXI through Section 4 and bibliography","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-XXI-SRCIMG-0009","SGA7II_ExposeXX_XXI_SourceAudit_Images_idx364_391_Through_XXI_4_20260802.zip","translated_idx364_391/expose_XX_idx367_diagram_5000dpi/B_top_right.png","333026","41887F32D13B17949CB74FFFDD07FE5E014C4BDD5AE84839E8DF54710D9887C3","14545","7273","RGB","4999.990","4999.990","5000","367","360","XX","Expose XX Section 4.4 through complete Expose XX and Expose XXI through Section 4 and bibliography","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-XXI-SRCIMG-0010","SGA7II_ExposeXX_XXI_SourceAudit_Images_idx364_391_Through_XXI_4_20260802.zip","translated_idx364_391/expose_XX_idx367_diagram_5000dpi/C_bottom_left.png","281436","75BDE19D8B383B2C91AF31F729314A5CD19DB84EB5AE04F408469EA8A3F72269","11364","7727","RGB","4999.990","4999.990","5000","367","360","XX","Expose XX Section 4.4 through complete Expose XX and Expose XXI through Section 4 and bibliography","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
