"input_path","exists","bytes","sha256","role"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706\B3_POST_81DB4BA9_R3_R6_OLDB_SOURCE_CORPUS_ROUTING_20260706_AUDIT.md","True","2760","c80ad9992236d135f44947c9f23f364f908d678f0d548dbbb5e941a540bc1ab4","B3_branch_visible_packet_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706\B3_POST_81DB4BA9_R3_R6_OLDB_SOURCE_CORPUS_ROUTING_20260706_THREAD_ROUTING.csv","True","2523","64c31437762722f9f799daafe70af351f1287f9c48e10c3fb76ffceb758eedba","B3_branch_visible_packet_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706\B3_POST_81DB4BA9_R3_R6_OLDB_SOURCE_CORPUS_ROUTING_20260706_ZIP_ENTRY_INDEX.csv","True","2861801","6ba377f3f1545617b2518c4d900005131ecd54d8fa11c8ab3288302f302b4b5e","B3_branch_visible_packet_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706\B3_POST_81DB4BA9_R3_R6_OLDB_SOURCE_CORPUS_ROUTING_20260706_MANIFEST.csv","True","47085","43d2dd06fe302fc967fffff921bcb7f2af2ea4cc6405dd52abc32ad35acce9ae","B3_branch_visible_packet_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706\B3_POST_81DB4BA9_R3_R6_OLDB_SOURCE_CORPUS_ROUTING_20260706_PACKET_SHA_VERIFY.csv","True","18411","e3be44b13eefa8864fefacde0f7ef5ba146335c46892b5995c1102fbf0e612ab","B3_branch_visible_packet_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706\B3_POST_0398AE9_R6_OLDB_81DB_RETRY_AUDITS_20260706_AUDIT.md","True","1465","8ef206504706d91977168dc3b20b825dd53ac2ecb6165cbacc6dc2b1356c9ee6","B3_branch_visible_packet_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706\B3_POST_0398AE9_R6_OLDB_81DB_RETRY_AUDITS_20260706_MANIFEST.csv","True","14519","d1df1465511f7c5436b9c520d84ee8c87f388c09499ce97b720520da62b775a1","B3_branch_visible_packet_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706\B3_POST_0398AE9_R6_OLDB_81DB_RETRY_AUDITS_20260706_PACKET_SHA_VERIFY.csv","True","6336","be39f802528d79869f7e19cdcba7a9630dca2003548a77b0bbda45291d63667c","B3_branch_visible_packet_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT_20260706\SUMMARY.json","True","2750","c6d4454e60ae43fa6ca45677361a9a2c553424ffdfef9bce2563bbef8f0db92c","OldB_retry_audit_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT_20260706\SOURCE_BODY_SIGNAL_PATH_LEDGER.csv","True","1846476","1ae05aa78ce4caea2c63088777a6c2911297fc43aa97fe956aa31c8ae6797c2e","OldB_retry_audit_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT_20260706\PACKAGE_BODY_OR_SOURCE_BEARING_ROOTS.csv","True","30019","2a48a5e87969caa74a66c249a76d32f8b7c85159b88572e0a0c0942e96714cda","OldB_retry_audit_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT_20260706\PACKAGE_METADATA_ONLY_ROOTS.csv","True","16996","3bf2782d39bea2f7140c6455cecaddd32144e8c3bf379121dbff60f8ad24e1e9","OldB_retry_audit_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_81DB4BA9_MANUAL_ACCESS_RECOVERY_ESCALATION_20260706\MANIFEST.csv","True","2126","a6af1d446152afed28a024191ef0a2919e2e4d21d9c58ac2679cc4c07b5c42db","R6_previous_packet_input"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_81DB4BA9_MANUAL_ACCESS_RECOVERY_ESCALATION_20260706\SHA256SUMS.txt","True","1595","7b3f01d87a6e32d391b51cfbbd10bcb7be7b6ac50fed183371d4123199fae4f0","R6_previous_packet_input"
