branch_commit,language_bucket,source_use_label,body_status,count
212dfb1c7728f7c23274714434aa35d590e1aab7,fa_IR,adjacent-source-body,adjacent_source_body_pdf,1
212dfb1c7728f7c23274714434aa35d590e1aab7,fa_IR,OCR-witness,pdftotext_sidecar,1
212dfb1c7728f7c23274714434aa35d590e1aab7,fa_IR,native-source-body,native_source_body_pdf,6
212dfb1c7728f7c23274714434aa35d590e1aab7,fa_IR,OCR-witness,OCR_witness_text_extraction_not_source_truth,6
212dfb1c7728f7c23274714434aa35d590e1aab7,fa_IR,native-source-body,native_source_archive,2
212dfb1c7728f7c23274714434aa35d590e1aab7,fa_IR,native-source-body,native_source_html_or_source_page,1
212dfb1c7728f7c23274714434aa35d590e1aab7,fa_IR,pointer-only,pointer_or_gap_marker_not_source_body,1
212dfb1c7728f7c23274714434aa35d590e1aab7,prs_AF,native-source-body,native_source_html_or_source_page,4
212dfb1c7728f7c23274714434aa35d590e1aab7,prs_AF,native-source-body,native_source_body_pdf,2
212dfb1c7728f7c23274714434aa35d590e1aab7,prs_AF,OCR-witness,OCR_witness_text_extraction_not_source_truth,2
212dfb1c7728f7c23274714434aa35d590e1aab7,tg_Cyrl_TJ,native-source-body,native_source_text,1
212dfb1c7728f7c23274714434aa35d590e1aab7,tg_Cyrl_TJ,source-discovery-body,source_discovery_body_pdf,2
212dfb1c7728f7c23274714434aa35d590e1aab7,tg_Cyrl_TJ,OCR-witness,pdftotext_weak_extraction,1
212dfb1c7728f7c23274714434aa35d590e1aab7,tg_Cyrl_TJ,native-source-body,native_source_html_or_source_page,6
212dfb1c7728f7c23274714434aa35d590e1aab7,tg_Cyrl_TJ,native-source-body,native_source_body_pdf,6
212dfb1c7728f7c23274714434aa35d590e1aab7,tg_Cyrl_TJ,OCR-witness,OCR_witness_text_extraction_not_source_truth,6
212dfb1c7728f7c23274714434aa35d590e1aab7,tg_Cyrl_TJ,pointer-only,pointer_or_gap_marker_not_source_body,1
212dfb1c7728f7c23274714434aa35d590e1aab7,tg_Cyrl_TJ,OCR-witness,pdftotext_searchable_sidecar,1
