delta_row_id,branch_commit,embedded_branch_head,language_gate,sublane,concept,target_rendering,term_alternatives_or_register_notes,source_file,source_context_locator,source_evidence_id,formula_neighboring_usage_note,reviewer_question,status_label,route_to_lane,hard_boundary,authority_boundary,b3_route,row_origin
212DFB-DRAFT-0001,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,fa_IR,Persian/Farsi Iran,Noetherian ring,نوتری,حلقه نوتری | حلقه نوتر | نوتری | نوتر; source-boundary alternatives only,source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf,pdf-page-4:line-28:utf16-24,FA-IDEAL-001-E001,"Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.",Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?,generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation; carried by 212dfb branch-visible packet,Persian/Farsi draft lane only; not Dari/Tajik/Urdu,no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion,"generated-draft/non-canonical/not-native-reviewed only; no accepted terminology, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward may upload this delta sidecar; this language lane did not push,postpush_source_gated_pretranslation
212DFB-DRAFT-0002,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,fa_IR,Persian/Farsi Iran,ideal,ایدهآل,ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only,source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf,pdf-page-4:line-30:utf16-37,FA-IDEAL-001-E002,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.",Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?,generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation; carried by 212dfb branch-visible packet,Persian/Farsi draft lane only; not Dari/Tajik/Urdu,no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion,"generated-draft/non-canonical/not-native-reviewed only; no accepted terminology, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward may upload this delta sidecar; this language lane did not push,postpush_source_gated_pretranslation
212DFB-DRAFT-0003,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,fa_IR,Persian/Farsi Iran,field,میدان,میدان | ميدان; Persian/Farsi only,source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf,pdf-page-6:line-11:utf16-40,FA-IDEAL-001-E003,Use only next to field/vector-space/scalar context in the cited Persian source row.,Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?,generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation; carried by 212dfb branch-visible packet,Persian/Farsi draft lane only; not Dari/Tajik/Urdu,no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion,"generated-draft/non-canonical/not-native-reviewed only; no accepted terminology, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward may upload this delta sidecar; this language lane did not push,postpush_source_gated_pretranslation
212DFB-DRAFT-0004,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,fa_IR,Persian/Farsi Iran,field,میدان,میدان | ميدان; Persian/Farsi only,source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf,pdf-page-6:line-19:utf16-32,FA-IDEAL-001-E004,Use only next to field/vector-space/scalar context in the cited Persian source row.,Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?,generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation; carried by 212dfb branch-visible packet,Persian/Farsi draft lane only; not Dari/Tajik/Urdu,no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion,"generated-draft/non-canonical/not-native-reviewed only; no accepted terminology, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward may upload this delta sidecar; this language lane did not push,postpush_source_gated_pretranslation
212DFB-DRAFT-0005,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,fa_IR,Persian/Farsi Iran,ideal,ایدهآل,ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only,source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf,pdf-page-7:line-31:utf16-47,FA-IDEAL-001-E005,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.",Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?,generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation; carried by 212dfb branch-visible packet,Persian/Farsi draft lane only; not Dari/Tajik/Urdu,no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion,"generated-draft/non-canonical/not-native-reviewed only; no accepted terminology, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward may upload this delta sidecar; this language lane did not push,postpush_source_gated_pretranslation
212DFB-DRAFT-0006,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,fa_IR,Persian/Farsi Iran,field,میدان,میدان | ميدان; Persian/Farsi only,source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf,pdf-page-7:line-36:utf16-30,FA-IDEAL-001-E006,Use only next to field/vector-space/scalar context in the cited Persian source row.,Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?,generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation; carried by 212dfb branch-visible packet,Persian/Farsi draft lane only; not Dari/Tajik/Urdu,no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion,"generated-draft/non-canonical/not-native-reviewed only; no accepted terminology, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward may upload this delta sidecar; this language lane did not push,postpush_source_gated_pretranslation
212DFB-DRAFT-0007,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,fa_IR,Persian/Farsi Iran,ideal,ایدهآل,ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only,source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf,pdf-page-8:line-4:utf16-30,FA-IDEAL-001-E007,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.",Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?,generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation; carried by 212dfb branch-visible packet,Persian/Farsi draft lane only; not Dari/Tajik/Urdu,no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion,"generated-draft/non-canonical/not-native-reviewed only; no accepted terminology, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward may upload this delta sidecar; this language lane did not push,postpush_source_gated_pretranslation
212DFB-DRAFT-0008,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,fa_IR,Persian/Farsi Iran,field,میدان,میدان | ميدان; Persian/Farsi only,source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf,pdf-page-9:line-12:utf16-22,FA-IDEAL-001-E008,Use only next to field/vector-space/scalar context in the cited Persian source row.,Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?,generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation; carried by 212dfb branch-visible packet,Persian/Farsi draft lane only; not Dari/Tajik/Urdu,no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion,"generated-draft/non-canonical/not-native-reviewed only; no accepted terminology, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward may upload this delta sidecar; this language lane did not push,postpush_source_gated_pretranslation
212DFB-DRAFT-0009,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,fa_IR,Persian/Farsi Iran,ideal,ایدهآل,ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only,source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf,pdf-page-10:line-18:utf16-56,FA-IDEAL-001-E009,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.",Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?,generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation; carried by 212dfb branch-visible packet,Persian/Farsi draft lane only; not Dari/Tajik/Urdu,no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion,"generated-draft/non-canonical/not-native-reviewed only; no accepted terminology, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward may upload this delta sidecar; this language lane did not push,postpush_source_gated_pretranslation
212DFB-DRAFT-0010,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,fa_IR,Persian/Farsi Iran,field,میدان,میدان | ميدان; Persian/Farsi only,source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf,pdf-page-11:line-9:utf16-40,FA-IDEAL-001-E010,Use only next to field/vector-space/scalar context in the cited Persian source row.,Can a qualified reviewer confirm this generated-draft rendering/register in the cited source context for this language gate only?,generated-draft; non-canonical; not-native-reviewed; c7fb current-head continuation; carried by 212dfb branch-visible packet,Persian/Farsi draft lane only; not Dari/Tajik/Urdu,no bridge promotion; no native review; no accepted terminology; no license clearance; no source certification; no gate promotion; no translation completion,"generated-draft/non-canonical/not-native-reviewed only; no accepted terminology, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward may upload this delta sidecar; this language lane did not push,postpush_source_gated_pretranslation
