delta_fable_id,branch_commit,embedded_branch_head,category,standard_id,required_lane_action,r3_application,status_label,persianate_tajik_application
212DFB-FABLE-0001,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,branch-weight,8F7D-STANDARD-01,ensure branch-weight ledger rows cite source body/path/hash and use State C for Interslavic where applicable,Per-gate source witness rows only; no Arabic/Persian/Urdu/Ottoman bridge weighting.,source-use/provenance/gap/draft-noncanonical,carry as Fable-standard check; no cross-sublane bridge weighting or marginal-intelligibility promotion
212DFB-FABLE-0002,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,marginal-intelligibility,8F7D-STANDARD-02,queue owner-lane review of marginal-intelligibility criteria before generated-draft terminology,No marginal-intelligibility promotion for R3; owner-lane review questions only.,source-use/provenance/gap/draft-noncanonical,carry as Fable-standard check; no cross-sublane bridge weighting or marginal-intelligibility promotion
212DFB-FABLE-0003,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,source-use,8F7D-STANDARD-03,"require source-canon/source-body path, hash, access label, and gap state before draft work",Draft rows retain source_file/context and witness rows carry hashes where available.,source-use/provenance/gap/draft-noncanonical,fa_IR/prs_AF draft rows must cite exact source body/context; tg_Cyrl_TJ remains discovery/routing until reviewed
212DFB-FABLE-0004,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,adverse-evidence,8F7D-STANDARD-04,block or flag candidate forms through adverse-evidence/do-not-use rows before term promotion,Do-not-use rows block cross-gate inheritance and generated-draft-as-witness misuse.,source-use/provenance/gap/draft-noncanonical,carry as Fable-standard check; no cross-sublane bridge weighting or marginal-intelligibility promotion
212DFB-FABLE-0005,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,normalization,8F7D-STANDARD-05,route as normalization draft rule with source pointer and adverse-evidence check,"RTL/script/register notes are scaffold support, not accepted terminology.",source-use/provenance/gap/draft-noncanonical,carry as Fable-standard check; no cross-sublane bridge weighting or marginal-intelligibility promotion
212DFB-FABLE-0006,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,marker-table,8F7D-STANDARD-06,route as interlinear/marker scaffold support; no accepted bridge surface,"Interlinear rows are semi-constructed support, not bridge/pilot surface.",source-use/provenance/gap/draft-noncanonical,carry as Fable-standard check; no cross-sublane bridge weighting or marginal-intelligibility promotion
212DFB-FABLE-0007,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,authority-boundary,8F7D-STANDARD-07,preserve noncanonical/no-review/no-approval/no-completion labels in every owner lane,No review/approval/license/gate/final/source-certification/completion claim.,source-use/provenance/gap/draft-noncanonical,all fa_IR/prs_AF/tg_Cyrl_TJ rows remain generated-draft/non-canonical or gap/discovery rows
212DFB-FABLE-0008,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,do-not-use/adverse,POSTPUSH-DNU-AR-FA,block inheritance or promotion,Do not use Arabic rows as Persian/Farsi evidence.,active boundary,carry as Fable-standard check; no cross-sublane bridge weighting or marginal-intelligibility promotion
212DFB-FABLE-0009,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,do-not-use/adverse,POSTPUSH-DNU-FA-AR,block inheritance or promotion,Do not use fa_IR rows as Arabic evidence.,active boundary,carry as Fable-standard check; no cross-sublane bridge weighting or marginal-intelligibility promotion
212DFB-FABLE-0010,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,do-not-use/adverse,POSTPUSH-DNU-FA-PRS-TG,block inheritance or promotion,Do not use fa_IR rows as Dari/Tajik evidence.,active boundary,carry as Fable-standard check; no cross-sublane bridge weighting or marginal-intelligibility promotion
212DFB-FABLE-0011,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,do-not-use/adverse,POSTPUSH-DNU-UR-HIND,block inheritance or promotion,Do not use Urdu rows as Hindustani/Hindi evidence.,active boundary,carry as Fable-standard check; no cross-sublane bridge weighting or marginal-intelligibility promotion
212DFB-FABLE-0012,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,do-not-use/adverse,POSTPUSH-DNU-OTA-PAN-TURKIC,block inheritance or promotion,Do not use Ottoman/Turkic provenance leads as Pan-Turkic witness bodies.,active boundary,carry as Fable-standard check; no cross-sublane bridge weighting or marginal-intelligibility promotion
212DFB-FABLE-0013,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,do-not-use/adverse,POSTPUSH-DNU-DRAFT-WITNESS,block inheritance or promotion,"Do not use generated drafts as native witness, accepted terminology, or review.",active boundary,carry as Fable-standard check; no cross-sublane bridge weighting or marginal-intelligibility promotion
