branch_witness_row_id,branch_commit,embedded_branch_head,language_gate,witness_id,source_title,local_or_remote_path,source_type,source_use_label,sha256,bytes,access_license_signal,next_action,persianate_tajik_boundary_note
212DFB-BRANCH-WITNESS-0001,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,ur_Arab,UR-WB-LA-000,لکیری_الجبرا,source-bodies\ur_Arab\UR-WB-LA-000_main_ur_wikibooks_linear_algebra_raw.wikitext,MediaWiki raw wikitext source-body candidate,Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization,f026efe306d9e5759c6605682664714e94a812c74595e93a4bbc5b7864ae46f6,996,Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim,extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses,adjacent or other RTL gate only; does not authorize fa_IR/prs_AF/tg_Cyrl_TJ
212DFB-BRANCH-WITNESS-0002,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,ur_Arab,UR-WB-LA-001,لکیری_الجبرا/باب_1,source-bodies\ur_Arab\UR-WB-LA-001_bab1_ur_wikibooks_linear_algebra_raw.wikitext,MediaWiki raw wikitext source-body candidate,Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization,6986ffa44e1b11c69642bc31a2b4fa3a9f5ad89ab8e66f08ea9e66cec6cbfbdb,15007,Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim,extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses,adjacent or other RTL gate only; does not authorize fa_IR/prs_AF/tg_Cyrl_TJ
212DFB-BRANCH-WITNESS-0003,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,ur_Arab,UR-WB-LA-002,لکیری_الجبرا/باب_2,source-bodies\ur_Arab\UR-WB-LA-002_bab2_ur_wikibooks_linear_algebra_raw.wikitext,MediaWiki raw wikitext source-body candidate,Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization,7f159a655be44f4ac555a322a3e0fffd9a4456f090a0dd554dec791b4cff9237,27043,Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim,extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses,adjacent or other RTL gate only; does not authorize fa_IR/prs_AF/tg_Cyrl_TJ
212DFB-BRANCH-WITNESS-0004,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,ur_Arab,UR-WB-LA-003,لکیری_الجبرا/باب_3,source-bodies\ur_Arab\UR-WB-LA-003_bab3_ur_wikibooks_linear_algebra_raw.wikitext,MediaWiki raw wikitext source-body candidate,Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization,ea5e7f629cc1d07d5b70be5c7fd29b4a17d19a53dbc152239b178b4f44ed0ff6,9159,Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim,extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses,adjacent or other RTL gate only; does not authorize fa_IR/prs_AF/tg_Cyrl_TJ
212DFB-BRANCH-WITNESS-0005,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,ur_Arab,UR-WB-LA-004,لکیری_الجبرا/باب_4,source-bodies\ur_Arab\UR-WB-LA-004_bab4_ur_wikibooks_linear_algebra_raw.wikitext,MediaWiki raw wikitext source-body candidate,Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization,eccee2ed8693a2e60e0890053f65b2766ca677bff1cd822e9783cd8293e27d42,31701,Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim,extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses,adjacent or other RTL gate only; does not authorize fa_IR/prs_AF/tg_Cyrl_TJ
212DFB-BRANCH-WITNESS-0006,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,ur_Arab,UR-WB-LA-005,لکیری_الجبرا/باب_5,source-bodies\ur_Arab\UR-WB-LA-005_bab5_ur_wikibooks_linear_algebra_raw.wikitext,MediaWiki raw wikitext source-body candidate,Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization,8806f2b3e8f7e6d4f10517a4449e8cc5c1b0fa0a265a4c1abb3bc43fed5ee4b9,16543,Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim,extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses,adjacent or other RTL gate only; does not authorize fa_IR/prs_AF/tg_Cyrl_TJ
212DFB-BRANCH-WITNESS-0007,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,ur_Arab,UR-WB-LA-006,لکیری_الجبرا/باب_6,source-bodies\ur_Arab\UR-WB-LA-006_bab6_ur_wikibooks_linear_algebra_raw.wikitext,MediaWiki raw wikitext source-body candidate,Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization,21c66b2a3832303cd1c6cbd379526995a48ddb00c2e0439ee831f31f8360e207,11061,Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim,extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses,adjacent or other RTL gate only; does not authorize fa_IR/prs_AF/tg_Cyrl_TJ
212DFB-BRANCH-WITNESS-0008,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,ur_Arab,UR-WB-LA-007,لکیری_الجبرا/باب_7,source-bodies\ur_Arab\UR-WB-LA-007_bab7_ur_wikibooks_linear_algebra_raw.wikitext,MediaWiki raw wikitext source-body candidate,Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization,7dcbd4e6d434d7c51208f1411e66361b7571a31e11d79ba5997863322e3961d5,17521,Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim,extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses,adjacent or other RTL gate only; does not authorize fa_IR/prs_AF/tg_Cyrl_TJ
212DFB-BRANCH-WITNESS-0009,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,ur_Arab,UR-WB-LA-008,لکیری_الجبرا/باب_8,source-bodies\ur_Arab\UR-WB-LA-008_bab8_ur_wikibooks_linear_algebra_raw.wikitext,MediaWiki raw wikitext source-body candidate,Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization,8816e9349b30a7d415452a1731783f333e8cf73dea6b5e850d9ce8591fba1f6d,20447,Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim,extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses,adjacent or other RTL gate only; does not authorize fa_IR/prs_AF/tg_Cyrl_TJ
212DFB-BRANCH-WITNESS-0010,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,ota_Arab,OTA-CEBIR-003,Takiyuddin'in Cebir Risalesi DergiPark PDF,source-bodies\ota_Arab\OTA-CEBIR-003_DergiPark_Takiyuddin_Cebir_Risalesi.pdf,PDF provenance lead,Ottoman/Turkic RTL-adjacent provenance lead; not literal Ottoman Arabic-script mathematical source body,a6a1b0e09ec00894c136376686a8545c8e9248a5776d8fc536affc2532fb4f3a,11264217,public web/PDF access signal; no license-clearance claim,trace manuscript image/call-number source body for Cebir/Ilm-i Cebir/Hesab Tahlili; keep Pan-Turkic separate,adjacent or other RTL gate only; does not authorize fa_IR/prs_AF/tg_Cyrl_TJ
