"field","value","label"
"packet","R3_9D7DB086_RECOVERY_SCAFFOLD_INCREMENT_20260706","b3-uploader-ready"
"local_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_9D7DB086_RECOVERY_SCAFFOLD_INCREMENT_20260706\R3_9D7DB086_RECOVERY_SCAFFOLD_INCREMENT_20260706T091108Z","local-output-path"
"branch_head","9d7db086f00e8cce0aceeefa9d80acba9fd1af50","branch-context"
"source_body_hash_check_rows","13","source-body-hash-check"
"hash_match_rows","13","source-body-hash-check"
"scaffold_rows","148","generated-draft-non-canonical-source-gated"
"blocker_recovery_rows","187","gap-recovery-blocker"
"p1_recovery_rows","163","priority-recovery"
"fable_application_rows","162","fable-source-use-adverse"
"language_gate_rows","10","language-boundary"
"b3_target_path","interlanguage-sidecar/rtl-persianate-arabic-9d7db086-recovery-scaffold-increment-20260706/","suggested-upload-target"
"claim_guard","No native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, translation completion, or cross-gate merge.","boundary"
