field,value,label
packet,R3_9BBCB11B_LOCAL_ZIP_SOURCE_CORPUS_WITNESS_20260706,b3-uploader-ready
local_path,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_9BBCB11B_LOCAL_ZIP_SOURCE_CORPUS_WITNESS_20260706\R3_9BBCB11B_LOCAL_ZIP_SOURCE_CORPUS_WITNESS_20260706T124000Z,local-output-path
branch_head,9bbcb11b3e68d29ab98d3dee20ebf27855aed936,branch-context
zip_path,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\modern-latex-manuscripts-extract-20260609-174659.zip,local-source-corpus
zip_expected_sha256,855e033d1277c17a038fde872403b70d33c190c4e1df811f9dcff988b1431884,b3-verified-source-corpus
zip_size_matches_b3_record,true,b3-verified-source-corpus
relevant_zip_entries,3607,zip-source-corpus-witness
zip_text_hit_rows,2500,zip-text-term-hit
zip_blocker_rows,931,zip-source-corpus-recovery-blocker
micro_evidence_refresh_rows,148,zip-informed-source-gated-micro-evidence
combined_blocker_rows,1156,active-recovery-blocker
claim_guard,"No raw ZIP push, bridge promotion, cross-gate merge, native review, accepted terminology, license clearance, gate promotion, source certification, final status, or translation completion.",boundary
