"ledger_group","expose","printed_source_pages","repair_count_or_scope","source_critical_content","exact_row_evidence","authority","status"
"I-R","I","3-66","42 groups","Residual formula, notation, prose, footnote, and two dropped/flattened diagram repairs.","audit_evidence/expose_i_residual.md, table I-R001--I-R042","French authority plus LNM 589 scan","applied-and-revalidated"
"I-A","I","38;48;71","4 rows","Final cartesian-square and distinguished-triangle arrow/label topology repairs.","EXPOSE_I_VII_ADVERSARIAL_REPAIR_MAP_20260717.csv rows I-A001--I-A004","French authority plus LNM 589 scan","applied-and-revalidated"
"III-RECEIPT","III","79-126","34 candidate rows","Exact and nonexact receipt repairs at semantic anchors.","EXPOSE_III_REPAIR_MAP_20260717.csv rows SGA5-EXACT-*","French authority plus LNM 589 scan-derived receipt","applied-and-revalidated"
"III-STRUCTURAL","III","83-126","19 rows","Diagram topology, missing tags/arrows, operator, and structural formula repairs.","EXPOSE_III_REPAIR_MAP_20260717.csv rows III-STR-*","French authority plus LNM 589 scan","applied-and-revalidated"
"IIIB-RECEIPT","III B","144-202","32 candidate rows plus one supplemental row","Semantic receipt and stable-live revalidation tranche.","audit_evidence/iiib_semantic_tranche_20260717/REPAIR_EVIDENCE_LEDGER.csv","French authority plus LNM 589 scan","applied-and-revalidated"
"IIIB-MISSING-BLOCK","III B","162-171","§§5.0-5.8","Restored the entirely omitted source sequence, numbered formulas, footnotes, and diagram 5.8.4.","audit_evidence/expose_iiib_5_0_5_8_audit.md; audit_evidence/iiib_semantic_tranche_20260717/TRANCHE_REPORT.md","French authority plus LNM 589 scan","applied-and-revalidated"
"IIIB-STRUCTURAL","III B","146-202","full structural queue","Restored tags, seven footnotes, exact diagram nodes/edges, and source display structure; final parity 41 diagrams, 145 equations, 151 tags, 28 statements.","audit_evidence/iiib_semantic_tranche_20260717/STRUCTURAL_PARITY_SUMMARY.csv; audit_evidence/iiib_semantic_tranche_20260717/REPAIR_EVIDENCE_LEDGER.csv","French authority plus LNM 589 scan","applied-and-revalidated"
"V-RECEIPT","V","204-250","13 candidate rows","Bilingual nonexact receipt repairs.","SOURCE_CORRECTION_FINAL_RESOLUTION.csv filtered expose=V and resolution=propagated-reviewed-nonexact","French authority plus LNM 589 scan-derived receipt","applied-and-revalidated"
"V-INDEPENDENT","V","206;209;212;216;220;226;247;249","7 numbered operations","Internal-Hom, proof variable, three diagram-topology, index, and epimorphism repairs.","audit_evidence/expose_v_vi_viii_independent_residual.md, Exact production operations / Exposé V","French authority plus LNM 589 scan","applied-and-revalidated"
"VI-RECEIPT","VI","257-282","1 candidate row","Bilingual nonexact receipt repair.","SOURCE_CORRECTION_FINAL_RESOLUTION.csv filtered expose=VI and resolution=propagated-reviewed-nonexact","French authority plus LNM 589 scan-derived receipt","applied-and-revalidated"
"VI-INDEPENDENT","VI","261;272;274-275","4 numbered operations","Proof label, category punctuation, six shriek placements, and Leray operator repair.","audit_evidence/expose_v_vi_viii_independent_residual.md, Exact production operations / Exposé VI","French authority plus LNM 589 scan","applied-and-revalidated"
"VII-RECEIPT","VII","284-347","24 candidate rows","Bilingual nonexact receipt repairs, including p.346 proof tail and D1/D2 restoration.","audit_evidence/expose_vii_application_receipt_20260717.md; SOURCE_CORRECTION_FINAL_RESOLUTION.csv","French authority plus LNM 589 scan","applied-and-revalidated"
"VII-A","VII","288-346","19 rows","Adversarial formula, notation, omitted display/prose, and implication-topology repairs.","EXPOSE_I_VII_ADVERSARIAL_REPAIR_MAP_20260717.csv rows VII-A001--VII-A019","French authority plus LNM 589 scan","applied-and-revalidated"
"VIII-RECEIPT","VIII","348-368","7 candidate rows","Bilingual nonexact receipt repairs.","SOURCE_CORRECTION_FINAL_RESOLUTION.csv filtered expose=VIII and resolution=propagated-reviewed-nonexact","French authority plus LNM 589 scan-derived receipt","applied-and-revalidated"
"VIII-INDEPENDENT","VIII","352;364-365","2 numbered operations","Greek proof label and complete left/right module-side correction in §8.","audit_evidence/expose_v_vi_viii_independent_residual.md, Exact production operations / Exposé VIII","French authority plus LNM 589 scan","applied-and-revalidated"
"X-RECEIPT","X","372","1 candidate row","Nonexact citation-punctuation receipt.","SOURCE_CORRECTION_FINAL_RESOLUTION.csv filtered expose=X and resolution=propagated-reviewed-nonexact","French authority plus LNM 589 scan-derived receipt","applied-and-revalidated"
"X-INDEPENDENT","X","383;387;389-390;392;395;396;398-399;404","10 rows","Local invariants, K-theory symbols, triangle arrows, equality, reverse arrow, coproduct, and hook topology.","audit_evidence/expose_x_xii_xv_independent_residual.md, Applied correction ledger","French authority plus LNM 589 scan","applied-and-revalidated"
"XII-DEEP","XII","408-446","full ordered-math pass","Restored inherited omission/expansion sites and revalidated all formulas and four diagram topologies; remaining display delta is representational.","audit_evidence/late_residual.md; audit_evidence/x_xii_xv_independent_receipt/ORDERED_MATH_ALIGNMENT.csv","French authority plus LNM 589 scan","applied-and-revalidated"
"XV-RECEIPT","XV","449-480","13 candidate rows","Bilingual nonexact receipt repairs, including bare F and K-prime scan readings.","SOURCE_CORRECTION_FINAL_RESOLUTION.csv filtered expose=XV and resolution=propagated-reviewed-nonexact","French authority plus LNM 589 scan-derived receipt","applied-and-revalidated"
"XV-INDEPENDENT","XV","449;455-456;466;468","5 rows","Relative-Frobenius map, adjunction parenthesis, inverse functor, finite-field prime, and malformed ellipsis repairs.","audit_evidence/expose_x_xii_xv_independent_residual.md, Applied correction ledger","French authority plus LNM 589 scan","applied-and-revalidated"
"GLOBAL-K","I-XV","volume-wide","1 macro correction / 9 effective sites","Changed clKstar expansion from K-star to K-bullet to match the French authority and SGA convention.","audit_evidence/expose_x_xii_xv_independent_residual.md; final TeX macro definition","French authority plus SGA 1-4 controls","applied-and-revalidated"
