expose,french_tikzcd,english_tikzcd,delta_tikzcd,french_tikzpicture,english_tikzpicture,delta_tikzpicture,french_diagram_blocks,english_diagram_blocks,delta_diagram_blocks,french_footnotes,english_footnotes,delta_footnotes,french_equations,english_equations,delta_equations,french_display_open,english_display_open,delta_display_open,french_items,english_items,delta_items,french_tags,english_tags,delta_tags,french_statements,english_statements,delta_statements
I,12,12,0,1,1,0,13,13,0,8,10,2,5,13,8,172,224,52,66,66,0,5,13,8,10,38,28
III,56,56,0,4,4,0,60,60,0,3,3,0,145,145,0,181,181,0,26,26,0,145,145,0,18,18,0
III B,40,40,0,1,1,0,41,41,0,7,7,0,145,145,0,240,240,0,9,9,0,151,151,0,28,28,0
V,25,25,0,1,1,0,26,26,0,0,0,0,8,8,0,185,185,0,67,67,0,8,8,0,48,48,0
VI,3,3,0,0,0,0,3,3,0,1,1,0,0,0,0,123,122,-1,9,9,0,10,10,0,25,25,0
VII,15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,410,409,-1,64,64,0,100,100,0,62,62,0
VIII,13,13,0,0,0,0,13,13,0,6,6,0,0,0,0,110,110,0,2,2,0,1,1,0,7,7,0
X,7,7,0,0,0,0,7,7,0,0,0,0,0,0,0,142,142,0,5,5,0,38,38,0,13,13,0
XII,3,3,0,1,1,0,4,4,0,3,3,0,42,42,0,95,104,9,15,15,0,53,53,0,3,3,0
XV,3,3,0,2,2,0,5,5,0,1,1,0,0,0,0,164,165,1,23,23,0,5,5,0,23,23,0
