"id","scope_or_page","source_or_issue","chosen_english","rejected_choice","rationale","status"
"SGA5-TERM-001","volume-wide","French voisinage / inherited variation","neighborhood","neighbourhood","SGA 1--3 English controls and dominant cumulative usage support US spelling","retained"
"SGA5-TERM-002","volume-wide","French fibre / inherited variation","fiber","fibre","SGA 1--3 English controls and dominant cumulative usage support US spelling","retained"
"SGA5-TERM-003","citation policy","SGAA source abbreviation","Use scan/source-exact SGAA where a correction specifically distinguishes SGAA from SGA; retain established prose form SGA A elsewhere","global forced normalization to either SGAA or SGA A","A literal citation correction is substantive, while the expanded English house style is not a different work","retained"
"SGA5-EDIT-001","I p.14","Printed Corollary 1.13 uses the wrong intermediate R f_* and repeats citation (a)(i)","Preserve the printed chain and add an explicit editorial footnote identifying the coherent R_!f and (a)(ii) emendation","silent repair to R_!f and (a)(ii)","The defect is mathematical; the note makes the correction transparent without silently rewriting the source","source-preserved-note-built-rendered-reviewed"
"SGA5-EDIT-002","I p.15","Source prints D_c(F) for an object on Y","D_c(Y)","literal D_c(F)","The inherited English already carries the mathematically necessary source emendation","retained-emendation"
"SGA5-EDIT-003","I p.16","Source cross-references 1.5 and 1.6 at two defective loci","Proposition 1.6 and Definition 1.7","literal defective references","The English readings point to the actual results and must not regress","retained-emendation"
"SGA5-EDIT-004","I p.18","Source has H^{-i(x)}","H^{r(x)}","literal source index","The source index is inconsistent with the surrounding duality argument","retained-emendation"
"SGA5-EDIT-005","I p.30","Source conclusion locates an object in D_c^+(X)","D_c^+(Y)","literal X","The object lives on Y","retained-emendation"
"SGA5-EDIT-006","I p.34","Source has A_X for A_{X'} and duplicates item (ii)","A_{X'} and items (ii),(iii)","literal defective source","The inherited English has the mathematically coherent reading","retained-emendation"
"SGA5-EDIT-007","I p.40","Scan prints K_Y=R^!j(K_X)","K_Y=R^!i(K_X)","literal j","The closed immersion in the setup is i; current French authority explicitly emends the glyph","propagated-emendation"
"SGA5-AMB-001","I p.43","D-subscript and first pullback mark in the ordinary-induction step remain unresolved even in the high-resolution scan","Preserve the current French-control reading D_{\\ol{x}} and disclose in an editorial footnote that type checking suggests D_{\\ol{\\{x\\}}}","silently substitute the type-expected subscript or claim that the scan confirms the French reading","The primary witness does not adjudicate the glyph; disclosure preserves the evidence boundary","open-ambiguity-disclosed-built-rendered-reviewed"
"SGA5-TERM-004","I p.45","Local source writes j^! while setup uses j^*","j^! at the local source locus","normalize locally to j^*","For an open immersion the functors agree; preserving the local notation avoids an unrecorded source change","propagated"
"SGA5-TERM-005","I p.47","Source writes RΓ_V(i_!G')","RΓ(V,i_!G')","literal support-subscript form","The English space-argument form denotes the same object and matches its established notation","retained-normalization"
"SGA5-TERM-006","I p.72","Scan places the shriek before g as R^!g","Rg^!","literal R^!g","Current French and English consistently normalize exceptional inverse image this way","retained-normalization"
"SGA5-EDIT-008","X p.384","Source cross-reference reads Lemma 5.1 although local numbering suggests 4.1","Lemma 5.1","Lemma 4.1","The scan and final French authority agree on the counterintuitive reading","propagated-source-faithful"
"SGA5-EDIT-009","X p.386","Scan reads point y' and C', and the asymmetric situation (C,y',G)","Retain both scan readings","inherited smoother point y' of C' and (C',y',G)","High-resolution scan adjudicates both forms","propagated-source-faithful"
"SGA5-EDIT-010","X p.388","Remark 4.6 uses primed local invariants","Sw_{y'}, Sw'_{y'}, Art_{y'}","unprimed y","Final French and scan agree","propagated-source-faithful"
"SGA5-EDIT-011","XV p.472","Scan prints bare F annihilated by ell^{nu+1}","F","F_nu","The literal primary witness is unambiguous even though the stagewise notation is smoother","propagated-source-faithful"
"SGA5-EDIT-012","XV p.475","Scan prints bare K' for the transported endomorphism","K'","K'_nu","The literal primary witness is unambiguous","propagated-source-faithful"
"SGA5-EDIT-013","Index pp.481--484","Eleven references name Exposé XIV while the title page names XV","Retain XIV","normalize to XV","The index entries are source-faithful and a global renumbering would be an editorial intervention","retained-source-faithful"
"SGA5-EDIT-014","V p.209","French authority reads r+t while the scan visibly reads s+t","r+t","literal scan s+t","The proof has introduced r and t, not s; the source-checked authority carries the mathematically coherent emendation","propagated-emendation"
"SGA5-EDIT-015","VI p.272","Defined category-pair notation","(AR, Z_ell)-sheaves","literal scan hyphen (AR-Z_ell)-sheaves","The comma is the defined category name and is controlling despite the scan glyph","propagated-emendation"
"SGA5-TERM-007","VIII p.352","Greek proof-part label","varphi","psi","The French authority and scan label this part varphi; both display and prose were synchronized","propagated-source-faithful"
"SGA5-TERM-008","volume-wide","K-theory grading macro clKstar","K^{bullet}","K^*","The final French macro and SGA control use the graded bullet; changing the macro repairs nine effective English sites","propagated"
"SGA5-TERM-009","XV proof","Coherent bound-variable renaming in the English proof","psi throughout the English argument","forced normalization to French varphi","The variable is consistently alpha-renamed and no mathematical dependency changes","retained-equivalent"
"SGA5-EDIT-016","III B p.167 §5.6.1","Trace notation printed with an equality sign","\Tr_A=","editorial normalization to \Tr_A:","The scan and source-checked French authority both preserve the unusual equality sign; the English follows the witnesses rather than silently regularizing it","propagated-source-faithful"
"SGA5-EDIT-017","III B p.170 §5.7.5","Target of the displayed morphism","A","smoother A_\natural","The scan and source-checked French authority both print A at this locus","propagated-source-faithful"
"SGA5-EDIT-018","III B p.170 §5.8.1","Ambient algebra membership for a and b","a,b\in A","literal scan a,b\in K","The source-checked French authority corrects the scan's incompatible K; the surrounding construction is in A","propagated-emendation"
"SGA5-IIIB-001","III B 1.6 / receipt 0359","Case distinction in correspondence symbols","lowercase \phi for the first Langlands datum and uppercase \Phi for the later correspondence v","normalizing both to uppercase \Phi","French workpass line 4332 and scan printed p.144 distinguish the symbols intentionally","propagated-source-faithful"
"SGA5-IIIB-002","III B 2.1 / receipts 0360–0361","Numbered square topology","labels (1)–(4), with squares (1) and (4) cartesian","unlabeled squares and prose-only cartesian condition","French workpass lines 4361–4391 and scan printed p.146; later reasoning explicitly depends on square (1)","propagated-source-faithful"
"SGA5-IIIB-003","III B 2.4 / receipts 0140–0141","Quoted technical terms","quoted “base-change arrow” and “projection arrows”","unquoted inherited terminology","French workpass lines 4527–4531 and scan printed p.149 mark these terms explicitly","propagated-source-faithful"
"SGA5-IIIB-004","III B 2.4 / receipt 0142","Bases and object names in definitions of P and Q","P=DL\lten_S M and Q=L\lten_S DM","P=DL\lten_{\Lambda}M' and Q=L\lten_{\Lambda}DM","French workpass line 4537 and scan printed p.149 show base S and unprimed M; the rejected prime introduces a nonexistent object","propagated-source-faithful"
"SGA5-IIIB-005","III B 5.9 supplemental parity repair","Extension-of-scalars presentation","retain the functor inline","source-absent extra unnumbered display","French workpass line 5182 and scan printed p.171; inline setting preserves the mathematics and closes the representation mismatch","retained-source-equivalent-representation"
"SGA5-IIIB-006","III B 5.10.9 / receipts 0145–0146","Terminology and labels used by the comparison argument","quoted “tensor-product”; square (*); display labels (2) and (3); source resp. references","unlabeled square/displays and prose references to upper/lower arrows","French workpass lines 5325–5332 and scan printed p.176; the following argument uses the labels","propagated-source-faithful"
"SGA5-IIIB-007","III B 6.2 / receipts 0415–0417","Left/right module-side data","explicit module categories {}_A X_2, {}_B Y_C, {}_B X_{1A}, {}_A X_{2B}, {}_A Y_2, {}_B Y_{1A}, and {}_A Y_{2C}","legacy subscript shorthand that swaps or obscures module sides","French workpass lines 5548–5571 and scan printed p.184; module side is mathematical data","propagated-source-faithful"
"SGA5-IIIB-008","III B 6.2.3 / receipt 0411","Second argument of the tensor product","F_1\lten_{S,A_2}F_2 exactly as printed","p_1^*F_1\lten_{S,A_2}F_2","French workpass line 5581 and scan printed p.184 agree; the smoother-looking insertion is source-absent","propagated-source-faithful"
"SGA5-IIIB-009","III B 6.5.3 / receipt 0419","Local trace formula before a supported correspondence enters","\delta^*\RHom_A(p_1^*L,p_2^!L)","\delta^*c_*\RHom_A(p_1^*L,p_2^!L)","French workpass line 5691 and scan printed p.186 omit c_* at this stage","propagated-source-faithful"
"SGA5-IIIB-010","III B 6.6 / receipts 0420–0421","Tensor-product bases in four-factor and final identifications","exact bases A, \Lambda, A in the four-factor identification and A in the final KA_{X_1}\lten_A KA_{X_2} identification","leaving bases implicit or assigning the same base to both KA tensor products","French workpass lines 5770–5787 and scan printed p.188 distinguish the earlier \Lambda occurrence from the final A occurrence","propagated-source-faithful"
"SGA5-IIIB-011","III B 6.23 / receipt 0156","Two independent hypotheses across a source page break","(fc_1)^{-1}(V) connected and d_1^{-1}(V)\subset d_2^{-1}(V)","equality of the inverse images or omission of the inclusion","French workpass line 6488 and scan printed pp.199–200 print both independent conditions","propagated-source-faithful"
"SGA5-IIIB-012","III B 6.23.3 / receipt 0430","Boundedness in the restored footnote category","D_{\mathrm{ctf}}({}_{\Lambda[G]}Y)","D^-_{\mathrm{ctf}}({}_{\Lambda[G]}Y)","French workpass line 6574 and scan printed p.201 impose no bounded-above restriction","propagated-source-faithful"
