candidate_id,source_page,expose,kind,initial_disposition,final_resolution,review_evidence,old_string,new_string,authority
SGA5-EXACT-0001,33,I,symbol,already-propagated-or-not-bilingual-exact,reviewed-current-equivalent,audit_evidence/expose_i_residual.md,(\mu_n)^{\otimes 1}_Y[-2],(\mu_n)^{\otimes -1}_Y[-2],LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0002,37,I,symbol,propagated-exact,propagated-exact,SOURCE_FORMULA_COMPARISON_EXACT.csv,\overset{\mathbf L}{\otimes} i_? : \D^b(A)\longrightarrow \D^-(X),"\mathbf L\, i_? : \D^b(A)\longrightarrow \D^-(X)",LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0003,37,I,symbol,propagated-exact,propagated-exact,SOURCE_FORMULA_COMPARISON_EXACT.csv,\overset{\mathbf L}{\otimes} i_?(M)=M\overset{\mathbf L}{\otimes}_A K.,"\mathbf L\, i_?(M)=M\overset{\mathbf L}{\otimes}_A K.",LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0004,37,I,symbol,propagated-exact,propagated-exact,SOURCE_FORMULA_COMPARISON_EXACT.csv,"\R\Hom(L,\overset{\mathbf L}{\otimes} i_?(M))\xrightarrow{\sim}\R\Hom(\R^{!}i(L),M)","\R\Hom(L,\mathbf L\, i_?(M))\xrightarrow{\sim}\R\Hom(\R^{!}i(L),M)",LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0005,37,I,symbol,propagated-exact,propagated-exact,SOURCE_FORMULA_COMPARISON_EXACT.csv,"\R^{!}i\,\overset{\mathbf L}{\otimes}i_?(M)\to M","\R^{!}i\,\mathbf L\, i_?(M)\to M",LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0006,38,I,xref,already-propagated-or-not-bilingual-exact,reviewed-current-equivalent,audit_evidence/expose_i_residual.md,canonique (SGA~VI~I~3.7),canonique (SGAA~VI~I~3.7),LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0007,38,I,xref,already-propagated-or-not-bilingual-exact,reviewed-current-equivalent,audit_evidence/expose_i_residual.md,admet alors (SGA~IX~2.7) une résolution gauche par des faisceaux,admet alors (SGAA~IX~2.7) une résolution gauche par des faisceaux,LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0008,38,I,xref,already-propagated-or-not-bilingual-exact,reviewed-current-equivalent,audit_evidence/expose_i_residual.md,triviaux de la dualité (SGA~XVIII~3.1.10),triviaux de la dualité (SGAA~XVIII~3.1.10),LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0009,38,I,xref,already-propagated-or-not-bilingual-exact,reviewed-current-equivalent,audit_evidence/expose_i_residual.md,flèche de changement de base (SGA~XVII),flèche de changement de base (SGAA~XVII),LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0010,39,I,xref,already-propagated-or-not-bilingual-exact,reviewed-current-equivalent,audit_evidence/expose_i_residual.md,aussitôt par passage à la limite (SGA~VII~5.11),aussitôt par passage à la limite (SGAA~VII~5.11),LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0011,39,I,xref,already-propagated-or-not-bilingual-exact,reviewed-current-equivalent,audit_evidence/expose_i_residual.md,$X$ (SGA~IX~2.7.4) et appliquer (4.3),$X$ (SGAA~IX~2.7.4) et appliquer (4.3),LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0012,40,I,xref,already-propagated-or-not-bilingual-exact,reviewed-current-equivalent,audit_evidence/expose_i_residual.md,"limite (SGA~VII~5.11), on trouve un isomorphisme canonique","limite (SGAA~VII~5.11), on trouve un isomorphisme canonique",LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0013,40,I,xref,already-propagated-or-not-bilingual-exact,reviewed-current-equivalent,audit_evidence/expose_i_residual.md,habituel (SGA~V~4.3) ce qui justifie la notation.,habituel (SGAA~V~4.3) ce qui justifie la notation.,LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0014,41,I,equation,rejected-not-in-final-french-authority,rejected-absent-final-french-authority,SOURCE_FORMULA_COMPARISON_EXACT.csv,\H^i(\underline{D}_X(F))_{\ol{x}}\times \H_{\ol{x}}^{-i}(F)\longrightarrow A,\H^i(\underline{D}_X(F)_{\ol{x}})\times \H_{\ol{x}}^{-i}(F)\longrightarrow A,LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0015,42,I,symbol,propagated-exact,propagated-exact,SOURCE_FORMULA_COMPARISON_EXACT.csv,\H_{\ol{x}}^i:\D_c^b(X)\longrightarrow (A\text{-modules}),\underline{\H}_{\ol{x}}^i:\D_c^b(X)\longrightarrow (A\text{-modules}),LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0016,43,I,symbol,propagated-exact,propagated-exact,SOURCE_FORMULA_COMPARISON_EXACT.csv,\xrightarrow{i'}\{\ol{x}\}\xrightarrow{i''}Y,\xrightarrow{i'}\ol{\{x\}}\xrightarrow{i''}Y,LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0017,47,I,xref,already-propagated-or-not-bilingual-exact,reviewed-current-equivalent,audit_evidence/expose_i_residual.md,par dualité (SGA~3.1.10),par dualité (SGAA~3.1.10),LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0018,49,I,symbol,propagated-exact,propagated-exact,SOURCE_FORMULA_COMPARISON_EXACT.csv,"G^\circ=\Hom(G,(\mu_n)_U^{\otimes d})","G^\circ=\uHom(G,(\mu_n)_U^{\otimes d})",LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0019,50,I,xref,propagated-exact,propagated-exact,SOURCE_FORMULA_COMPARISON_EXACT.csv,(SGA~X~2.2),(SGAA~X~2.2),LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0020,50,I,xref,propagated-exact,propagated-exact,SOURCE_FORMULA_COMPARISON_EXACT.csv,(SGA~VIII~2),(SGAA~VIII~2),LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0021,52,I,xref,propagated-exact,propagated-exact,SOURCE_FORMULA_COMPARISON_EXACT.csv,(SGA~XIX~1.3),(SGAA~XIX~1.3),LNM 589 scan-derived patch retained in final French authority
SGA5-EXACT-0022,62,I,equation,propagated-exact,propagated-exact,SOURCE_FORMULA_COMPARISON_EXACT.csv,i^*(F)\otimes^L_{\Z/n\Z}(\mu_n^{\otimes d})_Y[-2d]\longrightarrow \R i^!(F).,i^*(F)\otimes^L_{\Z/n\Z}(\mu_n^{\otimes -d})_Y[-2d]\longrightarrow \R i^!(F).,LNM 589 scan-derived patch retained in final French authority
