candidate_id,source_page,expose,kind,old_string,new_string,english_old_count_at_review,final_french_new_count,disposition,patch_record,authority,evidence
SGA5-EXACT-0001,33,I,symbol,(\mu_n)^{\otimes 1}_Y[-2],(\mu_n)^{\otimes -1}_Y[-2],0,1,already-propagated-or-not-bilingual-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
SGA5-EXACT-0002,37,I,symbol,\overset{\mathbf L}{\otimes} i_? : \D^b(A)\longrightarrow \D^-(X),"\mathbf L\, i_? : \D^b(A)\longrightarrow \D^-(X)",1,1,propagated-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
SGA5-EXACT-0003,37,I,symbol,\overset{\mathbf L}{\otimes} i_?(M)=M\overset{\mathbf L}{\otimes}_A K.,"\mathbf L\, i_?(M)=M\overset{\mathbf L}{\otimes}_A K.",1,1,propagated-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
SGA5-EXACT-0004,37,I,symbol,"\R\Hom(L,\overset{\mathbf L}{\otimes} i_?(M))\xrightarrow{\sim}\R\Hom(\R^{!}i(L),M)","\R\Hom(L,\mathbf L\, i_?(M))\xrightarrow{\sim}\R\Hom(\R^{!}i(L),M)",1,1,propagated-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
SGA5-EXACT-0005,37,I,symbol,"\R^{!}i\,\overset{\mathbf L}{\otimes}i_?(M)\to M","\R^{!}i\,\mathbf L\, i_?(M)\to M",1,1,propagated-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
SGA5-EXACT-0006,38,I,xref,canonique (SGA~VI~I~3.7),canonique (SGAA~VI~I~3.7),0,1,already-propagated-or-not-bilingual-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
SGA5-EXACT-0007,38,I,xref,admet alors (SGA~IX~2.7) une résolution gauche par des faisceaux,admet alors (SGAA~IX~2.7) une résolution gauche par des faisceaux,0,1,already-propagated-or-not-bilingual-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
SGA5-EXACT-0008,38,I,xref,triviaux de la dualité (SGA~XVIII~3.1.10),triviaux de la dualité (SGAA~XVIII~3.1.10),0,1,already-propagated-or-not-bilingual-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
SGA5-EXACT-0009,38,I,xref,flèche de changement de base (SGA~XVII),flèche de changement de base (SGAA~XVII),0,1,already-propagated-or-not-bilingual-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
SGA5-EXACT-0010,39,I,xref,aussitôt par passage à la limite (SGA~VII~5.11),aussitôt par passage à la limite (SGAA~VII~5.11),0,1,already-propagated-or-not-bilingual-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
SGA5-EXACT-0011,39,I,xref,$X$ (SGA~IX~2.7.4) et appliquer (4.3),$X$ (SGAA~IX~2.7.4) et appliquer (4.3),0,1,already-propagated-or-not-bilingual-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
SGA5-EXACT-0012,40,I,xref,"limite (SGA~VII~5.11), on trouve un isomorphisme canonique","limite (SGAA~VII~5.11), on trouve un isomorphisme canonique",0,1,already-propagated-or-not-bilingual-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
SGA5-EXACT-0013,40,I,xref,habituel (SGA~V~4.3) ce qui justifie la notation.,habituel (SGAA~V~4.3) ce qui justifie la notation.,0,1,already-propagated-or-not-bilingual-exact,patches_p33_62.json,LNM 589 scan-derived patch retained in final French authority,scan-derived patch record
