paper,printed_page,source_witness,audit_scope,disposition,confirmed_fix,current_head,notes
"P34","650","Noether_P34_GDZ_MathZ30_printed_p650_canvas00000654_fullres.jpg","Section 4; direct-product conditions; equations and relation glyphs","no_new_delta","none","v18","All prose and formulas agree with the GDZ full-resolution page."
"P34","651","Noether_P34_GDZ_MathZ30_printed_p651_canvas00000655_fullres.jpg","Six direct-product consequences; ideal and module notation","no_new_delta","none","v18","All six enumerated consequences and their displayed formulas agree."
"P34","652","Noether_P34_GDZ_MathZ30_printed_p652_canvas00000656_fullres.jpg","Direct intersection theorems and proofs","no_new_delta","none","v18","Intersections, quotients, and proof continuity agree."
"P34","653","Noether_P34_GDZ_MathZ30_printed_p653_canvas00000657_fullres.jpg","Sections 5 and 6; complete reducibility formulas","no_new_delta","none","v18","The section boundaries, decomposition statements, and formulas agree."
"P34","654","Noether_P34_GDZ_MathZ30_printed_p654_canvas00000658_fullres.jpg","Basis-change matrix; inverse matrices; PQ=QP=E","no_new_delta","none","v18","Matrix geometry, indices, and inverse relations agree."
"P34","655","Noether_P34_GDZ_MathZ30_printed_p655_canvas00000659_fullres.jpg","Section 7; hypercomplex-system multiplication coefficients and matrix proof","no_new_delta","none","v18","Coefficient families and multiplication formulas agree."
"P34","656","Noether_P34_GDZ_MathZ30_printed_p656_canvas00000660_fullres.jpg","C_ij relations; proof continuation; Section 8 opening","no_new_delta","none","v18","Relation glyphs, indices, and section transition agree."
"P34","657","Noether_P34_GDZ_MathZ30_printed_p657_canvas00000661_fullres.jpg","Module-product formulas; Section 9 opening; idempotent setup","no_new_delta","none","v18","Products, decompositions, and source emphasis agree."
"P34","658","Noether_P34_GDZ_MathZ30_printed_p658_canvas00000662_fullres.jpg; p658_source_index_2x.png","Right/left decomposition argument; footnote 13; quotient-isomorphism conclusion","source_fidelity_patch","Restored source-printed `r_1'+r_2'` from silent `r_1'+r_1''` emendation","v18","The source reading is almost certainly a printed index typo given the preceding decomposition, but a source-critical transcription may not silently replace it with the mathematically expected term. The likely typo is recorded only in the audit layer."
"P34","659","Noether_P34_GDZ_MathZ30_printed_p659_canvas00000663_fullres.jpg; P34_p659_source_containment_chain_2x_labelled.png","Section 10; two-sided decomposition; right-ideal proof chain","hard_math_patch","Restored `\\subseteq(r,a_i b_i)` and the intermediate ideal before `(r,0)=r`","v18","The prior cumulative omitted the actual containment argument and collapsed non-equal intermediate expressions into an equality chain."
"P34","660","Noether_P34_GDZ_MathZ30_printed_p660_canvas00000664_fullres.jpg","Multiplication table; left/right decompositions; uniqueness proof; Section 11 opening","no_new_delta","none","v18","The table entries, decomposition formulas, and uniqueness argument agree."
"P34","661","Noether_P34_GDZ_MathZ30_printed_p661_canvas00000665_fullres.jpg","Center/ideal extension theorem; equations (1)-(3); reverse implication","no_new_delta","none","v18","All center, intersection, extension, and orthogonality formulas agree."
"P34","662","Noether_P34_GDZ_MathZ30_printed_p662_canvas00000666_fullres.jpg","Section 12; nilpotent ideals; exponents; inclusions; radical theorem","no_new_delta","none","v18","Nilpotence exponents, inclusion chains, radical statement, and final proof formula agree."
