layer_order,layer_type,scope,authority_rank,artifact_or_witness,path_or_identifier,sha256,commit_or_version,certification_or_use,limitations
1,ultimate_source,whole volume; 702 source-PDF pages,1,Declared SGA 6 source scan,sga6.pdf; exact local authority path retained in internal provenance control,5194436E290B8FCA54BACD5FF672588335408F1AAD3AE07D62BBA68DF35E3D76,702 pages,Ultimate source check,"Declared scan omits idx593, idx595--597, and printed page 690; omissions remain explicit."
2,corroborating_source,whole volume; 720 high-resolution pages,2,High-resolution supplemental scan,Theorie des Intersections et Theoreme de Riemann-Roch.pdf; exact local path retained internally,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA,720 pages; 360 dpi,"Formula, typography, and omission corroboration",Does not replace the declared scan where the declared scan has a page.
3,french_translation_control,idx532--646,3,Historical French workpass checkpoint,french-working-control-20260704/sga6_fr_workpass.tex,DCCF1BE9533FAC29E6F12989537F017EFC41340A2D2B2F0B89CB8FE9A4A236FB,historical checkpoint,French working control through idx646,Historical lineage only.
4,french_translation_control,idx647--662,3,Predecessor committed French workpass,french-working-control-20260704/sga6_fr_workpass.tex,77703F2D7E8FF9000C2C1E7320A903A48ADE00BF62C8F5F240FF88C42ED82703,8ccdcf8eeef35cba9cc7ca09fe79e6b3f863becc,French working control through idx662,Superseded as frontier by the idx684 package; retained for exact lineage.
5,french_translation_control,idx663--684,3,Current French source-rescribe package,sga6-french-source-rescribe-idx684-20260718/sga6_fr_workpass.tex,7F32C2080A78A2746CBE52DCC1EC43A8505269F25518FA7B9A86E4E89AF858AC,859bd5abc3a813ee51e7cbcc6d623e08c1336235,Current French working control; source-rescribed through idx684,Scan remains ultimate; explicit French residuals and source emendations are ledgered. Next cursor idx685.
6,english_promoted_checkpoint,idx532--646,4,Sealed cumulative English TeX,sga6_cumulative_sync_idx532_646_en_20260718/SGA6_idx532_646_English_SourceChecked.tex,69A5252F51384964178A92384F66D39924B55265C64E65650C032EBD738292E7,sealed 2026-07-18,Source-checked English working checkpoint,Not a whole-volume release.
7,english_promoted_checkpoint,idx647--662,4,Privacy-clean public overlap English fragment,SGA6_idx647_665_English_SourceChecked_fragment.tex,A9A0E1EDE6369D72DF529F791B09CE879326A5B76D10B99D42E473B56999377A,successor checkpoint 2026-07-18,Source-checked English under predecessor French control,"File also contains independently reviewed idx663--665; scopes remain distinct. Reviewed production hash B12855A1A04597839E1017C1481DA038F0BC49CE07A53D6228D92B39C82F7A80; public copy differs only by comments and rebuilds text-identically."
8,english_reconciled_checkpoint,idx663--665,4,Privacy-clean public overlap English fragment,SGA6_idx647_665_English_SourceChecked_fragment.tex,A9A0E1EDE6369D72DF529F791B09CE879326A5B76D10B99D42E473B56999377A,French 859bd5; independent PASS,Reconciled to current French control and both scans,"Bounded working checkpoint, not a whole-volume certification. Reviewed production hash B12855A1A04597839E1017C1481DA038F0BC49CE07A53D6228D92B39C82F7A80; public copy differs only by comments and rebuilds text-identically."
9,english_reconciled_checkpoint,idx666--684,4,Current tail English fragment,SGA6_idx666_702_and_backmatter_English_SourceChecked_Draft_fragment.tex,FEAC33DDC5D8E2A8A40BA8B0330A44043B618147DA69CEDE887D9C12EC426F1B,French 859bd5; independent PASS,Reconciled to current French control and both scans,Same file contains later draft material whose weaker status remains explicit.
10,english_tail_draft,idx685--702,4,Current tail English fragment,SGA6_idx666_702_and_backmatter_English_SourceChecked_Draft_fragment.tex,FEAC33DDC5D8E2A8A40BA8B0330A44043B618147DA69CEDE887D9C12EC426F1B,after current French frontier,Scan-checked English draft,"Pending later French reconciliation; idx702 is Expose XIV terminal, not physical terminal."
