record_id,source_lines,formula_role,source_formula,target_formula,symbol_order_preserved,subscripts_preserved,arrow_direction_preserved,logical_property_preserved,status,notes
SGA2-X-L39P-FORM-001@1,3555,scheme,X'=Spec(A),X'=operatorname Spec(A),true,true,na,na,pass,operator styling only
SGA2-X-L39P-FORM-002@1,3555,divisor,Y'=V(t),Y'=V(t),true,true,na,na,pass,exact
SGA2-X-L39P-FORM-003@1,3555,closed_point,x=r(A),x=mathfrak r(A),true,true,na,na,pass,font normalization
SGA2-X-L39P-FORM-004@1,3555,punctured_scheme,X=X'-{x},X=X' setminus {x},true,true,na,na,pass,set-minus normalization
SGA2-X-L39P-FORM-005@1,3555,intersection,Y=Y'-{x}=X cap Y',Y=Y' setminus {x}=X cap Y',true,true,na,na,pass,exact semantics
SGA2-X-L39P-FORM-006@1,3555,formal_scheme,widehat X',widehat X',true,true,na,na,pass,hat applies only to scheme
SGA2-X-L39P-FORM-007@1,3557,equivalence_1,Et(X')->Et(widehat X'),Et(X')->Et(widehat X'),true,true,true,equivalence,pass,Et unhatted
SGA2-X-L39P-FORM-008@1,3557,equivalence_2,Et(widehat X')->Et(Y'),Et(widehat X')->Et(Y'),true,true,true,equivalence,pass,Et unhatted
SGA2-X-L39P-FORM-009@1,3557,equivalence_composite,Et(X')->Et(Y'),Et(X')->Et(Y'),true,true,true,equivalence,pass,exact direction
SGA2-X-L39P-FORM-010@1,3561-3562,scheme_square,X'<-X;Y'->X';Y->X;Y'<-Y,same four arrows,true,true,true,na,pass,visual gate required
SGA2-X-L39P-FORM-011@1,3561-3562,category_square,a right;b down;c down;d right,a right;b down;c down;d right,true,true,true,na,pass,labels preserved
SGA2-X-L39P-FORM-012@1,3564,fully_faithful,b pleinement fidele,b fully faithful,true,true,na,fully_faithful,pass,not strengthened
SGA2-X-L39P-FORM-013@1,3566,Leff,"Leff(X,Y)","Leff(X,Y)",true,true,na,condition,pass,exact
SGA2-X-L39P-FORM-014@1,3566,essential_surjectivity,b essentiellement surjectif,b essentially surjective,true,true,na,essentially_surjective,pass,not weakened
SGA2-X-L39P-FORM-015@1,3566,complement,X-U,X setminus U,true,true,na,na,pass,notation normalization
SGA2-X-L39P-FORM-016@1,3566,pure_pair,"(X,X-U)","(X,X setminus U)",true,true,na,purity,pass,pair order preserved
SGA2-X-L39P-FORM-017@1,3566,local_ring,"O_X,p=A_p","O_X,p=A_p",true,true,na,equality_and_purity,pass,exact
