"adverse_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_choice","trap_or_adverse_reading","contextual_reason_for_exclusion","alternative_held_for_independent_review","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_status","review_state"
"P39-ZH-A001","P39-ZH-T001","§1 title and first paragraph","Hyperkomplexe Systeme","超复系统","Generic highly complex systems or hypercomplex analysis","The source immediately apposes Algebren and proceeds through finite-dimensional algebras, crossed products, and number theory","超复代数系统","modern Sino-xenic coinage/calque","The concise inherited Hans label may pull readers toward a modern Mandarin textbook category broader or narrower than Noether's historical umbrella","producer editorial choice plus inherited translation witness; independent check pending","超複系統 is controlled-generic only; no regional localization claim","open; independent checker must test historical range"
"P39-ZH-A002","P39-ZH-T002","§2 first paragraph; §3 after display (4)","einfache normale Algebra","中心单代数","Simple normal field extension","Algebra, matrix-ring, center, division-algebra, and maximal-commutative-subfield context make the field-extension reading structurally incompatible","单纯正规代数; 中心单纯代数","mixed/contested","The exact frozen target modernizes the historical wording to 中心单代数; this must not be mistaken for a regional-universality claim.","exact frozen target form plus independent checker source/target comparison","中心單代數 is the controlled-generic character form; not TW/HK/MO localized","exact target form independently reconciled; final package disposition remains separate"
"P39-ZH-A003","P39-ZH-T003","§1, §3, and §5","Hauptgeschlechtssatz | Hauptgeschlechtsatz","主属定理","Biological genus theorem or generic main-category theorem","Quadratic forms, ideal classes, class fields, and the named Gauss specialization constrain Geschlecht to arithmetic genus","主类定理; 主种定理","modern Sino-xenic coinage/calque","主属 is inherited Hans terminology and may become the default without local-language evidence","producer editorial choice plus inherited translation witness; independent check pending","主屬定理 is only a controlled character-form candidate","open; source spelling variation recorded, terminology independently unchecked"
"P39-ZH-A004","P39-ZH-T004","§1, §3, and §4","Normensatz","范数定理","A theorem about analytic norms or numerical magnitudes","The cyclic extension, field norm, k*/N(Z*), and local-global statement fix the algebraic-number-theory sense","诺姆定理","modern Sino-xenic coinage/calque","Mandarin 范数 is a strong cross-domain attractor and can invite the wrong analytic sense if the field context is suppressed","producer editorial choice plus inherited translation witness; independent check pending","範數定理 is controlled-generic only; no regional localization claim","open; independent terminology check pending"
"P39-ZH-A005","P39-ZH-T005","§2 and §3","verschränktes Produkt","交叉积","Vector cross product, Cartesian product, or semidirect product","The defining basis, twisted commutation, factor system, and n^2-rank algebra equations specify a crossed-product algebra","扭曲积; 交错积","modern Sino-xenic coinage/calque","交叉积 is semantically crowded in Mandarin; inheritance does not prove it is the best disambiguated Chinese term","producer editorial choice plus inherited translation witness; independent check pending","交叉積 is controlled-generic only; regional terminology unresolved","open; compare only when an independent checker is assigned"
"P39-ZH-A006","P39-ZH-T006","§2, §3 displays (3)-(5), and §5","Faktorensystem | Faktorensysteme","因子系","Factorization system or a collection of scalar factors without coherence","The associativity equation and equivalence transformation identify indexed cocycle-like multiplication data","因子组; 因子集; 乘子系","modern Sino-xenic coinage/calque","The abbreviated Hans form may look incomplete and may be normalized by habit to 因子系统 without evidence","producer editorial choice plus inherited translation witness; independent check pending","因子系 is a same-character controlled candidate; identical form gives no localization evidence","open; independent checker must assess technical convention"
"P39-ZH-A007","P39-ZH-T007","§3 and §4","Zerfällungskörper","分裂域","Prime-decomposition field or merely a polynomial's splitting field","The source defines scalar extension of the algebra to a full matrix ring over the center","劈裂域; 裂解域","modern Sino-xenic coinage/calque","The familiar Hans label can obscure the algebra-specific splitting criterion and can dominate less ambiguous alternatives","producer editorial choice plus inherited translation witness; independent check pending","分裂域 is controlled-generic only; algebra-specific and regional usage unchecked","open; preserve definition until checked"
"P39-ZH-A008","P39-ZH-T008","§3 after display (5)","alle zu \(A\) ähnlichen Algebren | in eine Klasse \(\mathfrak A\)","相似代数／代数类","Ordinary resemblance, matrix conjugacy, or algebra isomorphism","The source explicitly gathers all D_r over the associated division algebra into one class, which is the intended equivalence","等价代数／Brauer 类","mixed/contested","相似 is an especially strong everyday and linear-algebra attractor in Hans; its inherited use carries unresolved conceptual debt","producer editorial choice plus inherited translation witness; independent check pending","相似代數／代數類 are controlled-generic candidates only; no regional authority","open; independent checker should test Brauer-equivalence wording"
"P39-ZH-A009","P39-ZH-T009","§2 second paragraph","Normenrestsymbol","范数剩余符号","A numerical remainder symbol or generic notation for a norm","The Hasse reciprocity-law and crossed-product context fixes the norm-residue symbol","范数残余符号; 诺姆剩余符号","modern Sino-xenic coinage/calque","The compound's Mandarin components look transparent while retaining a trap-prone arithmetic specialization","producer editorial choice plus inherited translation witness; independent check pending","範數剩餘符號 is controlled-generic only; not localized","open; independent conventionality check pending"
"P39-ZH-A010","P39-ZH-T010","§2 third and fourth paragraphs","Galoismodul | Galoismoduln","伽罗瓦模","Arithmetic modulus, residue class, or software module","The source defines a module over the base field admitting Galois-group substitutions as operators","Galois 模; 伽罗华模","mixed/contested","伽罗瓦 is a Mandarin name-form attractor; script conversion does not settle Hant personal-name or technical usage","producer editorial choice plus inherited translation witness; independent check pending","伽羅瓦模 is controlled-generic only; personal-name and regional conventions unresolved","open; independent language-specific check pending"
