"crosswalk_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_form","zh_hant_controlled_form","zh_hant_status","ja_form","ko_form","ja_ko_evidence_status","sense_window","excluded_senses","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","independent_check_status"
"P39-ZH-X001","P39-ZH-T001","§1 title and first paragraph","Hyperkomplexe Systeme","超复系统","超複系統","controlled-generic character form only; not TW/HK/MO localized","","","Japanese and Korean evidence not consulted or used","historical algebraic systems, glossed by Algebren","generic complex systems; hypercomplex analysis","modern Sino-xenic coinage/calque","Hans inheritance may dominate the evidence shelf; no cross-regional inference is authorized","producer editorial choice plus inherited translation witness; independent check pending","absent; producer-only crosswalk row; not validated or ready"
"P39-ZH-X002","P39-ZH-T002","§2 and §3","einfache normale Algebra","中心单代数","中心單代數","controlled-generic character form matching the corrected target; not TW/HK/MO localized","","","Japanese and Korean evidence not consulted or used","historical simple-normal algebra over the base field","normal field extension; everyday normality","mixed/contested","The frozen target modernizes the historical source wording; no cross-regional universality is inferred.","exact frozen target form plus independent checker source/target comparison","exact target form independently reconciled; final package disposition remains separate"
"P39-ZH-X003","P39-ZH-T003","§1, §3, and §5","Hauptgeschlechtssatz | Hauptgeschlechtsatz","主属定理","主屬定理","controlled-generic character form only; not TW/HK/MO localized","","","Japanese and Korean evidence not consulted or used","principal genus theorem in arithmetic genus theory","biological genus; generic main class","modern Sino-xenic coinage/calque","Inherited 主属 may crowd out other Chinese historical terms","producer editorial choice plus inherited translation witness; independent check pending","absent; producer-only crosswalk row; not validated or ready"
"P39-ZH-X004","P39-ZH-T004","§1, §3, and §4","Normensatz","范数定理","範數定理","controlled-generic character form only; not TW/HK/MO localized","","","Japanese and Korean evidence not consulted or used","field-norm local-global theorem","analytic norm; numerical magnitude","modern Sino-xenic coinage/calque","Mandarin 范数 dominance may carry cross-domain ambiguity and cannot authorize Hant usage","producer editorial choice plus inherited translation witness; independent check pending","absent; producer-only crosswalk row; not validated or ready"
"P39-ZH-X005","P39-ZH-T005","§2 and §3","verschränktes Produkt","交叉积","交叉積","controlled-generic character form only; regional technical term unresolved","","","Japanese and Korean evidence not consulted or used","crossed-product algebra with twisted multiplication","vector cross product; Cartesian/direct/semidirect product","modern Sino-xenic coinage/calque","交叉积 is a strong Hans attractor with several competing mathematical senses","producer editorial choice plus inherited translation witness; independent check pending","absent; producer-only crosswalk row; not validated or ready"
"P39-ZH-X006","P39-ZH-T006","§2, §3, and §5","Faktorensystem | Faktorensysteme","因子系","因子系","same-character controlled candidate only; identical form is not localization evidence","","","Japanese and Korean evidence not consulted or used","indexed factor-set/cocycle data satisfying associativity","factorization system; arbitrary list of factors","modern Sino-xenic coinage/calque","Compact Hans terminology may suppress 因子组/因子集 conventions","producer editorial choice plus inherited translation witness; independent check pending","absent; producer-only crosswalk row; not validated or ready"
"P39-ZH-X007","P39-ZH-T007","§3 and §4","Zerfällungskörper","分裂域","分裂域","same-character controlled candidate only; algebra-specific regional use unresolved","","","Japanese and Korean evidence not consulted or used","field splitting an algebra to a full matrix algebra","prime decomposition field; generic polynomial splitting only","modern Sino-xenic coinage/calque","Familiar Hans wording may blur the algebra-specific condition","producer editorial choice plus inherited translation witness; independent check pending","absent; producer-only crosswalk row; not validated or ready"
"P39-ZH-X008","P39-ZH-T008","§3 after display (5)","alle zu \(A\) ähnlichen Algebren | in eine Klasse \(\mathfrak A\)","相似代数／代数类","相似代數／代數類","controlled-generic forms only; Brauer-equivalence and regional wording unresolved","","","Japanese and Korean evidence not consulted or used","matrix algebras over the same associated division algebra and their Brauer class","ordinary resemblance; conjugacy; algebra isomorphism","mixed/contested","相似 is a strong Mandarin everyday and linear-algebra attractor","producer editorial choice plus inherited translation witness; independent check pending","absent; producer-only crosswalk row; not validated or ready"
"P39-ZH-X009","P39-ZH-T009","§2 second paragraph","Normenrestsymbol","范数剩余符号","範數剩餘符號","controlled-generic character form only; not TW/HK/MO localized","","","Japanese and Korean evidence not consulted or used","Hasse's arithmetic norm-residue symbol","division remainder; generic norm notation","modern Sino-xenic coinage/calque","Hans components appear transparent but preserve a specialized trap-prone compound","producer editorial choice plus inherited translation witness; independent check pending","absent; producer-only crosswalk row; not validated or ready"
"P39-ZH-X010","P39-ZH-T010","§2 third and fourth paragraphs","Galoismodul | Galoismoduln","伽罗瓦模","伽羅瓦模","controlled-generic character form only; name and regional conventions unresolved","","","Japanese and Korean evidence not consulted or used","base-field module carrying Galois substitutions as operators","modulus; residue; software module","mixed/contested","伽罗瓦 is Mandarin-name-form evidence only and cannot authorize Hant personal-name practice","producer editorial choice plus inherited translation witness; independent check pending","absent; producer-only crosswalk row; not validated or ready"
